complaint_id,customer_key,complaint_date,complaint_type,status,resolution_days,compensation_amount,ofcom_escalated
10000001,846,2025-01-19,Billing,Closed,,0.0,False
10000002,845,2025-01-07,Customer Service,Closed,13.0,0.0,False
10000003,291,2025-01-24,Service,Open,21.0,0.0,False
10000004,982,2025-01-07,Other,Closed,6.0,0.0,False
10000005,770,2025-01-21,Contract,Closed,18.0,0.0,False
10000006,175,2025-01-13,Billing,Open,,0.0,False
10000007,252,2025-01-23,Customer Service,Open,2.0,0.0,False
10000008,482,2025-01-31,Other,Closed,7.0,0.0,False
10000009,915,2025-01-25,Billing,Under Investigation,29.0,0.0,False
10000010,909,2025-01-24,Contract,Resolved,,0.0,False
10000011,756,2025-01-27,Other,Resolved,13.0,0.0,False
10000012,502,2025-01-03,Billing,Open,,0.0,False
10000013,13,2025-01-14,Billing,Closed,8.0,17.99,False
10000014,115,2025-01-05,Other,Under Investigation,13.0,93.37,False
10000015,110,2025-01-24,Other,Under Investigation,15.0,0.0,False
10000016,726,2025-01-14,Customer Service,Resolved,26.0,93.41,False
10000017,906,2025-01-04,Network,Open,21.0,0.0,False
10000018,568,2025-01-25,Service,Open,11.0,0.0,False
10000019,383,2025-01-10,Customer Service,Open,13.0,0.0,False
10000020,567,2025-01-08,Billing,Resolved,24.0,0.0,False
10000021,679,2025-01-18,Network,Closed,19.0,93.92,False
10000022,964,2025-01-13,Billing,Under Investigation,14.0,0.0,False
10000023,472,2025-01-09,Network,Under Investigation,,0.0,False
10000024,559,2025-01-15,Service,Under Investigation,,0.0,False
10000025,285,2025-01-27,Contract,Resolved,16.0,0.0,False
10000026,97,2025-01-12,Other,Closed,,83.66,False
10000027,372,2025-01-10,Contract,Resolved,,0.0,False
10000028,993,2025-01-23,Billing,Under Investigation,9.0,43.53,False
10000029,125,2025-01-20,Contract,Open,6.0,0.0,False
10000030,744,2025-01-01,Billing,Resolved,,27.4,False
10000031,670,2025-01-27,Network,Closed,15.0,91.47,False
10000032,777,2025-01-28,Contract,Open,,95.26,False
10000033,852,2025-01-27,Contract,Closed,13.0,0.0,False
