record_id,campaign_key,campaign_date,channel,impressions,clicks,conversions,spend,revenue_attributed
10000001,52,2025-01-23,PPC,8678,360,33,1250.3,1669.72
10000002,8,2025-01-05,Email,39776,742,24,4721.0,1963.87
10000003,37,2025-01-23,Email,66870,2148,157,3968.52,19354.57
10000004,7,2025-01-02,Email,82911,1178,54,3300.75,4772.53
10000005,54,2025-01-17,TV,84465,1132,101,197.13,18338.9
10000006,51,2025-01-08,Display,55144,671,61,4086.57,5254.95
10000007,3,2025-01-15,Radio,41391,910,32,2334.27,3072.54
10000008,19,2025-01-22,Radio,77868,1197,101,4108.61,13307.14
10000009,34,2025-01-15,Radio,14382,608,42,4225.22,3450.24
10000010,46,2025-01-01,Direct Mail,44916,1665,61,2473.0,7778.11
10000011,50,2025-01-25,Display,68368,3072,124,3620.98,6441.67
10000012,24,2025-01-27,Direct Mail,8392,99,3,1522.51,337.32
10000013,27,2025-01-03,Social,64712,1240,47,2095.23,4378.62
10000014,35,2025-01-18,Email,82209,2827,130,344.01,19176.63
10000015,3,2025-01-24,Social,21017,247,8,4662.28,753.77
10000016,37,2025-01-26,PPC,73546,2598,198,548.14,13787.55
10000017,51,2025-01-02,Social,28632,1067,89,3775.3,11754.42
10000018,38,2025-01-02,Social,14059,591,38,2740.0,5071.76
10000019,57,2025-01-19,TV,9566,458,39,1348.67,3206.95
10000020,26,2025-01-05,Email,71135,2668,195,4182.8,32622.55
10000021,46,2025-01-24,TV,27898,1338,89,1684.56,12071.16
10000022,49,2025-01-13,Display,7516,118,11,904.0,1098.26
10000023,3,2025-01-01,PPC,20820,653,49,1703.8,6071.66
10000024,52,2025-01-10,Social,3535,80,3,1824.65,326.0
10000025,36,2025-01-10,Display,35571,1736,53,4476.48,9315.52
10000026,51,2025-01-22,Email,64458,1101,28,1137.53,4590.32
10000027,11,2025-01-25,PPC,78373,2525,67,4619.1,7180.74
10000028,24,2025-01-03,Radio,70375,2170,129,791.71,23300.57
10000029,57,2025-01-05,Radio,65394,2686,200,2780.53,12279.48
10000030,11,2025-01-17,TV,40520,1477,64,3032.81,10384.31
10000031,55,2025-01-18,Radio,24057,1093,90,3043.42,14497.44
10000032,41,2025-01-05,Email,57767,2023,89,4267.23,11793.77
10000033,36,2025-01-19,Direct Mail,10480,196,18,3164.16,993.02
10000034,12,2025-01-01,Social,55974,955,32,3052.34,6286.02
10000035,31,2025-01-07,Direct Mail,83362,1900,166,540.78,12644.31
10000036,12,2025-01-30,TV,31577,1313,64,4466.85,11683.15
10000037,41,2025-01-20,Direct Mail,49000,1215,35,883.9,6027.42
10000038,54,2025-01-24,TV,10078,487,11,3790.31,1644.76
10000039,57,2025-01-25,TV,16533,202,4,2073.75,213.13
10000040,46,2025-01-19,Radio,70820,801,20,774.7,2263.36
10000041,16,2025-01-11,Social,70338,1780,144,201.65,19538.84
10000042,60,2025-01-19,Social,12582,214,10,2615.66,1911.7
10000043,47,2025-01-08,Radio,32811,957,72,2582.95,4784.83
10000044,21,2025-01-15,Display,76449,1131,59,3695.21,4457.29
10000045,53,2025-01-20,PPC,53028,2565,93,4212.68,4659.0
10000046,47,2025-01-17,Radio,5049,110,3,3142.1,220.31
10000047,48,2025-01-13,PPC,21989,561,30,1338.63,2276.42
10000048,26,2025-01-29,PPC,38422,1252,76,2020.41,13690.42
10000049,51,2025-01-07,Radio,67066,2583,162,309.8,28771.65
10000050,48,2025-01-10,Email,35741,1064,102,3549.52,17055.36
10000051,29,2025-01-08,Display,38712,1256,121,554.93,19910.69
10000052,11,2025-01-15,Social,42393,1836,167,106.34,25595.81
10000053,8,2025-01-13,TV,28280,1291,27,3055.74,3372.05
10000054,54,2025-01-14,Email,12257,376,34,4668.85,2567.69
10000055,18,2025-01-08,PPC,47444,2342,213,4480.82,40764.28
10000056,36,2025-01-08,PPC,70460,2220,152,1026.43,29417.72
10000057,39,2025-01-07,Social,66785,1859,168,3362.57,26571.5
10000058,50,2025-01-08,Direct Mail,7323,293,15,3485.29,2575.26
10000059,27,2025-01-10,Social,25888,941,34,932.61,5540.28
10000060,15,2025-01-09,Direct Mail,40834,584,52,3746.31,3215.98
10000061,25,2025-01-16,Direct Mail,60794,643,49,3611.11,3225.15
10000062,43,2025-01-10,TV,61093,1431,89,195.61,6431.66
10000063,42,2025-01-16,PPC,38217,1445,43,3502.43,5823.39
10000064,55,2025-01-29,Display,1064,48,2,3120.57,138.58
10000065,11,2025-01-04,Radio,40969,1118,108,372.97,12118.95
10000066,34,2025-01-30,PPC,18756,532,32,3055.14,5981.61
10000067,51,2025-01-28,Email,80434,3714,143,3170.72,22834.46
10000068,16,2025-01-02,Direct Mail,57719,859,22,2474.77,1525.38
10000069,35,2025-01-09,Display,73824,3081,78,2630.27,6147.99
10000070,51,2025-01-10,Direct Mail,45145,930,58,3075.43,3177.54
10000071,14,2025-01-27,Direct Mail,57618,2117,176,348.88,20106.31
10000072,18,2025-01-22,Display,21632,326,25,2254.09,3975.93
10000073,28,2025-01-01,Display,37418,848,26,4174.15,2875.87
10000074,53,2025-01-14,Email,48002,490,48,1364.74,5774.23
10000075,3,2025-01-09,Display,76831,3334,290,2384.22,20389.41
10000076,22,2025-01-16,Social,13566,556,14,4116.86,1636.35
10000077,46,2025-01-30,Display,66880,2850,275,4334.33,31930.56
10000078,27,2025-01-27,Direct Mail,63477,1804,114,4118.23,5863.25
10000079,15,2025-01-12,PPC,45043,812,45,1757.8,4182.76
10000080,17,2025-01-02,PPC,11741,216,21,3022.82,3927.15
10000081,22,2025-01-06,TV,20949,610,53,1222.59,10254.19
10000082,5,2025-01-29,TV,80964,3654,202,1753.5,20299.73
10000083,36,2025-01-23,PPC,79167,3647,245,868.57,26135.22
10000084,19,2025-01-04,Social,23798,880,30,2656.55,3984.53
10000085,22,2025-01-23,Social,7004,104,2,3920.94,219.96
10000086,60,2025-01-24,PPC,70855,1210,65,2893.77,8729.83
10000087,9,2025-01-19,Radio,14874,509,33,3514.91,2440.82
10000088,53,2025-01-18,Direct Mail,25787,783,29,1247.31,2740.28
10000089,18,2025-01-30,PPC,16250,632,26,2993.88,5068.43
10000090,51,2025-01-13,Social,42649,1097,52,387.42,5371.04
10000091,28,2025-01-28,Direct Mail,67307,1067,40,230.63,2272.14
10000092,30,2025-01-13,Direct Mail,79683,2060,103,3641.0,9793.09
10000093,49,2025-01-28,Radio,28528,1187,33,3187.37,6579.43
10000094,56,2025-01-22,TV,11361,206,16,4623.15,2027.67
10000095,26,2025-01-08,Email,56243,2104,82,3067.13,6071.97
10000096,25,2025-01-18,Direct Mail,24300,718,29,3891.84,3527.47
10000097,36,2025-01-10,Display,75753,2286,158,1178.09,19636.97
10000098,23,2025-01-30,TV,10088,379,19,846.81,1353.7
10000099,9,2025-01-23,Direct Mail,4601,69,6,2845.94,459.49
10000100,53,2025-01-30,Social,78420,2628,255,3660.02,32141.68
10000101,24,2025-01-15,Display,73745,2507,217,946.01,12873.61
10000102,21,2025-01-08,Direct Mail,73734,2241,172,2177.18,11149.87
10000103,7,2025-01-13,PPC,29531,1058,48,492.52,3322.13
10000104,56,2025-01-21,Email,32258,773,48,3670.85,3902.22
10000105,27,2025-01-18,Direct Mail,55461,778,16,4551.49,1012.06
10000106,31,2025-01-26,TV,82825,2753,260,3536.4,51917.79
10000107,29,2025-01-24,Social,74059,2627,98,633.92,13865.67
10000108,33,2025-01-17,TV,40234,1278,79,2404.13,6445.46
10000109,46,2025-01-16,Display,20112,489,35,4689.0,6107.15
10000110,34,2025-01-28,Email,59868,2361,147,1516.55,26130.58
10000111,28,2025-01-15,Direct Mail,60987,715,64,2700.41,4787.76
10000112,21,2025-01-06,PPC,35020,710,45,2623.04,5419.99
10000113,56,2025-01-26,TV,34212,1221,65,664.35,12738.63
10000114,11,2025-01-26,Display,51091,1562,113,3198.7,8008.4
10000115,22,2025-01-24,Email,35545,1382,34,1334.72,4252.8
10000116,21,2025-01-02,Direct Mail,25717,872,21,815.94,2652.69
10000117,13,2025-01-30,PPC,1205,34,1,364.05,183.77
10000118,57,2025-01-27,Display,54844,1850,141,473.26,23507.51
10000119,46,2025-01-31,Social,984,45,1,4059.89,125.36
10000120,18,2025-01-28,TV,81079,2383,173,3021.43,16586.46
10000121,22,2025-01-22,Email,19615,546,13,4464.57,693.58
10000122,36,2025-01-15,Direct Mail,75667,3736,193,602.41,35355.42
10000123,53,2025-01-01,PPC,79360,3097,159,2617.83,11724.34
