sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
10000001,2025-01-18,490,23,136,400,24,1243.93,3
10000002,2025-01-13,392,52,26,400,8,477.29,19
10000003,2025-01-25,102,53,13,409,2,1866.66,7
10000004,2025-01-18,923,25,198,403,2,171.29,17
10000005,2025-01-23,963,51,118,405,34,1865.22,8
10000006,2025-01-30,560,26,54,401,16,1150.98,1
10000007,2025-01-20,140,48,23,409,30,262.51,2
10000008,2025-01-25,963,23,187,405,34,867.78,9
10000009,2025-01-15,468,52,177,401,49,1527.84,18
10000010,2025-01-24,916,4,195,405,40,847.04,19
10000011,2025-01-27,558,40,42,404,22,685.25,8
10000012,2025-01-10,151,36,140,404,37,187.37,12
10000013,2025-01-21,929,20,129,406,22,48.13,5
10000014,2025-01-17,26,53,176,400,14,616.14,8
10000015,2025-01-07,648,57,147,402,17,442.84,7
10000016,2025-01-17,445,26,37,402,44,222.53,1
10000017,2025-01-08,930,18,187,410,21,527.98,11
10000018,2025-01-24,970,30,155,407,12,326.43,12
10000019,2025-01-03,685,54,81,411,44,331.36,17
10000020,2025-01-21,11,46,186,411,34,1079.8,19
10000021,2025-01-12,334,34,18,402,20,1006.13,12
10000022,2025-01-24,438,54,85,405,8,888.17,17
10000023,2025-01-25,928,20,66,401,22,1832.23,8
10000024,2025-01-08,188,10,27,402,17,965.22,5
10000025,2025-01-12,846,1,150,401,44,158.59,20
10000026,2025-01-19,776,39,58,410,17,1813.61,20
10000027,2025-01-20,56,52,143,409,28,404.48,9
10000028,2025-01-23,683,41,51,404,30,1088.15,10
10000029,2025-01-21,773,60,142,402,45,709.9,2
10000030,2025-01-29,846,51,103,405,27,1582.91,4
10000031,2025-01-02,799,37,23,401,34,1671.47,3
10000032,2025-01-14,918,12,65,401,22,1054.58,16
10000033,2025-01-23,532,4,34,408,45,1747.25,12
10000034,2025-01-15,264,34,32,410,32,256.0,10
10000035,2025-01-01,305,33,12,400,43,1444.13,20
10000036,2025-01-01,446,5,44,411,24,609.42,10
10000037,2025-01-29,364,18,35,402,40,660.52,18
10000038,2025-01-27,675,64,122,407,12,538.41,8
10000039,2025-01-07,112,54,187,404,10,1181.37,8
10000040,2025-01-04,245,8,108,408,36,1571.93,9
10000041,2025-01-05,722,28,54,400,33,1251.23,13
10000042,2025-01-29,502,38,101,400,4,643.99,4
10000043,2025-01-29,210,46,38,404,19,299.15,10
10000044,2025-01-27,76,18,177,400,9,281.21,1
10000045,2025-01-07,922,20,25,408,4,945.75,5
10000046,2025-01-07,115,9,199,405,14,332.98,18
10000047,2025-01-21,592,54,128,403,11,279.64,12
10000048,2025-01-11,225,39,138,403,20,406.93,18
10000049,2025-01-11,981,48,112,400,41,1097.13,6
10000050,2025-01-06,652,25,193,400,22,1781.98,5
10000051,2025-01-10,551,27,122,408,27,1093.47,5
10000052,2025-01-15,406,42,116,402,8,1221.64,20
10000053,2025-01-12,858,15,161,410,38,1739.66,6
10000054,2025-01-11,660,2,67,401,47,1143.36,4
10000055,2025-01-10,991,1,117,408,5,634.57,10
10000056,2025-01-24,44,44,168,402,35,438.32,19
10000057,2025-01-23,677,43,141,404,13,702.62,17
10000058,2025-01-20,474,24,151,400,48,274.86,4
10000059,2025-01-17,658,13,37,411,14,1655.34,10
10000060,2025-01-11,444,24,102,407,8,1434.82,6
10000061,2025-01-10,197,8,112,400,46,1865.43,7
10000062,2025-01-05,103,54,193,407,38,312.57,10
10000063,2025-01-14,816,40,76,402,24,976.37,16
10000064,2025-01-09,541,12,92,404,16,1302.96,2
10000065,2025-01-15,703,30,41,407,16,578.72,15
10000066,2025-01-22,996,36,11,404,17,1304.23,7
10000067,2025-01-02,983,18,9,404,7,603.4,7
10000068,2025-01-09,808,42,91,407,8,1632.52,10
10000069,2025-01-25,162,62,94,406,6,1004.49,16
10000070,2025-01-05,532,15,173,404,27,1299.53,14
10000071,2025-01-18,370,59,58,405,44,713.95,19
10000072,2025-01-30,100,54,150,402,44,1002.52,1
10000073,2025-01-02,628,49,167,406,39,1352.38,13
10000074,2025-01-22,526,27,12,408,17,961.58,15
10000075,2025-01-08,53,59,191,410,37,62.57,17
10000076,2025-01-02,876,30,18,408,17,1686.81,4
10000077,2025-01-11,810,45,120,411,44,926.16,16
10000078,2025-01-05,413,34,50,406,35,510.04,13
