opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP30000001,,ACC000798,Martin Robinson Group - Hybrid Cloud,Closed Lost,28882.0,0,2025-12-31,2025-10-10,Web,Existing Customer - Upgrade,
OPP30000002,,ACC000885,Academy of Southampton - SIP Trunks,Closed Lost,120074.03,0,2025-12-31,2025-12-12,Partner Referral,Renewal,
OPP30000003,30000003,ACC000627,Wright Harris Associates - IoT Platform,Closed Won,52005.89,100,2025-12-31,2025-09-13,Phone Inquiry,Existing Customer - Upgrade,
OPP30000004,,ACC000256,Hughes Patel UK - SD-WAN Deployment,Closed Lost,41292.36,0,2025-10-15,2025-07-14,Other,Existing Customer - Downgrade,
OPP30000005,30000005,ACC000170,Edwards Cooper UK - SD-WAN Deployment,Closed Won,236419.61,100,2025-05-17,2025-01-05,Partner Referral,Existing Customer - Upgrade,
OPP30000006,30000006,ACC000242,Academy of Cardiff - Secure Communications,Closed Won,165805.28,100,2025-08-24,2025-06-09,Phone Inquiry,New Customer,
OPP30000007,,ACC000040,Walker Harris Services - SIP Trunks,Closed Lost,184426.86,0,2025-11-25,2025-10-04,Partner Referral,Renewal,
OPP30000008,,ACC000397,Edwards Turner UK - Mobile Enterprise,Closed Lost,67045.98,0,2025-03-03,2025-01-10,Other,Existing Customer - Upgrade,132
OPP30000009,,ACC000749,Moore Connect Group - Secure Communications,Closed Lost,49790.45,0,2025-05-01,2025-02-16,Campaign,Existing Customer - Replacement,
OPP30000010,30000010,ACC000194,Hill Tech Ltd - SD-WAN Deployment,Closed Won,56081.6,100,2025-12-31,2025-10-30,Partner Referral,Renewal,
OPP30000011,30000011,ACC000982,Martin Hill Partners - UCaaS Project,Closed Won,52546.75,100,2025-11-20,2025-08-01,Partner Referral,Existing Customer - Replacement,
OPP30000012,,ACC000057,Lee Davies Group - SD-WAN Deployment,Closed Lost,68429.85,0,2025-12-31,2025-11-29,Purchased List,New Customer,
OPP30000013,,ACC000760,Wilson Evans International - Hybrid Cloud,Closed Lost,15929.77,0,2025-09-15,2025-07-30,Web,Renewal,
OPP30000014,,ACC000833,Hill Thompson and Co - Cloud Communications,Closed Lost,59874.49,0,2025-11-14,2025-06-16,Purchased List,Existing Customer - Upgrade,
OPP30000015,30000015,ACC000483,Hughes Harrison UK - 5G Business Solution,Closed Won,8342.36,100,2025-09-17,2025-04-07,Partner Referral,Existing Customer - Replacement,
OPP30000016,30000016,ACC000429,Morris Evans Services - Workforce Management,Closed Won,63373.52,100,2025-12-31,2025-12-16,Purchased List,Existing Customer - Replacement,1
OPP30000017,30000017,ACC000410,Walker Lewis and Co - Workforce Management,Closed Won,57681.83,100,2025-11-11,2025-09-17,Partner Referral,Existing Customer - Downgrade,
OPP30000018,30000018,ACC000797,Morris Davies Solutions - IoT Platform,Closed Won,140047.96,100,2025-05-15,2025-03-22,Web,Existing Customer - Downgrade,
OPP30000019,30000019,ACC000951,Wright Taylor Services - Workforce Management,Closed Won,55575.46,100,2025-07-03,2025-04-06,Purchased List,Existing Customer - Upgrade,155
OPP30000020,30000020,ACC000279,Newcastle County Council - IoT Platform,Closed Won,52754.8,100,2025-12-31,2025-12-03,Web,New Customer,
OPP30000021,,ACC000744,King Hill LLP - Workforce Management,Closed Lost,64377.08,0,2025-12-07,2025-07-16,Partner Referral,Renewal,266
OPP30000022,,ACC000738,Brown Morgan and Co - Hybrid Cloud,Closed Lost,232137.36,0,2025-12-31,2025-12-09,Partner Referral,Existing Customer - Replacement,293
OPP30000023,30000023,ACC000385,King IT Solutions Partners - Cloud Communications,Closed Won,24157.57,100,2025-04-22,2025-02-14,Partner Referral,New Customer,
OPP30000024,,ACC000368,Taylor White Associates - Contact Centre Solution,Closed Lost,31706.83,0,2025-12-31,2025-12-12,Partner Referral,Existing Customer - Downgrade,31
OPP30000025,,ACC000193,Moore Telecom Ltd - Digital Transformation,Needs Analysis,49223.38,40,2025-05-21,2025-02-06,Phone Inquiry,New Customer,454
OPP30000026,,ACC000325,Morris Jackson PLC - Cloud Communications,Closed Lost,57107.56,0,2025-06-12,2025-01-31,Purchased List,Existing Customer - Upgrade,
OPP30000027,,ACC000794,University of Sheffield - IoT Platform,Closed Lost,212626.94,0,2025-05-26,2025-03-16,Partner Referral,Existing Customer - Upgrade,
OPP30000028,30000028,ACC000848,Evans Morris International - Digital Transformation,Closed Won,40809.12,100,2025-10-31,2025-09-14,Web,Existing Customer - Replacement,
OPP30000029,,ACC000707,Lewis Thompson PLC - Workforce Management,Closed Lost,240924.27,0,2025-12-31,2025-08-09,Web,Existing Customer - Downgrade,
OPP30000030,,ACC000933,Davies Ward and Co - Hybrid Cloud,Closed Lost,43298.11,0,2025-10-01,2025-08-12,Web,New Customer,
OPP30000031,,ACC000611,Clark Jackson LLP - Contact Centre Solution,Closed Lost,16350.09,0,2025-11-30,2025-07-06,Partner Referral,Existing Customer - Downgrade,372
OPP30000032,,ACC000517,Lee Williams Holdings - 5G Business Solution,Closed Lost,64874.94,0,2025-06-15,2025-02-28,Web,Existing Customer - Downgrade,19
OPP30000033,30000033,ACC000162,Academy of Birmingham - Hybrid Cloud,Closed Won,206643.55,100,2025-10-22,2025-09-08,Web,New Customer,
OPP30000034,,ACC000695,Morgan Thompson PLC - UCaaS Project,Closed Lost,64529.35,0,2025-11-06,2025-07-28,Web,Existing Customer - Upgrade,339
OPP30000035,,ACC000690,Wright Jones LLP - Digital Transformation,Closed Lost,35044.92,0,2025-12-31,2025-10-28,Purchased List,New Customer,378
OPP30000036,30000036,ACC000678,University of Coventry - UCaaS Project,Closed Won,30547.08,100,2025-12-31,2025-08-18,Web,New Customer,424
OPP30000037,,ACC000044,Lewis Martin International - 5G Business Solution,Closed Lost,195264.68,0,2025-10-20,2025-05-06,Phone Inquiry,Existing Customer - Upgrade,
OPP30000038,30000038,ACC000384,Martin Wright and Co - Digital Transformation,Closed Won,74489.38,100,2025-12-12,2025-07-18,Other,Renewal,
OPP30000039,30000039,ACC000493,Walker Ward International - Secure Communications,Closed Won,109382.62,100,2025-12-22,2025-11-01,Web,Renewal,
OPP30000040,30000040,ACC000839,Davies Morgan Partners - SD-WAN Deployment,Closed Won,43529.82,100,2025-05-26,2025-04-23,Web,Existing Customer - Downgrade,
OPP30000041,,ACC000895,Green Roberts Ltd - IoT Platform,Closed Lost,73805.91,0,2025-10-17,2025-05-31,Campaign,Existing Customer - Upgrade,326
OPP30000042,,ACC000553,Patel Davies Solutions - Cloud Communications,Closed Lost,66419.84,0,2025-12-31,2025-12-29,Web,Existing Customer - Replacement,370
OPP30000043,,ACC000518,Moore Edwards Services - IoT Platform,Closed Lost,67135.65,0,2025-05-08,2025-01-20,Web,Existing Customer - Upgrade,
OPP30000044,,ACC000447,Green Martin Ltd - Cloud Communications,Closed Lost,221901.76,0,2025-10-29,2025-05-07,Partner Referral,Existing Customer - Replacement,170
OPP30000045,,ACC000520,Hill Lewis LLP - Mobile Enterprise,Closed Lost,39209.59,0,2025-12-03,2025-09-24,Partner Referral,Renewal,
OPP30000046,,ACC000191,Evans Thomas PLC - Contact Centre Solution,Closed Lost,242885.51,0,2025-03-19,2025-01-27,Web,Existing Customer - Upgrade,
OPP30000047,,ACC000323,University of Sheffield - UCaaS Project,Closed Lost,99208.88,0,2025-10-06,2025-07-16,Campaign,Renewal,103
OPP30000048,30000048,ACC000327,Jones Harrison PLC - IoT Platform,Closed Won,149003.78,100,2025-10-02,2025-08-26,Campaign,Existing Customer - Upgrade,413
OPP30000049,30000049,ACC000995,Edwards Robinson LLP - IoT Platform,Closed Won,61157.99,100,2025-04-18,2025-01-26,Phone Inquiry,New Customer,79
OPP30000050,,ACC000565,Clark Williams LLP - SIP Trunks,Closed Lost,21822.44,0,2025-09-12,2025-05-21,Purchased List,New Customer,
OPP30000051,,ACC000167,City Hospital NHS Trust - SD-WAN Deployment,Closed Lost,63399.0,0,2025-10-29,2025-08-26,Other,Existing Customer - Upgrade,318
OPP30000052,,ACC000857,Cooper Moore Holdings - Contact Centre Solution,Closed Lost,187699.8,0,2025-12-31,2025-11-28,Partner Referral,New Customer,
OPP30000053,30000053,ACC000531,Roberts Harris Solutions - IoT Platform,Closed Won,18921.1,100,2025-12-31,2025-11-10,Partner Referral,Existing Customer - Downgrade,347
OPP30000054,,ACC000587,Clark Hughes UK - SD-WAN Deployment,Closed Lost,132087.67,0,2025-12-28,2025-07-15,Phone Inquiry,Existing Customer - Upgrade,438
OPP30000055,30000055,ACC000947,Morris Clarke Associates - 5G Business Solution,Closed Won,41826.37,100,2025-10-20,2025-06-26,Phone Inquiry,New Customer,
OPP30000056,30000056,ACC000030,Davies Turner and Co - Secure Communications,Closed Won,43674.73,100,2025-11-07,2025-07-06,Partner Referral,Existing Customer - Replacement,
OPP30000057,30000057,ACC000769,University of Belfast - SD-WAN Deployment,Closed Won,72659.54,100,2025-08-30,2025-07-24,Campaign,Existing Customer - Upgrade,
OPP30000058,,ACC000191,Evans Thomas PLC - Workforce Management,Closed Lost,58030.17,0,2025-09-15,2025-08-12,Purchased List,Renewal,
OPP30000059,30000059,ACC000940,Taylor Clarke PLC - Hybrid Cloud,Closed Won,194137.55,100,2025-11-06,2025-08-06,Other,Existing Customer - Upgrade,485
OPP30000060,30000060,ACC000875,Academy of Brighton - SD-WAN Deployment,Closed Won,52684.15,100,2025-12-25,2025-10-27,Partner Referral,Renewal,
OPP30000061,30000061,ACC000464,Turner Jackson Holdings - 5G Business Solution,Closed Won,69908.67,100,2025-07-30,2025-02-03,Web,New Customer,
OPP30000062,,ACC000629,King Lee Ltd - Cloud Communications,Closed Lost,158713.73,0,2025-07-03,2025-02-16,Web,Existing Customer - Upgrade,102
OPP30000063,30000063,ACC000339,Davies King Holdings - Digital Transformation,Closed Won,54078.97,100,2025-12-31,2025-12-07,Phone Inquiry,Existing Customer - Upgrade,464
OPP30000064,,ACC000061,Roberts Networks Ltd - SD-WAN Deployment,Closed Lost,70700.03,0,2025-12-31,2025-12-05,Phone Inquiry,Existing Customer - Replacement,279
OPP30000065,,ACC000462,Wilson Robinson UK - Hybrid Cloud,Closed Lost,141649.12,0,2025-05-23,2025-01-30,Partner Referral,New Customer,182
OPP30000066,,ACC000355,Turner King Holdings - Contact Centre Solution,Closed Lost,101536.22,0,2025-07-03,2025-04-14,Partner Referral,New Customer,
OPP30000067,,ACC000086,Taylor Thompson Partners - Secure Communications,Closed Lost,14873.63,0,2025-05-13,2025-04-12,Partner Referral,Renewal,9
OPP30000068,30000068,ACC000224,Harrison White Solutions - IoT Platform,Closed Won,77016.43,100,2025-05-09,2025-02-07,Other,Existing Customer - Replacement,131
OPP30000069,,ACC000842,Robinson Ward and Co - SD-WAN Deployment,Closed Lost,109620.6,0,2025-12-31,2025-12-02,Other,New Customer,
OPP30000070,30000070,ACC000526,Wood Wilson LLP - SIP Trunks,Closed Won,231878.81,100,2025-06-08,2025-01-16,Partner Referral,Existing Customer - Downgrade,
OPP30000071,30000071,ACC000500,Walker Patel UK - Mobile Enterprise,Closed Won,41936.17,100,2025-12-14,2025-07-14,Web,Renewal,334
OPP30000072,,ACC000196,Clarke Thomas UK - IoT Platform,Closed Lost,25802.06,0,2025-12-31,2025-08-24,Web,New Customer,390
OPP30000073,,ACC000972,Patel Williams PLC - Digital Transformation,Closed Lost,19322.51,0,2025-09-13,2025-07-24,Phone Inquiry,Renewal,12
OPP30000074,30000074,ACC000321,County Hospital NHS Trust - UCaaS Project,Closed Won,41702.1,100,2025-09-07,2025-05-05,Phone Inquiry,Existing Customer - Downgrade,
OPP30000075,30000075,ACC000791,Hall Martin Services - IoT Platform,Closed Won,52630.59,100,2025-09-25,2025-05-28,Partner Referral,New Customer,
OPP30000076,30000076,ACC000173,Cooper Smith PLC - SD-WAN Deployment,Closed Won,22150.93,100,2025-06-06,2025-05-04,Partner Referral,Existing Customer - Downgrade,
OPP30000077,30000077,ACC000004,Edwards Johnson Solutions - 5G Business Solution,Closed Won,69733.87,100,2025-07-17,2025-05-01,Other,Existing Customer - Replacement,
OPP30000078,30000078,ACC000462,Wilson Robinson UK - Contact Centre Solution,Closed Won,33126.26,100,2025-12-31,2025-09-22,Partner Referral,Existing Customer - Replacement,367
OPP30000079,30000079,ACC000501,Academy of Leeds - Hybrid Cloud,Closed Won,205785.92,100,2025-03-07,2025-02-05,Web,Existing Customer - Replacement,
OPP30000080,,ACC000012,Evans Johnson and Co - Secure Communications,Closed Lost,133598.36,0,2025-11-28,2025-07-31,Partner Referral,Existing Customer - Upgrade,
OPP30000081,,ACC000920,Harrison Lee Group - IoT Platform,Closed Lost,51153.18,0,2025-12-31,2025-12-12,Web,Renewal,83
OPP30000082,,ACC000915,Brown King Ltd - Contact Centre Solution,Closed Lost,84741.34,0,2025-09-13,2025-05-30,Web,Existing Customer - Upgrade,
OPP30000083,30000083,ACC000223,Ward Robinson Solutions - Cloud Communications,Closed Won,203036.23,100,2025-08-01,2025-05-05,Partner Referral,New Customer,
OPP30000084,30000084,ACC000637,Wright Wright Partners - Contact Centre Solution,Closed Won,55777.53,100,2025-03-20,2025-01-01,Partner Referral,Existing Customer - Replacement,
OPP30000085,,ACC000892,Ward Jones Services - IoT Platform,Closed Lost,32869.78,0,2025-03-28,2025-01-14,Phone Inquiry,New Customer,
OPP30000086,30000086,ACC000177,Patel Taylor UK - 5G Business Solution,Closed Won,10866.48,100,2025-10-13,2025-07-21,Web,Existing Customer - Replacement,327
OPP30000087,30000087,ACC000808,Wright Davies Services - Workforce Management,Closed Won,145972.28,100,2025-10-15,2025-05-04,Web,Renewal,117
OPP30000088,30000088,ACC000999,Davies Green PLC - 5G Business Solution,Closed Won,238760.86,100,2025-10-05,2025-08-03,Web,New Customer,
OPP30000089,,ACC000983,Green Baker Holdings - IoT Platform,Closed Lost,27771.45,0,2025-12-31,2025-11-21,Partner Referral,Existing Customer - Replacement,
OPP30000090,,ACC000498,Turner Patel PLC - Hybrid Cloud,Closed Lost,96303.47,0,2025-11-29,2025-10-08,Web,New Customer,498
OPP30000091,30000091,ACC000511,Cooper Jackson International - Workforce Management,Closed Won,62523.26,100,2025-11-07,2025-07-21,Web,Existing Customer - Downgrade,121
OPP30000092,,ACC000604,Lewis Networks Group - Hybrid Cloud,Closed Lost,16322.97,0,2025-12-31,2025-10-15,Phone Inquiry,Existing Customer - Replacement,472
OPP30000093,30000093,ACC000474,Lewis Networks Ltd - Contact Centre Solution,Closed Won,67138.78,100,2025-12-31,2025-10-28,Partner Referral,New Customer,
OPP30000094,,ACC000715,Ward Connect Ltd - Digital Transformation,Closed Lost,33811.34,0,2025-12-31,2025-09-17,Partner Referral,New Customer,
OPP30000095,30000095,ACC000344,Thomas Wood PLC - Workforce Management,Closed Won,59770.16,100,2025-05-01,2025-03-19,Partner Referral,Existing Customer - Upgrade,
OPP30000096,,ACC000911,Hall Taylor and Co - 5G Business Solution,Closed Lost,29636.78,0,2025-06-21,2025-02-17,Web,Renewal,
OPP30000097,,ACC000193,Moore Telecom Ltd - Digital Transformation,Closed Lost,37425.25,0,2025-08-12,2025-03-03,Partner Referral,Existing Customer - Replacement,
OPP30000098,,ACC000562,Wright Wilson Holdings - Digital Transformation,Closed Lost,16526.13,0,2025-12-31,2025-09-22,Partner Referral,Existing Customer - Upgrade,70
OPP30000099,,ACC000752,Lee Lewis Associates - Secure Communications,Closed Lost,231079.42,0,2025-11-14,2025-10-04,Web,Existing Customer - Upgrade,
OPP30000100,,ACC000702,Turner Smith UK - Workforce Management,Closed Lost,104064.64,0,2025-05-21,2025-03-16,Phone Inquiry,New Customer,
OPP30000101,30000101,ACC000373,Roberts Jackson Group - Contact Centre Solution,Closed Won,50976.19,100,2025-12-08,2025-07-06,Other,Renewal,
OPP30000102,,ACC000353,Morris Communications Partners - Hybrid Cloud,Prospecting,25757.64,10,2025-11-10,2025-05-24,Partner Referral,Existing Customer - Upgrade,
OPP30000103,,ACC000593,Hall White UK - Digital Transformation,Closed Lost,69725.32,0,2025-09-26,2025-05-23,Phone Inquiry,Existing Customer - Upgrade,
OPP30000104,30000104,ACC000513,Turner Clarke UK - Cloud Communications,Closed Won,196759.29,100,2025-11-02,2025-05-29,Phone Inquiry,Existing Customer - Replacement,
OPP30000105,,ACC000624,Hill Evans LLP - Secure Communications,Closed Lost,80697.55,0,2025-08-23,2025-07-17,Phone Inquiry,Existing Customer - Replacement,500
OPP30000106,30000106,ACC000935,Ward Edwards International - Workforce Management,Closed Won,55173.37,100,2025-04-01,2025-02-03,Partner Referral,Renewal,100
OPP30000107,,ACC000149,Lewis Roberts International - SD-WAN Deployment,Closed Lost,162631.79,0,2025-12-31,2025-09-18,Campaign,Renewal,278
OPP30000108,,ACC000549,Williams Wright Holdings - SD-WAN Deployment,Closed Lost,26051.11,0,2025-11-06,2025-05-26,Partner Referral,Existing Customer - Upgrade,
OPP30000109,30000109,ACC000337,White Turner LLP - SIP Trunks,Closed Won,86058.47,100,2025-12-31,2025-12-25,Web,New Customer,
OPP30000110,30000110,ACC000977,Morris IT Solutions Ltd - Secure Communications,Closed Won,22476.24,100,2025-12-31,2025-11-14,Web,Existing Customer - Replacement,
OPP30000111,,ACC000163,Martin Moore Associates - 5G Business Solution,Closed Lost,44087.78,0,2025-05-03,2025-03-15,Phone Inquiry,Renewal,458
OPP30000112,,ACC000676,Clark Wilson and Co - Mobile Enterprise,Closed Lost,132388.71,0,2025-12-31,2025-08-09,Partner Referral,Existing Customer - Replacement,
OPP30000113,30000113,ACC000230,Hughes Walker Ltd - Hybrid Cloud,Closed Won,29472.39,100,2025-12-31,2025-08-30,Purchased List,Renewal,
OPP30000114,30000114,ACC000931,Lewis Tech Partners - Workforce Management,Closed Won,53671.12,100,2025-12-31,2025-09-25,Purchased List,Renewal,
OPP30000115,30000115,ACC000455,Baker King Associates - SD-WAN Deployment,Closed Won,93530.58,100,2025-10-29,2025-08-10,Partner Referral,Existing Customer - Upgrade,
OPP30000116,,ACC000157,Morgan Ward UK - 5G Business Solution,Closed Lost,82818.13,0,2025-11-07,2025-08-15,Purchased List,New Customer,
OPP30000117,,ACC000345,Hughes Lewis Services - IoT Platform,Closed Lost,111706.09,0,2025-09-03,2025-04-24,Partner Referral,New Customer,
OPP30000118,,ACC000646,Academy of Leeds - SIP Trunks,Closed Lost,239885.95,0,2025-12-11,2025-10-03,Web,Existing Customer - Upgrade,
OPP30000119,30000119,ACC000910,Davies Baker Ltd - Workforce Management,Closed Won,17712.97,100,2025-12-31,2025-11-12,Web,New Customer,
OPP30000120,30000120,ACC000287,White Clarke Group - UCaaS Project,Closed Won,98027.53,100,2025-04-29,2025-02-25,Web,Existing Customer - Replacement,42
OPP30000121,30000121,ACC000832,Martin Patel International - Workforce Management,Closed Won,64510.8,100,2025-07-12,2025-03-17,Campaign,Existing Customer - Upgrade,
OPP30000122,30000122,ACC000823,Academy of Glasgow - Contact Centre Solution,Closed Won,56134.83,100,2025-08-09,2025-04-23,Phone Inquiry,New Customer,
OPP30000123,,ACC000392,Moore Roberts PLC - Mobile Enterprise,Closed Lost,245574.44,0,2025-12-30,2025-10-29,Web,New Customer,
OPP30000124,30000124,ACC000077,Wright Robinson LLP - Secure Communications,Closed Won,55262.47,100,2025-08-09,2025-06-05,Web,Existing Customer - Replacement,127
OPP30000125,,ACC000362,Ward Smith Associates - IoT Platform,Perception Analysis,34351.59,85,2025-09-29,2025-08-15,Phone Inquiry,Existing Customer - Replacement,308
OPP30000126,30000126,ACC000853,Roberts Walker UK - Hybrid Cloud,Closed Won,96334.96,100,2025-08-04,2025-05-30,Web,Renewal,
OPP30000127,,ACC000241,Thomas Turner Associates - UCaaS Project,Closed Lost,20868.59,0,2025-06-14,2025-03-30,Campaign,Renewal,
OPP30000128,,ACC000990,Morris Patel LLP - UCaaS Project,Closed Lost,241692.61,0,2025-12-31,2025-12-20,Phone Inquiry,New Customer,161
OPP30000129,,ACC000881,Kings Hospital NHS Trust - IoT Platform,Closed Lost,49113.72,0,2025-03-08,2025-01-13,Other,Existing Customer - Upgrade,
OPP30000130,,ACC000577,Brown IT Solutions Group - Cloud Communications,Closed Lost,36134.81,0,2025-03-20,2025-01-09,Partner Referral,Existing Customer - Replacement,47
OPP30000131,30000131,ACC000360,Harrison Jones LLP - Secure Communications,Closed Won,74537.29,100,2025-07-22,2025-02-17,Other,Existing Customer - Replacement,
OPP30000132,,ACC000669,Morgan Johnson Holdings - 5G Business Solution,Closed Lost,33528.9,0,2025-06-20,2025-02-16,Partner Referral,Renewal,343
OPP30000133,,ACC000396,Davies Green Ltd - 5G Business Solution,Closed Lost,201875.13,0,2025-04-22,2025-01-10,Partner Referral,New Customer,
OPP30000134,,ACC000953,Academy of Reading - SD-WAN Deployment,Closed Lost,248824.17,0,2025-09-02,2025-04-27,Partner Referral,Existing Customer - Upgrade,
OPP30000135,,ACC000175,Evans Morris International - UCaaS Project,Closed Lost,145739.16,0,2025-12-31,2025-09-28,Other,New Customer,
