snapshot_id,snapshot_date,stage_name,opportunity_count,total_amount,weighted_amount,avg_days_in_stage
SNP10000001,2025-01-03,Prospecting,92,4533224.61,453322.46,6
SNP10000002,2025-01-03,Qualification,80,3779555.99,755911.2,19
SNP10000003,2025-01-03,Needs Analysis,56,2979823.73,1191929.49,29
SNP10000004,2025-01-03,Value Proposition,65,2963942.41,1481971.2,33
SNP10000005,2025-01-03,Proposal/Price Quote,42,2307302.12,1384381.27,39
SNP10000006,2025-01-03,Negotiation/Review,36,2017197.74,1512898.3,30
SNP10000007,2025-01-03,Id. Decision Makers,34,1528014.89,1222411.91,6
SNP10000008,2025-01-03,Perception Analysis,17,875448.98,744131.63,34
SNP10000009,2025-01-10,Prospecting,66,3841349.77,384134.98,14
SNP10000010,2025-01-10,Qualification,65,3426657.94,685331.59,5
SNP10000011,2025-01-10,Needs Analysis,79,3526715.37,1410686.15,10
SNP10000012,2025-01-10,Value Proposition,66,2978670.89,1489335.45,35
SNP10000013,2025-01-10,Proposal/Price Quote,57,2671221.35,1602732.81,44
SNP10000014,2025-01-10,Negotiation/Review,36,2008852.88,1506639.66,30
SNP10000015,2025-01-10,Id. Decision Makers,34,1528217.62,1222574.1,11
SNP10000016,2025-01-10,Perception Analysis,19,924162.53,785538.15,39
SNP10000017,2025-01-17,Prospecting,100,4741642.08,474164.21,8
SNP10000018,2025-01-17,Qualification,76,3686783.88,737356.78,25
SNP10000019,2025-01-17,Needs Analysis,78,3509416.38,1403766.55,8
SNP10000020,2025-01-17,Value Proposition,63,2908137.11,1454068.56,41
SNP10000021,2025-01-17,Proposal/Price Quote,53,2581053.73,1548632.24,16
SNP10000022,2025-01-17,Negotiation/Review,38,2060619.01,1545464.26,17
SNP10000023,2025-01-17,Id. Decision Makers,25,1311138.0,1048910.4,20
SNP10000024,2025-01-17,Perception Analysis,16,865665.47,735815.65,26
SNP10000025,2025-01-24,Prospecting,99,4712529.68,471252.97,8
SNP10000026,2025-01-24,Qualification,54,3122274.13,624454.83,41
SNP10000027,2025-01-24,Needs Analysis,82,3584192.83,1433677.13,35
SNP10000028,2025-01-24,Value Proposition,44,2447794.69,1223897.35,9
SNP10000029,2025-01-24,Proposal/Price Quote,38,2191451.28,1314870.77,15
SNP10000030,2025-01-24,Negotiation/Review,32,1911679.84,1433759.88,14
SNP10000031,2025-01-24,Id. Decision Makers,33,1487867.51,1190294.01,15
SNP10000032,2025-01-24,Perception Analysis,14,806245.43,685308.62,30
SNP10000033,2025-01-31,Prospecting,75,4117200.45,411720.04,9
SNP10000034,2025-01-31,Qualification,70,3557695.68,711539.14,45
SNP10000035,2025-01-31,Needs Analysis,48,2744726.38,1097890.55,43
SNP10000036,2025-01-31,Value Proposition,65,2959813.41,1479906.71,40
SNP10000037,2025-01-31,Proposal/Price Quote,52,2550498.42,1530299.05,33
SNP10000038,2025-01-31,Negotiation/Review,37,2058927.82,1544195.87,22
SNP10000039,2025-01-31,Id. Decision Makers,33,1502272.57,1201818.05,6
SNP10000040,2025-01-31,Perception Analysis,19,920908.95,782772.61,26
SNP10000041,2025-02-07,Prospecting,96,4780347.56,478034.76,20
SNP10000042,2025-02-07,Qualification,67,3576124.72,715224.94,32
SNP10000043,2025-02-07,Needs Analysis,69,3392289.27,1356915.71,20
SNP10000044,2025-02-07,Value Proposition,66,3074882.0,1537441.0,29
SNP10000045,2025-02-07,Proposal/Price Quote,62,2868984.63,1721390.78,32
SNP10000046,2025-02-07,Negotiation/Review,37,2106701.6,1580026.2,14
SNP10000047,2025-02-07,Id. Decision Makers,29,1452149.71,1161719.77,42
SNP10000048,2025-02-07,Perception Analysis,24,1084018.06,921415.35,32
SNP10000049,2025-02-14,Prospecting,123,5402227.76,540222.78,29
SNP10000050,2025-02-14,Qualification,90,4142286.59,828457.32,42
SNP10000051,2025-02-14,Needs Analysis,48,2828419.87,1131367.95,33
SNP10000052,2025-02-14,Value Proposition,49,2645528.48,1322764.24,29
SNP10000053,2025-02-14,Proposal/Price Quote,50,2584981.34,1550988.8,18
SNP10000054,2025-02-14,Negotiation/Review,47,2363765.91,1772824.43,45
SNP10000055,2025-02-14,Id. Decision Makers,30,1470285.65,1176228.52,16
SNP10000056,2025-02-14,Perception Analysis,15,845242.11,718455.79,6
SNP10000057,2025-02-21,Prospecting,68,4029426.77,402942.68,19
SNP10000058,2025-02-21,Qualification,82,3941563.06,788312.61,8
SNP10000059,2025-02-21,Needs Analysis,71,3438826.32,1375530.53,31
