contract_id,customer_key,account_name,industry,region,contract_type,contract_start_date,contract_end_date,contract_term_months,annual_contract_value,total_contract_value,renewal_status,renewal_probability,days_to_renewal,competitor_threat,competitor_name,proposed_change,proposed_value_change,account_manager,nps_score,support_tickets_ytd,last_engagement_date
CON000001,3284,Enterprise Customer 1,Financial Services,Wales,SIP Trunking,2024-04-11,2025-04-06,12,75506.73,75506.73,Renewed,0.79,0,None,,,,AM043,7,33,2025-11-02
CON000002,1792,Enterprise Customer 2,Technology,East,UCaaS,2023-08-26,2024-08-20,12,172483.62,172483.62,Renewed,0.62,0,Medium,Three,,,AM044,1,8,2025-12-03
CON000003,3138,Enterprise Customer 3,Hospitality,London,UCaaS,2024-05-07,2025-05-02,12,196938.57,196938.57,Renewed,0.63,0,High,BT,,,AM050,8,38,2025-12-01
CON000004,401,Enterprise Customer 4,Retail,Wales,Business Broadband,2024-07-23,2025-07-18,12,60603.58,60603.58,Renewed,0.84,0,Low,Three,,,AM035,2,6,2025-11-17
CON000005,3556,Enterprise Customer 5,Technology,West Midlands,Managed Security,2023-07-24,2028-06-27,60,20475.67,102378.35,Active,0.69,880,Medium,Three,,,AM046,2,17,2025-11-18
CON000006,2443,Enterprise Customer 6,Retail,London,Managed Security,2023-06-27,2025-06-16,24,291131.85,582263.7,Renewed,0.88,0,Low,BT,,,AM030,3,33,2026-01-11
CON000007,4642,Enterprise Customer 7,Hospitality,London,IoT Connectivity,2024-10-05,2029-09-09,60,75836.84,379184.2,Active,0.77,1319,Low,Three,,,AM021,10,28,2026-01-04
CON000008,3967,Enterprise Customer 8,Manufacturing,South East,CCaaS,2023-12-23,2025-12-12,24,39899.57,79799.14,Renewed,0.8,0,Low,Three,,,AM031,3,2,2025-12-07
CON000009,1674,Enterprise Customer 9,Technology,West Midlands,CCaaS,2024-02-23,2029-01-27,60,389043.99,1945219.95,Active,0.94,1094,Low,TalkTalk,,,AM045,10,48,2025-11-09
CON000010,3821,Enterprise Customer 10,Technology,Wales,CCaaS,2023-03-21,2026-03-05,36,418499.3,1255497.9,Pending Renewal,0.92,35,Low,BT,Upgrade,78663.37,AM025,7,5,2025-12-21
CON000011,661,Enterprise Customer 11,Healthcare,Northern Ireland,UCaaS,2023-11-19,2024-11-13,12,419062.52,419062.52,Renewed,0.93,0,Low,Three,,,AM003,4,14,2026-01-12
CON000012,882,Enterprise Customer 12,Financial Services,Scotland,SIP Trunking,2024-03-20,2027-03-05,36,7678.14,23034.42,Active,0.94,400,Low,Vodafone,,,AM025,8,32,2025-12-27
CON000013,3280,Enterprise Customer 13,Professional Services,North West,CCaaS,2023-11-20,2024-11-14,12,141130.51,141130.51,Renewed,0.79,0,Medium,Vodafone,,,AM012,3,46,2025-12-03
CON000014,4986,Enterprise Customer 14,Technology,Scotland,Business Mobile,2023-08-04,2026-07-19,36,93788.93,281366.79,Active,0.64,171,High,Three,,,AM035,3,12,2025-12-14
CON000015,725,Enterprise Customer 15,Healthcare,Scotland,SIP Trunking,2023-02-11,2026-01-26,36,81808.45,245425.35,Renewed,0.66,0,Medium,Three,,,AM036,1,41,2025-10-31
CON000016,3782,Enterprise Customer 16,Transport,South East,UCaaS,2024-03-11,2026-03-01,24,87009.79,174019.58,Renewed,0.84,31,None,,,,AM016,3,43,2025-11-18
CON000017,1459,Enterprise Customer 17,Financial Services,Wales,Business Mobile,2024-03-05,2026-02-23,24,66012.67,132025.34,In Negotiation,0.77,25,Low,BT,Downgrade,-18349.84,AM024,9,7,2026-01-21
CON000018,319,Enterprise Customer 18,Financial Services,London,SD-WAN,2023-05-12,2028-04-15,60,27170.87,135854.35,Active,0.9,807,None,,,,AM033,4,33,2025-11-08
CON000019,4803,Enterprise Customer 19,Manufacturing,North West,CCaaS,2023-05-06,2024-04-30,12,286006.32,286006.32,Churned,0.77,0,None,,,,AM044,1,11,2025-12-20
CON000020,971,Enterprise Customer 20,Technology,South West,SD-WAN,2024-06-11,2025-06-06,12,207145.6,207145.6,Renewed,0.87,0,Low,Three,,,AM030,9,40,2026-01-10
CON000021,3281,Enterprise Customer 21,Manufacturing,Yorkshire,CCaaS,2023-09-18,2028-08-22,60,431171.0,2155855.0,Active,0.8,936,Low,TalkTalk,,,AM050,6,29,2026-01-05
CON000022,3876,Enterprise Customer 22,Financial Services,Yorkshire,SD-WAN,2024-12-05,2027-11-20,36,96965.63,290896.89,Active,0.84,660,None,,,,AM016,8,34,2025-12-16
CON000023,2201,Enterprise Customer 23,Transport,North West,CCaaS,2023-09-29,2024-09-23,12,420746.6,420746.6,Renewed,0.76,0,Low,Vodafone,,,AM012,4,0,2025-12-09
CON000024,1722,Enterprise Customer 24,Technology,West Midlands,Managed Security,2023-12-09,2024-12-03,12,247468.82,247468.82,Renewed,0.84,0,Low,Vodafone,,,AM003,5,4,2025-12-09
CON000025,1398,Enterprise Customer 25,Hospitality,South West,Business Broadband,2024-08-13,2027-07-29,36,27661.16,82983.48,Active,0.94,546,None,,,,AM042,1,11,2025-11-27
CON000026,3926,Enterprise Customer 26,Transport,North West,Business Mobile,2024-09-17,2026-09-07,24,15199.67,30399.34,Active,0.56,221,High,Vodafone,,,AM042,3,27,2025-12-31
CON000027,3397,Enterprise Customer 27,Government,East,Business Mobile,2024-05-25,2025-05-20,12,6076.8,6076.8,Renewed,0.9,0,None,,,,AM011,8,38,2025-11-25
CON000028,729,Enterprise Customer 28,Financial Services,Northern Ireland,Managed Security,2023-07-25,2025-07-14,24,114855.89,229711.78,Renewed,0.5,0,High,Vodafone,,,AM013,1,17,2026-01-07
CON000029,3850,Enterprise Customer 29,Education,Yorkshire,SD-WAN,2023-02-07,2026-01-22,36,108920.79,326762.37,Renewed,0.95,0,None,,,,AM045,5,37,2025-11-22
CON000030,3698,Enterprise Customer 30,Government,Yorkshire,SD-WAN,2023-08-22,2024-08-16,12,226023.75,226023.75,Renewed,0.79,0,None,,,,AM032,8,13,2025-11-29
CON000031,1371,Enterprise Customer 31,Professional Services,London,SIP Trunking,2024-04-10,2026-03-31,24,37082.91,74165.82,In Negotiation,0.78,61,None,,Add Services,5744.66,AM007,5,48,2025-11-13
CON000032,4191,Enterprise Customer 32,Retail,North West,UCaaS,2023-09-12,2024-09-06,12,54967.91,54967.91,Renewed,0.56,0,High,TalkTalk,,,AM042,4,34,2026-01-03
CON000033,4119,Enterprise Customer 33,Hospitality,East,IoT Connectivity,2024-11-28,2025-11-23,12,76273.61,76273.61,Renewed,0.95,0,None,,,,AM016,4,46,2026-01-21
CON000034,2358,Enterprise Customer 34,Transport,Yorkshire,UCaaS,2023-03-01,2028-02-03,60,131694.82,658474.1,Active,0.98,735,None,,,,AM043,2,44,2025-12-17
CON000035,4045,Enterprise Customer 35,Government,East,UCaaS,2024-09-08,2026-08-29,24,134493.24,268986.48,Active,0.89,212,None,,,,AM003,4,9,2026-01-12
CON000036,3251,Enterprise Customer 36,Healthcare,East,Business Mobile,2023-10-14,2025-10-03,24,43608.34,87216.68,Renewed,0.86,0,None,,,,AM007,9,14,2025-11-04
CON000037,3213,Enterprise Customer 37,Retail,Yorkshire,IoT Connectivity,2023-08-20,2024-08-14,12,77770.64,77770.64,Renewed,0.78,0,Medium,Virgin Media O2,,,AM012,6,3,2025-12-10
CON000038,3221,Enterprise Customer 38,Transport,Scotland,UCaaS,2023-06-10,2024-06-04,12,276603.12,276603.12,Renewed,0.93,0,Low,Vodafone,,,AM025,2,19,2026-01-27
CON000039,4315,Enterprise Customer 39,Manufacturing,Northern Ireland,SIP Trunking,2024-03-06,2027-02-19,36,80214.56,240643.68,Active,0.84,386,None,,,,AM028,7,4,2025-12-09
CON000040,419,Enterprise Customer 40,Hospitality,Yorkshire,CCaaS,2024-11-08,2025-11-03,12,80714.54,80714.54,Renewed,0.75,0,Low,BT,,,AM025,3,45,2026-01-19
CON000041,1224,Enterprise Customer 41,Technology,Wales,IoT Connectivity,2023-07-17,2024-07-11,12,29214.11,29214.11,Renewed,0.87,0,Low,Vodafone,,,AM042,9,26,2025-11-10
CON000042,4270,Enterprise Customer 42,Technology,South East,UCaaS,2024-07-10,2029-06-14,60,277233.21,1386166.05,Active,0.89,1232,Low,BT,,,AM033,5,31,2025-12-31
CON000043,4424,Enterprise Customer 43,Education,Wales,UCaaS,2023-07-18,2024-07-12,12,179479.73,179479.73,Renewed,0.83,0,Low,TalkTalk,,,AM008,4,34,2026-01-22
CON000044,2834,Enterprise Customer 44,Education,Wales,SIP Trunking,2024-02-26,2025-02-20,12,84831.82,84831.82,Renewed,0.83,0,None,,,,AM003,5,8,2025-12-27
CON000045,3060,Enterprise Customer 45,Transport,East,Business Broadband,2023-01-07,2027-12-12,60,65529.39,327646.95,Active,0.97,682,Low,Three,,,AM048,3,3,2025-12-26
CON000046,85,Enterprise Customer 46,Healthcare,South West,SIP Trunking,2024-11-12,2025-11-07,12,60742.96,60742.96,Renewed,0.84,0,Low,TalkTalk,,,AM001,5,35,2025-11-12
CON000047,234,Enterprise Customer 47,Professional Services,Yorkshire,UCaaS,2023-11-22,2028-10-26,60,84027.87,420139.35,Active,0.8,1001,None,,,,AM023,6,31,2026-01-19
CON000048,1641,Enterprise Customer 48,Manufacturing,London,Business Mobile,2024-08-22,2026-08-12,24,45552.26,91104.52,Active,0.71,195,None,,,,AM033,5,20,2025-11-23
CON000049,507,Enterprise Customer 49,Education,Wales,CCaaS,2024-03-14,2027-02-27,36,71334.97,214004.91,Active,0.74,394,Medium,Vodafone,,,AM010,10,25,2025-11-21
CON000050,783,Enterprise Customer 50,Retail,London,Business Mobile,2023-11-16,2026-10-31,36,15751.11,47253.33,Active,0.89,275,Low,TalkTalk,,,AM021,3,4,2025-11-08
CON000051,3198,Enterprise Customer 51,Manufacturing,North West,Business Broadband,2023-11-13,2025-11-02,24,32821.78,65643.56,Churned,0.92,0,None,,,,AM035,3,9,2025-12-31
CON000052,2467,Enterprise Customer 52,Transport,North West,CCaaS,2023-08-26,2026-08-10,36,460687.98,1382063.94,Active,0.99,193,None,,,,AM047,8,41,2026-01-24
CON000053,4620,Enterprise Customer 53,Healthcare,South East,UCaaS,2024-04-03,2026-03-24,24,127224.04,254448.08,Renewed,0.63,54,Medium,TalkTalk,,,AM004,4,47,2025-12-26
CON000054,2894,Enterprise Customer 54,Retail,Scotland,UCaaS,2023-07-30,2025-07-19,24,402714.71,805429.42,Renewed,0.75,0,Low,Three,,,AM027,2,23,2025-12-19
CON000055,4614,Enterprise Customer 55,Professional Services,South East,IoT Connectivity,2024-07-19,2029-06-23,60,91243.41,456217.05,Active,0.83,1241,Low,Vodafone,,,AM034,10,42,2025-11-29
CON000056,299,Enterprise Customer 56,Education,Scotland,UCaaS,2024-07-05,2029-06-09,60,78214.83,391074.15,Active,0.8,1227,Low,BT,,,AM027,6,9,2025-12-14
CON000057,4008,Enterprise Customer 57,Healthcare,Scotland,IoT Connectivity,2023-04-14,2025-04-03,24,32792.36,65584.72,Renewed,0.87,0,None,,,,AM010,2,12,2025-12-03
CON000058,912,Enterprise Customer 58,Retail,West Midlands,Business Mobile,2023-01-23,2024-01-18,12,26191.27,26191.27,Renewed,0.85,0,None,,,,AM043,7,31,2026-01-11
CON000059,2895,Enterprise Customer 59,Retail,Yorkshire,SIP Trunking,2023-11-19,2028-10-23,60,68757.09,343785.45,Active,0.93,998,Low,Virgin Media O2,,,AM016,8,10,2025-12-23
CON000060,4133,Enterprise Customer 60,Government,South East,UCaaS,2023-06-06,2024-05-31,12,445229.56,445229.56,Renewed,0.62,0,Medium,Vodafone,,,AM015,4,0,2025-12-05
CON000061,2018,Enterprise Customer 61,Education,Yorkshire,IoT Connectivity,2023-12-16,2028-11-19,60,50156.96,250784.8,Active,0.94,1025,Low,TalkTalk,,,AM012,8,31,2026-01-15
CON000062,2410,Enterprise Customer 62,Education,Yorkshire,SD-WAN,2023-01-28,2028-01-02,60,225818.88,1129094.4,Active,0.88,703,Low,Virgin Media O2,,,AM013,4,49,2025-11-01
CON000063,4612,Enterprise Customer 63,Healthcare,North West,SIP Trunking,2023-11-21,2028-10-25,60,11709.58,58547.9,Active,0.89,1000,None,,,,AM007,5,50,2025-11-01
CON000064,4110,Enterprise Customer 64,Government,East,CCaaS,2023-04-08,2028-03-12,60,343626.68,1718133.4,Active,0.86,773,Low,Vodafone,,,AM047,6,48,2025-12-31
CON000065,4214,Enterprise Customer 65,Healthcare,London,IoT Connectivity,2024-06-07,2029-05-12,60,16828.63,84143.15,Active,0.91,1199,None,,,,AM046,8,2,2025-11-02
CON000066,2017,Enterprise Customer 66,Technology,South West,IoT Connectivity,2024-12-07,2029-11-11,60,84341.85,421709.25,Active,0.74,1382,Medium,Three,,,AM012,10,2,2025-12-20
CON000067,4143,Enterprise Customer 67,Manufacturing,Northern Ireland,Business Mobile,2024-12-01,2029-11-05,60,32110.49,160552.45,Active,0.96,1376,None,,,,AM044,9,10,2025-11-27
CON000068,1023,Enterprise Customer 68,Healthcare,West Midlands,IoT Connectivity,2023-06-13,2028-05-17,60,82390.0,411950.0,Active,0.93,839,Low,TalkTalk,,,AM007,10,41,2025-11-19
CON000069,2087,Enterprise Customer 69,Technology,Wales,SD-WAN,2023-04-22,2026-04-06,36,106674.5,320023.5,Pending Renewal,0.69,67,Medium,TalkTalk,Downgrade,-28339.72,AM021,10,37,2025-12-03
CON000070,1985,Enterprise Customer 70,Technology,West Midlands,SD-WAN,2023-03-15,2025-03-04,24,237743.6,475487.2,Renewed,0.62,0,Medium,BT,,,AM005,5,36,2025-11-17
CON000071,1601,Enterprise Customer 71,Government,North West,CCaaS,2024-08-05,2029-07-10,60,81883.0,409415.0,Active,0.65,1258,Medium,Three,,,AM019,6,12,2026-01-03
CON000072,2809,Enterprise Customer 72,Manufacturing,Yorkshire,SIP Trunking,2024-05-27,2025-05-22,12,94795.63,94795.63,Churned,0.85,0,None,,,,AM030,9,43,2026-01-10
CON000073,1480,Enterprise Customer 73,Manufacturing,Wales,Business Broadband,2024-10-18,2025-10-13,12,42219.9,42219.9,Renewed,0.88,0,None,,,,AM043,10,45,2025-11-17
CON000074,4734,Enterprise Customer 74,Government,Yorkshire,CCaaS,2024-11-04,2029-10-09,60,237712.28,1188561.4,Active,0.86,1349,None,,,,AM016,2,43,2026-01-13
CON000075,744,Enterprise Customer 75,Healthcare,West Midlands,UCaaS,2024-11-14,2027-10-30,36,324027.78,972083.34,Active,0.95,639,None,,,,AM020,8,25,2025-12-29
CON000076,2291,Enterprise Customer 76,Technology,Yorkshire,IoT Connectivity,2024-02-20,2026-02-09,24,35512.2,71024.4,Pending Renewal,0.94,11,None,,Upgrade,10364.38,AM024,5,27,2025-12-22
CON000077,4775,Enterprise Customer 77,Transport,North West,UCaaS,2024-05-27,2027-05-12,36,258977.17,776931.51,Active,0.81,468,None,,,,AM033,6,8,2025-11-12
CON000078,209,Enterprise Customer 78,Healthcare,South West,CCaaS,2024-02-13,2027-01-28,36,285345.48,856036.44,Active,0.94,364,None,,,,AM012,7,48,2025-12-13
CON000079,559,Enterprise Customer 79,Financial Services,South East,SIP Trunking,2023-02-12,2028-01-17,60,57758.65,288793.25,Active,0.79,718,None,,,,AM011,2,18,2025-11-30
CON000080,3771,Enterprise Customer 80,Hospitality,South West,CCaaS,2023-02-15,2024-02-10,12,86431.58,86431.58,Renewed,0.92,0,None,,,,AM040,10,44,2025-12-27
CON000081,1220,Enterprise Customer 81,Professional Services,Northern Ireland,SIP Trunking,2023-03-15,2024-03-09,12,25494.22,25494.22,Churned,0.73,0,None,,,,AM026,10,12,2026-01-22
CON000082,1010,Enterprise Customer 82,Hospitality,Northern Ireland,CCaaS,2023-11-14,2026-10-29,36,447393.43,1342180.29,Active,0.69,273,High,TalkTalk,,,AM032,6,13,2026-01-20
CON000083,4209,Enterprise Customer 83,Professional Services,Yorkshire,CCaaS,2024-07-18,2025-07-13,12,219864.26,219864.26,Renewed,0.86,0,Low,Virgin Media O2,,,AM011,9,22,2025-12-22
CON000084,1428,Enterprise Customer 84,Manufacturing,London,Business Broadband,2023-01-03,2027-12-08,60,92972.56,464862.8,Active,0.96,678,Low,Vodafone,,,AM019,8,37,2025-12-27
CON000085,3144,Enterprise Customer 85,Transport,North West,SIP Trunking,2023-07-24,2026-07-08,36,39816.48,119449.44,Active,0.97,160,None,,,,AM016,8,32,2025-12-07
CON000086,2544,Enterprise Customer 86,Technology,East,CCaaS,2024-01-15,2028-12-19,60,64042.2,320211.0,Active,0.87,1055,Low,Vodafone,,,AM010,9,4,2025-12-15
CON000087,4297,Enterprise Customer 87,Retail,South East,UCaaS,2024-07-01,2026-06-21,24,40483.77,80967.54,Active,0.77,143,None,,,,AM010,5,25,2025-12-14
CON000088,34,Enterprise Customer 88,Healthcare,North West,UCaaS,2024-07-17,2025-07-12,12,48721.62,48721.62,Renewed,0.81,0,Medium,TalkTalk,,,AM028,7,32,2025-11-03
CON000089,4159,Enterprise Customer 89,Government,Scotland,CCaaS,2024-10-26,2029-09-30,60,33354.37,166771.85,Active,0.89,1340,None,,,,AM039,6,1,2025-12-27
CON000090,211,Enterprise Customer 90,Hospitality,Yorkshire,UCaaS,2023-07-21,2026-07-05,36,446022.53,1338067.59,Active,0.64,157,High,Three,,,AM049,5,47,2026-01-16
CON000091,3417,Enterprise Customer 91,Financial Services,East,IoT Connectivity,2023-10-12,2028-09-15,60,35937.14,179685.7,Active,0.89,960,Low,Virgin Media O2,,,AM024,9,38,2025-12-22
CON000092,3299,Enterprise Customer 92,Professional Services,East,UCaaS,2023-12-14,2024-12-08,12,22572.02,22572.02,Renewed,0.77,0,None,,,,AM013,1,10,2025-11-03
CON000093,4071,Enterprise Customer 93,Transport,London,Business Mobile,2023-03-03,2026-02-15,36,78571.04,235713.12,In Negotiation,0.96,17,Low,Vodafone,Upgrade,30673.38,AM014,1,49,2026-01-18
CON000094,1279,Enterprise Customer 94,Education,South West,SIP Trunking,2024-02-14,2029-01-18,60,89251.67,446258.35,Active,0.71,1085,Medium,Three,,,AM040,5,39,2026-01-01
CON000095,4523,Enterprise Customer 95,Healthcare,Yorkshire,Business Mobile,2023-06-07,2025-05-27,24,30711.67,61423.34,Renewed,0.77,0,None,,,,AM010,1,14,2025-11-28
CON000096,2263,Enterprise Customer 96,Transport,South East,UCaaS,2024-10-17,2027-10-02,36,102833.76,308501.28,Active,0.97,611,None,,,,AM006,5,40,2026-01-08
CON000097,816,Enterprise Customer 97,Healthcare,South West,UCaaS,2023-01-15,2025-12-30,36,291902.98,875708.94,Churned,0.81,0,None,,,,AM025,2,50,2025-11-29
CON000098,8,Enterprise Customer 98,Retail,West Midlands,UCaaS,2024-03-03,2029-02-05,60,316407.74,1582038.7,Active,0.83,1103,Medium,Virgin Media O2,,,AM023,1,44,2025-11-21
CON000099,2288,Enterprise Customer 99,Professional Services,North West,SD-WAN,2023-05-09,2025-04-28,24,119947.01,239894.02,Renewed,0.93,0,Low,Vodafone,,,AM002,7,34,2025-11-22
CON000100,3044,Enterprise Customer 100,Retail,Northern Ireland,UCaaS,2023-11-20,2025-11-09,24,282480.02,564960.04,Renewed,0.78,0,None,,,,AM027,2,7,2025-11-27
CON000101,876,Enterprise Customer 101,Financial Services,South West,IoT Connectivity,2024-10-10,2027-09-25,36,85755.13,257265.39,Active,0.99,604,None,,,,AM049,7,42,2025-11-30
CON000102,4319,Enterprise Customer 102,Hospitality,London,CCaaS,2023-04-30,2025-04-19,24,130971.9,261943.8,Renewed,0.91,0,None,,,,AM014,3,9,2026-01-08
