complaint_id,complaint_reference,customer_key,customer_type,category,channel,received_date,acknowledged_date,resolved_date,outcome,compensation_amount,escalated_to_ombudsman,root_cause
10569,CMP010569,696,Consumer,Network Coverage,Ombudsman,2022-01-01,2022-01-03,2022-02-25,Not Upheld,0.0,False,System Error
12900,CMP012900,4981,Consumer,Pricing,Phone,2022-01-01,2022-01-03,2022-01-27,Not Upheld,0.0,False,Customer Misunderstanding
17614,CMP017614,3246,Consumer,Sales Practice,Letter,2022-01-01,2022-01-02,2022-02-13,Upheld,267.07,False,Policy Gap
16132,CMP016132,488,Consumer,Contract Terms,Phone,2022-01-01,2022-01-01,,Pending,0.0,False,
17588,CMP017588,1569,Consumer,Privacy,Ombudsman,2022-01-01,2022-01-03,2022-01-13,Upheld,349.29,False,Customer Misunderstanding
3466,CMP003466,2459,Consumer,Sales Practice,Phone,2022-01-01,2022-01-02,,Pending,0.0,False,
13386,CMP013386,3044,Consumer,Privacy,Social Media,2022-01-01,2022-01-02,2022-01-09,Upheld,247.38,False,Process Failure
1587,CMP001587,3565,Consumer,Customer Service,Social Media,2022-01-01,2022-01-02,2022-01-14,Withdrawn,0.0,False,System Error
5107,CMP005107,1280,Consumer,Privacy,Regulator,2022-01-01,2022-01-02,2022-01-30,Partially Upheld,188.09,False,Staff Error
1060,CMP001060,4810,Consumer,Privacy,Email,2022-01-01,2022-01-01,2022-01-10,Partially Upheld,67.13,False,Staff Error
4876,CMP004876,3423,Consumer,Contract Terms,Email,2022-01-01,2022-01-02,2022-02-04,Partially Upheld,355.49,False,Process Failure
15104,CMP015104,4664,Consumer,Billing,Regulator,2022-01-01,2022-01-02,,Pending,0.0,False,
18190,CMP018190,769,Consumer,Service Quality,Ombudsman,2022-01-01,2022-01-03,2022-02-20,Partially Upheld,354.18,False,Customer Misunderstanding
16608,CMP016608,4816,Consumer,Privacy,Letter,2022-01-01,2022-01-02,2022-01-09,Partially Upheld,127.76,False,Customer Misunderstanding
3266,CMP003266,2325,Consumer,Billing,Letter,2022-01-01,2022-01-02,2022-01-27,Not Upheld,0.0,False,Staff Error
346,CMP000346,382,Consumer,Customer Service,Regulator,2022-01-01,2022-01-03,,Pending,0.0,False,
10231,CMP010231,517,B2B,Privacy,Ombudsman,2022-01-01,2022-01-02,2022-02-14,Not Upheld,0.0,False,Process Failure
13358,CMP013358,3313,Consumer,Privacy,Email,2022-01-01,2022-01-03,2022-01-25,Withdrawn,0.0,False,System Error
4257,CMP004257,457,B2B,Sales Practice,Social Media,2022-01-02,2022-01-03,,Pending,0.0,False,
12361,CMP012361,402,Consumer,Pricing,Ombudsman,2022-01-02,2022-01-02,2022-02-22,Partially Upheld,69.04,False,Process Failure
