credit_note_id,customer_key,invoice_id,credit_date,credit_amount,credit_reason,approval_status,approved_by,created_date
202e1bea-601f-422c-94b1-9c81039430c2,394,204109,2026-02-21,662.19,Rate Plan Correction,Approved,Revenue Assurance Team,2026-02-21 00:00:00
5723a82b-a527-4740-91c1-3a4b898b37b9,2445,205063,2026-03-03,8.4,Rate Plan Correction,Approved,Finance Manager,2026-03-03 00:00:00
a70b95c6-14b1-46fe-963b-c5654a2fe648,722,200328,2026-01-18,332.08,Contract Dispute Resolution,Pending,Revenue Assurance Team,2026-01-18 00:00:00
f9b61efe-434d-4480-859d-c9b01f001f8a,3269,200901,2026-01-20,3.11,Service Outage Compensation,Approved,Customer Service Lead,2026-01-20 00:00:00
11b4d8b8-7822-49c6-a030-a17e400f1665,1326,202841,2026-02-09,9.47,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-02-09 00:00:00
d52eb2e4-b603-445f-8a34-91d44156557a,22,203285,2026-02-14,1.65,Billing Error,Approved,Revenue Assurance Team,2026-02-14 00:00:00
4f61f483-8e8b-454f-a49e-3a88bf4a9ce1,794,200660,2026-01-13,1545.41,Rate Plan Correction,Approved,Revenue Assurance Team,2026-01-13 00:00:00
94f49869-529a-4952-9452-3ec351dfa06d,4879,200358,2026-01-17,4.83,Overcharge Refund,Approved,Customer Service Lead,2026-01-17 00:00:00
374efb3c-17b7-47bf-abee-fecac399c693,564,200402,2026-01-17,3794.44,Billing Error,Pending,Finance Manager,2026-01-17 00:00:00
f4f16971-6ff7-4537-b23c-a75dd2ead922,3339,201194,2026-01-26,24.12,Overcharge Refund,Pending,Revenue Assurance Team,2026-01-26 00:00:00
4e61121c-77aa-4dba-9dce-186b3379683f,159,204684,2026-03-07,1.99,Overcharge Refund,Pending,Finance Manager,2026-03-07 00:00:00
e4f8826e-571e-40be-994b-a260cb83fd65,205,201873,2026-01-27,24.23,Billing Error,Approved,Revenue Assurance Team,2026-01-27 00:00:00
dde34b91-79f9-451b-a567-30ed3342f443,179,203127,2026-02-08,2431.94,Goodwill Gesture,Approved,Customer Service Lead,2026-02-08 00:00:00
ccfd86c2-f14f-4317-9636-fbcd206ec775,17,203424,2026-02-11,3355.41,Goodwill Gesture,Approved,Finance Manager,2026-02-11 00:00:00
3176a91b-99b1-49d5-98a3-ac03dcb32316,173,202358,2026-02-03,2469.74,Overcharge Refund,Approved,Customer Service Lead,2026-02-03 00:00:00
2b95fd85-dd7e-4959-853b-4e0032969911,4335,200020,2026-01-15,5.69,Goodwill Gesture,Approved,Customer Service Lead,2026-01-15 00:00:00
6dbef627-84bd-4ff2-9310-565be3268ee8,3655,205385,2026-03-04,12.81,Service Outage Compensation,Approved,Finance Manager,2026-03-04 00:00:00
bad3e246-bf60-4222-91c3-e8532cd9d1c1,3855,204351,2026-02-20,3.22,Service Outage Compensation,Approved,Finance Manager,2026-02-20 00:00:00
3b09bbe7-ccac-48db-b12c-10c427bfd079,3222,200565,2026-01-14,19.66,Contract Dispute Resolution,Approved,Finance Manager,2026-01-14 00:00:00
1a1b523a-a401-4980-b49b-ea1383a0d4e7,10,201251,2026-01-17,3146.14,Rate Plan Correction,Approved,Finance Manager,2026-01-17 00:00:00
4dbd15eb-ef71-4644-ba50-0ff4c2de9aab,2125,203331,2026-02-18,31.02,Overcharge Refund,Approved,Finance Manager,2026-02-18 00:00:00
13c3501f-7b76-4a71-aee6-acffd8e00140,168,203548,2026-02-18,9.55,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-02-18 00:00:00
8cd263d1-11bd-4b6c-8ce3-854f6a0d2fca,61,204625,2026-03-02,261.61,Overcharge Refund,Approved,Finance Manager,2026-03-02 00:00:00
51dc0b6e-d149-4355-80cc-f796b81b46f6,4871,201384,2026-01-30,3.63,Overcharge Refund,Approved,Finance Manager,2026-01-30 00:00:00
dc71c67e-c844-4e2d-9f20-aac055a79f27,352,201966,2026-01-29,384.72,Service Outage Compensation,Approved,Customer Service Lead,2026-01-29 00:00:00
89fa47a4-8ed4-4b77-a59b-67fcf5089556,249,203795,2026-02-25,1798.78,Rate Plan Correction,Approved,Finance Manager,2026-02-25 00:00:00
dabb8a08-3885-4080-a68a-535dad66ffd9,3306,203163,2026-02-09,9.15,Rate Plan Correction,Pending,Finance Manager,2026-02-09 00:00:00
c01ef9ca-4978-48bf-a464-5ff1209fb411,2611,200862,2026-01-18,10.36,Service Outage Compensation,Approved,Finance Manager,2026-01-18 00:00:00
7de57cbe-4b8e-451e-8d3b-52dbcd77454c,1724,202955,2026-02-13,22.42,Contract Dispute Resolution,Approved,Finance Manager,2026-02-13 00:00:00
8540d8c7-335d-4f47-aba7-79be52e6b9d4,1993,200643,2026-01-16,8.94,Billing Error,Approved,Revenue Assurance Team,2026-01-16 00:00:00
10b91967-3916-4726-845d-e2294e52c5b5,1448,204112,2026-02-17,13.23,Rate Plan Correction,Approved,Customer Service Lead,2026-02-17 00:00:00
edd93f37-6d28-48d5-afd1-20f685c0ba96,357,201060,2026-01-18,393.23,Overcharge Refund,Approved,Revenue Assurance Team,2026-01-18 00:00:00
56c4ed46-9a70-489c-a664-41fbc582f975,2300,201326,2026-01-26,1.19,Goodwill Gesture,Approved,Finance Manager,2026-01-26 00:00:00
ff5b1a75-0029-478a-b5ed-00a1bb6ae299,3657,203104,2026-02-10,18.46,Billing Error,Pending,Finance Manager,2026-02-10 00:00:00
432d9737-d9a5-4f15-9fbe-06206a253a75,4187,200436,2026-01-19,33.16,Overcharge Refund,Approved,Revenue Assurance Team,2026-01-19 00:00:00
d7e9b411-0f4a-4ceb-a264-e40fa33b1ebe,3456,203569,2026-02-21,4.94,Billing Error,Approved,Finance Manager,2026-02-21 00:00:00
5dc5959e-1509-4679-95d7-05424a53ed5d,4137,201296,2026-01-21,2.31,Rate Plan Correction,Pending,Customer Service Lead,2026-01-21 00:00:00
52589669-20ea-4c4c-9225-dd805c439494,871,203630,2026-02-20,2825.54,Service Outage Compensation,Approved,Finance Manager,2026-02-20 00:00:00
c9e8cf4b-0f7f-42e2-acd1-4c0c984a573d,2336,200121,2026-01-13,2.24,Rate Plan Correction,Approved,Revenue Assurance Team,2026-01-13 00:00:00
525c61a0-dd52-47e1-970c-d5a84e3102cd,308,200382,2026-01-09,10.75,Billing Error,Approved,Customer Service Lead,2026-01-09 00:00:00
ae2de971-0d48-4011-a29e-ff97708f0612,395,200246,2026-01-11,5.48,Contract Dispute Resolution,Pending,Revenue Assurance Team,2026-01-11 00:00:00
83f8166d-9a2a-4547-8578-3163dd9dbf8e,4535,201419,2026-01-21,23.47,Overcharge Refund,Approved,Customer Service Lead,2026-01-21 00:00:00
200704ad-9ade-477e-8820-7bb93ea71eb0,450,201719,2026-01-30,2299.04,Overcharge Refund,Approved,Finance Manager,2026-01-30 00:00:00
859c2dcb-06b5-4f00-bfc1-5ec0eb6cfa5d,3003,203357,2026-02-13,9.25,Rate Plan Correction,Pending,Revenue Assurance Team,2026-02-13 00:00:00
0754588a-d216-49c9-907d-fa2b0fc3afa9,486,205059,2026-03-03,15.26,Overcharge Refund,Approved,Customer Service Lead,2026-03-03 00:00:00
d91f189a-dc5c-46fd-a354-2e4c51925165,316,203817,2026-02-23,4128.81,Billing Error,Approved,Finance Manager,2026-02-23 00:00:00
8865dd37-8783-4023-8548-272887ba95e9,2916,203236,2026-02-09,24.96,Goodwill Gesture,Approved,Finance Manager,2026-02-09 00:00:00
