subscriber_key,score_date,churn_risk_score,churn_risk_band,upsell_propensity,cross_sell_propensity,predicted_clv,clv_segment,next_best_action,model_version,confidence_score
1,2026-01-28,0.1489,Low,0.2861,0.4999,11436.27,High,Survey,v2.3.1,0.7
2,2026-01-28,0.087,Low,0.5427,0.4706,15747.28,High,Plan Upgrade,v2.3.1,0.84
3,2026-01-28,0.95,High,0.05,0.1679,1387.35,Low,Service Recovery,v2.3.1,0.93
4,2026-01-28,0.2258,Low,0.2434,0.1011,4025.77,Medium,Referral Program,v2.3.1,0.81
5,2026-01-28,0.329,Medium,0.2699,0.5431,1402.07,Low,Referral Program,v2.3.1,0.8
6,2026-01-28,0.1654,Low,0.2268,0.4487,2260.01,Medium,Engagement Campaign,v2.3.1,0.75
7,2026-01-28,0.2171,Low,0.1674,0.4457,1952.97,Low,Survey,v2.3.1,0.82
8,2026-01-28,0.02,Low,0.6187,0.4792,2494.52,Medium,5G Upgrade,v2.3.1,0.78
9,2026-01-28,0.02,Low,0.5513,0.1986,15716.9,High,Add-on Service,v2.3.1,0.83
10,2026-01-28,0.0351,Low,0.6021,0.4514,27662.59,High,Device Offer,v2.3.1,0.89
11,2026-01-28,0.95,High,0.05,0.1013,76766.16,High,Loyalty Reward,v2.3.1,0.81
12,2026-01-28,0.1368,Low,0.2501,0.2509,20073.94,High,App Promotion,v2.3.1,0.89
13,2026-01-28,0.0556,Low,0.4502,0.271,3847.74,Medium,Referral Program,v2.3.1,0.87
14,2026-01-28,0.02,Low,0.4846,0.4862,2985.21,Medium,Engagement Campaign,v2.3.1,0.9
15,2026-01-28,0.263,Medium,0.1713,0.294,1604.11,Low,Engagement Campaign,v2.3.1,0.72
16,2026-01-28,0.02,Low,0.3788,0.3362,4370.4,Medium,Referral Program,v2.3.1,0.77
17,2026-01-28,0.1307,Low,0.4228,0.1329,678.44,Low,Survey,v2.3.1,0.78
18,2026-01-28,0.0317,Low,0.3464,0.1339,19218.21,High,Referral Program,v2.3.1,0.84
19,2026-01-28,0.02,Low,0.5589,0.5571,29131.46,High,Add-on Service,v2.3.1,0.71
20,2026-01-28,0.1921,Low,0.4026,0.5538,3256.36,Medium,App Promotion,v2.3.1,0.86
21,2026-01-28,0.139,Low,0.439,0.5927,2368.55,Medium,App Promotion,v2.3.1,0.76
22,2026-01-28,0.0846,Low,0.2875,0.395,3439.9,Medium,Engagement Campaign,v2.3.1,0.91
23,2026-01-28,0.0349,Low,0.3235,0.4081,3647.11,Medium,Survey,v2.3.1,0.76
24,2026-01-28,0.116,Low,0.2898,0.2146,3581.22,Medium,App Promotion,v2.3.1,0.76
25,2026-01-28,0.0301,Low,0.5817,0.1874,3997.45,Medium,5G Upgrade,v2.3.1,0.94
26,2026-01-28,0.0758,Low,0.3388,0.2958,4433.65,Medium,App Promotion,v2.3.1,0.75
27,2026-01-28,0.02,Low,0.6073,0.5753,3658.01,Medium,Add-on Service,v2.3.1,0.8
28,2026-01-28,0.2166,Low,0.4236,0.2178,3345.9,Medium,Survey,v2.3.1,0.73
29,2026-01-28,0.1481,Low,0.3996,0.5897,2487.09,Medium,App Promotion,v2.3.1,0.8
30,2026-01-28,0.1638,Low,0.2243,0.2832,25948.68,High,Survey,v2.3.1,0.85
31,2026-01-28,0.02,Low,0.4688,0.1942,4255.25,Medium,Engagement Campaign,v2.3.1,0.84
32,2026-01-28,0.02,Low,0.5148,0.5632,4626.46,Medium,Device Offer,v2.3.1,0.77
33,2026-01-28,0.0928,Low,0.3484,0.5809,586.24,Low,Referral Program,v2.3.1,0.84
34,2026-01-28,0.033,Low,0.3315,0.4989,9136.41,Medium,Survey,v2.3.1,0.91
35,2026-01-28,0.2376,Low,0.3365,0.5186,2663.48,Medium,Referral Program,v2.3.1,0.94
36,2026-01-28,0.059,Low,0.3932,0.1921,2865.41,Medium,App Promotion,v2.3.1,0.93
37,2026-01-28,0.0501,Low,0.457,0.5908,8772.7,Medium,Referral Program,v2.3.1,0.83
38,2026-01-28,0.2376,Low,0.3806,0.5231,2001.08,Medium,Engagement Campaign,v2.3.1,0.92
39,2026-01-28,0.1481,Low,0.3057,0.1661,25825.56,High,App Promotion,v2.3.1,0.89
40,2026-01-28,0.1114,Low,0.4067,0.5838,855.11,Low,Engagement Campaign,v2.3.1,0.76
41,2026-01-28,0.2167,Low,0.4217,0.1739,3745.87,Medium,Survey,v2.3.1,0.76
42,2026-01-28,0.2856,Medium,0.1352,0.5058,1270.36,Low,Engagement Campaign,v2.3.1,0.74
43,2026-01-28,0.02,Low,0.347,0.3731,18456.51,High,Engagement Campaign,v2.3.1,0.82
44,2026-01-28,0.1968,Low,0.4197,0.3284,4454.19,Medium,Survey,v2.3.1,0.85
45,2026-01-28,0.148,Low,0.4474,0.2497,2443.13,Medium,Referral Program,v2.3.1,0.83
46,2026-01-28,0.0211,Low,0.541,0.4849,22406.96,High,Plan Upgrade,v2.3.1,0.81
47,2026-01-28,0.02,Low,0.4165,0.3106,3910.05,Medium,Survey,v2.3.1,0.75
48,2026-01-28,0.2439,Low,0.1161,0.1628,4226.05,Medium,Survey,v2.3.1,0.84
49,2026-01-28,0.1228,Low,0.3633,0.1498,5863.35,Medium,Survey,v2.3.1,0.8
50,2026-01-28,0.0848,Low,0.5291,0.3,2145.81,Medium,Device Offer,v2.3.1,0.93
51,2026-01-28,0.0454,Low,0.4188,0.2577,5254.01,Medium,Engagement Campaign,v2.3.1,0.94
52,2026-01-28,0.1784,Low,0.4032,0.4321,2482.23,Medium,Survey,v2.3.1,0.75
53,2026-01-28,0.0552,Low,0.3078,0.4596,1104.16,Low,Engagement Campaign,v2.3.1,0.83
54,2026-01-28,0.1151,Low,0.3868,0.1012,13042.34,High,Engagement Campaign,v2.3.1,0.79
55,2026-01-28,0.0471,Low,0.5109,0.1532,2960.43,Medium,Device Offer,v2.3.1,0.82
56,2026-01-28,0.2318,Low,0.4012,0.2768,3106.52,Medium,App Promotion,v2.3.1,0.84
57,2026-01-28,0.107,Low,0.3307,0.2419,534.38,Low,Referral Program,v2.3.1,0.85
58,2026-01-28,0.2247,Low,0.3678,0.4622,616.97,Low,Referral Program,v2.3.1,0.71
59,2026-01-28,0.1048,Low,0.4184,0.3483,16525.94,High,App Promotion,v2.3.1,0.92
60,2026-01-28,0.2116,Low,0.1645,0.1911,1974.55,Low,Referral Program,v2.3.1,0.76
61,2026-01-28,0.1296,Low,0.3255,0.4943,2104.02,Medium,Referral Program,v2.3.1,0.71
62,2026-01-28,0.2779,Medium,0.2062,0.4453,3692.08,Medium,Engagement Campaign,v2.3.1,0.81
63,2026-01-28,0.2878,Medium,0.1679,0.1459,555.11,Low,Survey,v2.3.1,0.89
64,2026-01-28,0.1552,Low,0.2999,0.2052,4111.87,Medium,Survey,v2.3.1,0.78
65,2026-01-28,0.0982,Low,0.4,0.2741,1140.27,Low,Survey,v2.3.1,0.71
66,2026-01-28,0.1336,Low,0.37,0.4975,4110.68,Medium,App Promotion,v2.3.1,0.74
67,2026-01-28,0.2691,Medium,0.2916,0.2838,3327.07,Medium,Survey,v2.3.1,0.88
68,2026-01-28,0.0819,Low,0.477,0.274,4587.5,Medium,Referral Program,v2.3.1,0.8
69,2026-01-28,0.1688,Low,0.4037,0.3121,3799.6,Medium,Referral Program,v2.3.1,0.94
70,2026-01-28,0.1101,Low,0.2709,0.4319,1668.55,Low,Survey,v2.3.1,0.89
71,2026-01-28,0.0451,Low,0.54,0.2222,1794.1,Low,5G Upgrade,v2.3.1,0.89
72,2026-01-28,0.1298,Low,0.3082,0.4551,16825.65,High,Referral Program,v2.3.1,0.9
73,2026-01-28,0.2277,Low,0.3011,0.2918,868.38,Low,Referral Program,v2.3.1,0.82
74,2026-01-28,0.0793,Low,0.3958,0.1282,3618.16,Medium,Referral Program,v2.3.1,0.93
75,2026-01-28,0.0473,Low,0.311,0.3236,109192.98,High,Referral Program,v2.3.1,0.88
76,2026-01-28,0.02,Low,0.3453,0.3764,4258.05,Medium,Engagement Campaign,v2.3.1,0.76
77,2026-01-28,0.3331,Medium,0.1003,0.133,19563.5,High,App Promotion,v2.3.1,0.82
78,2026-01-28,0.1346,Low,0.3263,0.1315,4398.03,Medium,App Promotion,v2.3.1,0.86
79,2026-01-28,0.0501,Low,0.4753,0.3263,18796.05,High,Engagement Campaign,v2.3.1,0.73
80,2026-01-28,0.1643,Low,0.3844,0.5023,2509.9,Medium,Survey,v2.3.1,0.76
81,2026-01-28,0.0925,Low,0.5376,0.1812,3704.47,Medium,Device Offer,v2.3.1,0.82
82,2026-01-28,0.1882,Low,0.3521,0.4552,3828.36,Medium,App Promotion,v2.3.1,0.94
83,2026-01-28,0.3636,Medium,0.2712,0.3786,13937.22,High,App Promotion,v2.3.1,0.93
84,2026-01-28,0.2468,Low,0.3071,0.2053,1958.13,Low,Referral Program,v2.3.1,0.73
85,2026-01-28,0.1685,Low,0.3248,0.3222,1047.77,Low,Engagement Campaign,v2.3.1,0.76
86,2026-01-28,0.0875,Low,0.4265,0.404,16663.63,High,App Promotion,v2.3.1,0.88
87,2026-01-28,0.02,Low,0.4323,0.2507,1644.98,Low,Engagement Campaign,v2.3.1,0.86
88,2026-01-28,0.02,Low,0.4076,0.1182,3468.55,Medium,App Promotion,v2.3.1,0.87
89,2026-01-28,0.0712,Low,0.4791,0.4525,3411.02,Medium,App Promotion,v2.3.1,0.74
90,2026-01-28,0.095,Low,0.4397,0.3968,2946.65,Medium,Referral Program,v2.3.1,0.9
91,2026-01-28,0.1371,Low,0.4431,0.4433,2807.26,Medium,Referral Program,v2.3.1,0.78
92,2026-01-28,0.0669,Low,0.3622,0.2189,25217.87,High,App Promotion,v2.3.1,0.92
93,2026-01-28,0.02,Low,0.36,0.2701,1916.2,Low,App Promotion,v2.3.1,0.78
94,2026-01-28,0.244,Low,0.357,0.1313,1142.35,Low,Engagement Campaign,v2.3.1,0.81
95,2026-01-28,0.95,High,0.05,0.2335,1113.01,Low,Personal Call,v2.3.1,0.76
96,2026-01-28,0.1811,Low,0.2199,0.1733,1760.14,Low,Referral Program,v2.3.1,0.73
97,2026-01-28,0.02,Low,0.5592,0.3027,26196.09,High,Add-on Service,v2.3.1,0.87
98,2026-01-28,0.1951,Low,0.2849,0.4568,2074.53,Medium,Engagement Campaign,v2.3.1,0.9
99,2026-01-28,0.1099,Low,0.2668,0.547,2838.03,Medium,App Promotion,v2.3.1,0.9
100,2026-01-28,0.2336,Low,0.3893,0.5452,2003.85,Medium,Engagement Campaign,v2.3.1,0.83
101,2026-01-28,0.02,Low,0.5035,0.3563,2246.18,Medium,Plan Upgrade,v2.3.1,0.76
102,2026-01-28,0.1528,Low,0.473,0.1461,764.48,Low,App Promotion,v2.3.1,0.72
103,2026-01-28,0.0588,Low,0.3809,0.3824,3711.01,Medium,App Promotion,v2.3.1,0.86
104,2026-01-28,0.0406,Low,0.3944,0.1064,3523.37,Medium,App Promotion,v2.3.1,0.95
105,2026-01-28,0.1953,Low,0.1905,0.5163,6185.02,Medium,Referral Program,v2.3.1,0.8
106,2026-01-28,0.1844,Low,0.3912,0.3367,24732.34,High,App Promotion,v2.3.1,0.9
107,2026-01-28,0.95,High,0.05,0.285,68313.42,High,Loyalty Reward,v2.3.1,0.71
108,2026-01-28,0.0958,Low,0.3088,0.1567,24175.15,High,Referral Program,v2.3.1,0.86
109,2026-01-28,0.2333,Low,0.1501,0.3017,12076.7,High,Engagement Campaign,v2.3.1,0.87
110,2026-01-28,0.0327,Low,0.3773,0.1703,3677.08,Medium,Survey,v2.3.1,0.94
111,2026-01-28,0.0611,Low,0.3292,0.1687,2520.62,Medium,Engagement Campaign,v2.3.1,0.76
112,2026-01-28,0.2133,Low,0.3049,0.2017,1604.48,Low,Engagement Campaign,v2.3.1,0.73
113,2026-01-28,0.02,Low,0.6068,0.103,3843.76,Medium,5G Upgrade,v2.3.1,0.71
114,2026-01-28,0.2466,Low,0.1632,0.577,9686.46,Medium,App Promotion,v2.3.1,0.7
115,2026-01-28,0.02,Low,0.4402,0.1205,1356.61,Low,Survey,v2.3.1,0.8
116,2026-01-28,0.1544,Low,0.3952,0.2916,1626.97,Low,App Promotion,v2.3.1,0.84
117,2026-01-28,0.0746,Low,0.3649,0.2198,3840.06,Medium,App Promotion,v2.3.1,0.85
118,2026-01-28,0.1002,Low,0.3044,0.5887,4669.09,Medium,Referral Program,v2.3.1,0.92
119,2026-01-28,0.95,High,0.05,0.5254,1434.93,Low,Service Recovery,v2.3.1,0.82
120,2026-01-28,0.2398,Low,0.1189,0.4626,742.04,Low,Referral Program,v2.3.1,0.89
121,2026-01-28,0.1141,Low,0.2732,0.4967,18611.3,High,Engagement Campaign,v2.3.1,0.79
122,2026-01-28,0.02,Low,0.5973,0.5354,935.88,Low,Device Offer,v2.3.1,0.85
123,2026-01-28,0.1503,Low,0.3627,0.1931,1466.46,Low,Engagement Campaign,v2.3.1,0.7
124,2026-01-28,0.2331,Low,0.1903,0.1305,18330.71,High,Engagement Campaign,v2.3.1,0.86
125,2026-01-28,0.1787,Low,0.3244,0.5959,1023.82,Low,Referral Program,v2.3.1,0.81
126,2026-01-28,0.1041,Low,0.5006,0.4467,4190.48,Medium,Plan Upgrade,v2.3.1,0.9
127,2026-01-28,0.95,High,0.05,0.3934,2151.97,Medium,Loyalty Reward,v2.3.1,0.75
128,2026-01-28,0.1479,Low,0.2577,0.5267,15048.0,High,Survey,v2.3.1,0.74
129,2026-01-28,0.2392,Low,0.2113,0.1634,3960.09,Medium,Survey,v2.3.1,0.73
130,2026-01-28,0.1636,Low,0.3118,0.2333,1745.77,Low,App Promotion,v2.3.1,0.89
131,2026-01-28,0.2843,Medium,0.3042,0.3557,3093.13,Medium,Survey,v2.3.1,0.77
132,2026-01-28,0.1059,Low,0.4422,0.2099,16262.63,High,Referral Program,v2.3.1,0.92
133,2026-01-28,0.1588,Low,0.2307,0.3672,3919.42,Medium,Survey,v2.3.1,0.83
134,2026-01-28,0.1005,Low,0.3216,0.1501,2454.32,Medium,Survey,v2.3.1,0.76
135,2026-01-28,0.02,Low,0.4692,0.3162,22248.97,High,Survey,v2.3.1,0.87
136,2026-01-28,0.95,High,0.05,0.1167,6421.93,Medium,Retention Offer,v2.3.1,0.86
137,2026-01-28,0.0202,Low,0.4871,0.2052,20031.34,High,Survey,v2.3.1,0.83
138,2026-01-28,0.1095,Low,0.3918,0.5348,26829.68,High,Engagement Campaign,v2.3.1,0.95
139,2026-01-28,0.95,High,0.05,0.5293,267.6,Low,Service Recovery,v2.3.1,0.73
140,2026-01-28,0.1235,Low,0.3528,0.5086,2704.45,Medium,App Promotion,v2.3.1,0.85
141,2026-01-28,0.02,Low,0.4639,0.185,1383.42,Low,App Promotion,v2.3.1,0.95
142,2026-01-28,0.1776,Low,0.2518,0.3929,3014.29,Medium,Survey,v2.3.1,0.75
