survey_id,employee_id,department,work_location,survey_date,survey_month,survey_type,engagement_score,satisfaction_score,manager_rating,career_growth_score,work_life_balance,compensation_satisfaction,would_recommend,enps_score,comments_provided
1,EMP0850,Customer Service,London Contact Centre,2025-01-31,2025-01,Annual Engagement,2,3,3,2,3,1,False,69,True
2,EMP0924,Sales - Consumer,Birmingham Office,2025-02-27,2025-02,Pulse Survey,3,2,3,4,4,4,True,97,False
3,EMP0040,Retail Operations,SnowTelco London Shopping 7,2025-01-07,2025-01,Pulse Survey,5,5,4,4,4,4,False,25,False
4,EMP1244,Network Engineering,Birmingham Office,2026-02-11,2026-02,Annual Engagement,2,2,1,4,4,3,False,-78,False
5,EMP1095,IT,Manchester Office,2025-04-05,2025-04,Annual Engagement,4,2,2,3,3,3,True,86,True
6,EMP1421,Finance,Manchester Office,2025-04-11,2025-04,Pulse Survey,3,3,1,4,5,4,True,2,False
7,EMP1461,Retail Operations,SnowTelco Edinburgh Train 5,2025-09-17,2025-09,Annual Engagement,4,5,1,3,1,2,True,-54,False
8,EMP0952,Product Management,Birmingham Office,2025-06-23,2025-06,Pulse Survey,5,3,5,2,2,5,True,-54,False
9,EMP0674,Retail Operations,SnowTelco London Shopping 43,2025-11-17,2025-11,Pulse Survey,4,1,1,1,3,2,True,64,False
10,EMP1158,HR,London HQ,2025-01-05,2025-01,Annual Engagement,3,2,3,3,5,5,True,-18,False
11,EMP1152,Network Engineering,Birmingham Office,2025-06-16,2025-06,Exit Survey,4,5,3,4,1,2,True,-6,True
12,EMP1698,HR,Birmingham Office,2026-01-22,2026-01,Annual Engagement,2,3,2,3,4,1,True,22,False
13,EMP0668,HR,Manchester Office,2025-12-25,2025-12,Annual Engagement,4,1,4,4,2,2,True,96,False
14,EMP1049,Network Engineering,Birmingham Office,2025-03-18,2025-03,Pulse Survey,2,3,5,3,3,4,True,0,False
15,EMP1572,Retail Operations,SnowTelco London Airport 8,2025-05-03,2025-05,Annual Engagement,3,1,1,3,1,1,False,-39,False
16,EMP1368,Facilities,Manchester Office,2025-09-02,2025-09,Onboarding Survey,3,3,3,2,3,3,True,1,False
17,EMP1981,IT,Cardiff Office,2026-02-18,2026-02,Onboarding Survey,4,1,1,3,4,5,False,48,True
18,EMP1289,Retail Operations,SnowTelco London Shopping 15,2026-01-07,2026-01,Annual Engagement,4,3,3,3,2,1,True,-93,False
19,EMP1279,IT,Edinburgh Office,2025-01-15,2025-01,Annual Engagement,4,5,3,1,2,2,True,27,True
20,EMP0129,Network Engineering,Birmingham Office,2025-02-13,2025-02,Pulse Survey,4,5,5,3,2,4,True,48,True
21,EMP0314,Sales - Consumer,Cardiff Office,2026-02-13,2026-02,Annual Engagement,3,5,1,4,1,1,True,0,False
22,EMP0140,Retail Operations,SnowTelco London Airport 22,2025-04-14,2025-04,Pulse Survey,3,5,3,4,4,3,False,-32,True
23,EMP1283,Customer Service,London Contact Centre,2025-01-25,2025-01,Pulse Survey,3,1,4,1,1,4,True,-93,False
24,EMP0345,Retail Operations,SnowTelco London High 24,2025-04-19,2025-04,Onboarding Survey,4,4,5,1,2,4,True,-89,False
25,EMP0773,Network Engineering,Cardiff Office,2025-08-09,2025-08,Annual Engagement,3,3,2,3,5,4,True,-6,False
26,EMP0728,IT,Edinburgh Office,2025-05-27,2025-05,Pulse Survey,4,5,1,1,4,4,True,-85,False
27,EMP1738,Finance,Birmingham Office,2025-12-31,2025-12,Onboarding Survey,4,1,5,1,1,5,True,4,False
28,EMP0536,Customer Service,Manchester Contact Centre,2025-03-26,2025-03,Pulse Survey,5,1,2,1,4,1,True,-81,False
29,EMP1206,Retail Operations,SnowTelco Liverpool Airport 2,2025-06-27,2025-06,Annual Engagement,4,1,3,5,1,5,True,-30,False
30,EMP0342,Customer Service,Manchester Contact Centre,2025-01-02,2025-01,Pulse Survey,4,1,3,5,1,1,False,46,True
31,EMP1860,Marketing,Manchester Office,2026-02-23,2026-02,Annual Engagement,5,3,3,1,2,2,True,-38,False
32,EMP0536,Customer Service,Manchester Contact Centre,2025-03-31,2025-03,Exit Survey,4,5,3,1,2,5,True,-9,False
33,EMP0178,Retail Operations,SnowTelco Oxford Airport 2,2025-07-03,2025-07,Annual Engagement,5,4,2,2,5,3,False,-64,False
34,EMP1698,HR,Birmingham Office,2025-03-06,2025-03,Onboarding Survey,4,2,1,4,1,3,False,3,False
35,EMP0111,Product Management,Manchester Office,2025-12-18,2025-12,Exit Survey,3,3,1,4,3,2,False,-95,True
36,EMP0302,HR,Birmingham Office,2026-02-18,2026-02,Pulse Survey,5,2,5,1,5,1,False,-66,False
37,EMP0030,Network Engineering,Manchester Office,2025-09-26,2025-09,Onboarding Survey,4,2,1,3,5,2,True,71,False
38,EMP0545,Finance,London HQ,2025-04-02,2025-04,Onboarding Survey,2,5,5,3,2,1,True,47,True
39,EMP0389,Retail Operations,SnowTelco Manchester Train 5,2025-04-22,2025-04,Pulse Survey,4,1,5,4,5,4,True,-36,False
40,EMP0130,Retail Operations,SnowTelco Plymouth Airport 3,2026-02-16,2026-02,Pulse Survey,5,2,5,5,1,3,True,57,True
41,EMP1423,Sales - B2B,Cardiff Office,2025-06-02,2025-06,Pulse Survey,3,3,1,5,1,4,False,41,True
42,EMP0194,Customer Service,London Contact Centre,2025-10-30,2025-10,Pulse Survey,3,1,4,1,2,1,True,-11,False
43,EMP0752,Retail Operations,SnowTelco Coventry Airport 3,2025-11-22,2025-11,Annual Engagement,5,1,3,4,3,2,False,41,False
44,EMP1771,Network Engineering,London HQ,2025-06-02,2025-06,Exit Survey,4,5,3,2,4,5,True,-4,False
45,EMP0562,Network Engineering,Cardiff Office,2025-11-07,2025-11,Pulse Survey,3,4,3,5,3,4,True,-70,True
46,EMP0374,Legal,London HQ,2025-08-07,2025-08,Pulse Survey,4,2,4,2,1,1,True,-2,False
47,EMP0548,Retail Operations,SnowTelco Brighton Standard,2025-07-01,2025-07,Onboarding Survey,4,3,1,3,2,5,True,13,False
48,EMP0296,Supply Chain,Manchester Office,2025-03-05,2025-03,Annual Engagement,3,5,1,3,3,1,True,29,False
49,EMP0089,Retail Operations,SnowTelco Manchester Train 9,2025-01-08,2025-01,Onboarding Survey,4,5,2,5,2,5,True,-9,False
50,EMP1955,Retail Operations,SnowTelco Glasgow Airport 8,2025-12-15,2025-12,Pulse Survey,3,3,4,4,3,5,True,54,False
51,EMP0069,Customer Service,Manchester Contact Centre,2025-07-07,2025-07,Pulse Survey,5,5,3,5,5,3,True,-92,False
52,EMP1813,Retail Operations,SnowTelco London Retail 27,2025-01-26,2025-01,Annual Engagement,4,5,4,2,2,5,True,5,False
53,EMP0039,Network Engineering,Cardiff Office,2025-03-06,2025-03,Annual Engagement,5,2,4,2,5,4,True,-56,True
54,EMP1849,Retail Operations,SnowTelco Cardiff Shopping 4,2025-05-29,2025-05,Annual Engagement,5,3,4,3,5,5,True,55,False
55,EMP0413,Sales - Consumer,London HQ,2025-01-06,2025-01,Annual Engagement,5,1,4,2,1,5,True,-93,False
56,EMP1245,IT,London HQ,2025-11-18,2025-11,Pulse Survey,2,4,4,5,4,1,True,92,False
57,EMP1613,HR,London HQ,2025-01-29,2025-01,Onboarding Survey,4,5,3,3,1,2,True,42,False
58,EMP1658,Retail Operations,SnowTelco Sheffield High 6,2025-11-30,2025-11,Pulse Survey,2,1,3,2,4,5,False,-35,True
59,EMP1277,Retail Operations,SnowTelco Aberdeen High 3,2025-06-01,2025-06,Annual Engagement,5,2,3,3,3,2,True,-100,False
60,EMP1485,IT,Edinburgh Office,2025-04-23,2025-04,Annual Engagement,3,4,3,1,1,1,True,91,True
61,EMP1142,Sales - Consumer,Birmingham Office,2026-02-09,2026-02,Pulse Survey,2,2,5,3,2,4,True,35,False
62,EMP1954,Network Engineering,Birmingham Office,2025-08-02,2025-08,Annual Engagement,4,2,4,4,3,5,False,-53,True
63,EMP0229,Network Engineering,London HQ,2025-08-09,2025-08,Annual Engagement,3,2,5,4,3,4,True,-46,True
64,EMP0441,Sales - Consumer,Manchester Office,2025-02-26,2025-02,Onboarding Survey,3,4,1,1,2,4,True,90,True
65,EMP0869,Sales - Consumer,Cardiff Office,2025-06-20,2025-06,Onboarding Survey,4,3,5,1,3,1,True,-31,False
66,EMP1232,IT,Manchester Office,2025-01-23,2025-01,Pulse Survey,3,5,4,1,4,4,True,60,False
67,EMP0603,Customer Service,Glasgow Contact Centre,2025-03-05,2025-03,Annual Engagement,4,1,1,5,3,3,False,-78,True
68,EMP1234,Customer Service,London Contact Centre,2025-06-26,2025-06,Annual Engagement,5,4,5,2,4,4,False,-20,False
69,EMP0742,Network Engineering,Edinburgh Office,2025-09-19,2025-09,Pulse Survey,4,1,3,4,3,5,False,37,False
70,EMP1975,Customer Service,Manchester Contact Centre,2025-09-03,2025-09,Pulse Survey,3,3,4,3,1,1,True,-19,False
