record_id,site_id,measurement_date,energy_kwh,renewable_kwh,grid_kwh,renewable_pct,carbon_emissions_kg,pue_ratio,cooling_kwh,equipment_kwh
1,1,2025-01-01,300.25,115.17,185.08,38.4,37.02,1.36,88.98,171.49
2,2,2025-01-01,259.51,95.07,164.43,36.6,32.89,1.32,74.66,164.0
3,3,2025-01-01,1140.39,489.56,650.83,42.9,130.17,1.51,298.41,648.53
4,4,2025-01-01,107.83,39.88,67.95,37.0,13.59,1.57,39.04,58.17
5,5,2025-01-01,1532.52,547.94,984.59,35.8,196.92,1.76,461.85,945.11
6,6,2025-01-01,1075.32,380.02,695.3,35.3,139.06,1.51,377.92,620.68
7,7,2025-01-01,211.91,95.11,116.8,44.9,23.36,1.37,51.98,119.36
8,8,2025-01-01,381.35,147.36,234.0,38.6,46.8,1.31,114.58,190.99
9,9,2025-01-01,116.42,50.93,65.49,43.7,13.1,1.74,29.02,76.66
10,10,2025-01-01,66.84,28.34,38.5,42.4,7.7,1.41,26.69,40.15
11,11,2025-01-01,1081.6,444.93,636.66,41.1,127.33,1.67,223.18,632.32
12,12,2025-01-01,234.65,93.1,141.55,39.7,28.31,1.32,89.54,149.69
13,13,2025-01-01,1247.39,453.8,793.59,36.4,158.72,1.38,358.36,734.3
14,14,2025-01-01,241.96,89.06,152.9,36.8,30.58,1.3,62.33,161.0
15,15,2025-01-01,1155.92,496.94,658.98,43.0,131.8,1.73,352.46,598.21
16,16,2025-01-01,308.53,123.52,185.01,40.0,37.0,1.67,82.07,162.06
17,17,2025-01-01,439.92,173.17,266.75,39.4,53.35,1.79,93.61,242.29
18,18,2025-01-01,504.41,192.74,311.67,38.2,62.33,1.59,122.13,283.8
19,19,2025-01-01,276.63,99.34,177.29,35.9,35.46,1.49,107.89,187.39
20,20,2025-01-01,1367.95,507.52,860.43,37.1,172.09,1.59,422.35,833.34
21,21,2025-01-01,93.7,42.1,51.6,44.9,10.32,1.33,34.87,59.57
22,22,2025-01-01,88.32,33.8,54.52,38.3,10.9,1.66,20.77,54.73
23,23,2025-01-01,405.68,144.92,260.76,35.7,52.15,1.34,137.08,248.06
24,24,2025-01-01,1095.76,481.94,613.82,44.0,122.76,1.44,362.12,750.49
25,25,2025-01-01,239.09,85.13,153.96,35.6,30.79,1.45,55.92,161.39
26,26,2025-01-01,138.82,61.8,77.02,44.5,15.4,1.72,49.61,76.23
27,27,2025-01-01,1261.81,539.64,722.17,42.8,144.43,1.34,386.65,656.86
28,28,2025-01-01,1131.01,485.8,645.21,43.0,129.04,1.73,331.55,774.31
29,29,2025-01-01,260.17,91.15,169.02,35.0,33.8,1.54,65.1,168.81
30,30,2025-01-01,1202.68,456.99,745.7,38.0,149.14,1.77,379.93,811.56
31,31,2025-01-01,80.42,32.69,47.73,40.6,9.55,1.51,21.33,54.54
32,32,2025-01-01,334.72,137.63,197.09,41.1,39.42,1.36,133.81,186.15
33,33,2025-01-01,80.12,31.92,48.2,39.8,9.64,1.61,29.83,53.36
34,34,2025-01-01,1474.31,520.72,953.59,35.3,190.72,1.32,549.64,965.28
35,35,2025-01-01,292.27,126.71,165.56,43.4,33.11,1.31,58.87,178.78
36,36,2025-01-01,147.91,57.08,90.83,38.6,18.17,1.55,30.33,99.38
37,37,2025-01-01,107.68,44.53,63.15,41.4,12.63,1.54,34.86,64.18
38,38,2025-01-01,138.08,59.51,78.57,43.1,15.71,1.33,54.54,89.04
39,39,2025-01-01,130.73,57.9,72.83,44.3,14.57,1.67,47.07,79.24
40,40,2025-01-01,247.67,102.07,145.59,41.2,29.12,1.53,61.83,163.03
41,41,2025-01-01,291.61,105.42,186.18,36.2,37.24,1.58,70.87,173.31
42,42,2025-01-01,269.51,106.09,163.43,39.4,32.69,1.35,90.16,143.45
43,43,2025-01-01,231.73,98.66,133.07,42.6,26.61,1.52,83.13,116.23
44,44,2025-01-01,1519.86,677.17,842.68,44.6,168.54,1.49,593.41,771.37
45,45,2025-01-01,204.76,77.14,127.62,37.7,25.52,1.32,45.43,119.5
46,46,2025-01-01,1544.53,583.26,961.28,37.8,192.26,1.66,583.0,904.17
47,47,2025-01-01,839.7,323.59,516.1,38.5,103.22,1.71,329.83,481.68
48,48,2025-01-01,125.21,47.93,77.27,38.3,15.45,1.52,33.09,68.75
49,49,2025-01-01,370.7,132.51,238.2,35.7,47.64,1.34,145.09,245.81
50,50,2025-01-01,87.96,36.11,51.85,41.1,10.37,1.43,30.36,46.12
51,51,2025-01-01,471.41,204.65,266.76,43.4,53.35,1.41,172.62,321.48
52,52,2025-01-01,441.46,163.88,277.58,37.1,55.52,1.36,128.88,293.85
53,53,2025-01-01,71.81,26.62,45.19,37.1,9.04,1.67,23.46,39.22
54,54,2025-01-01,902.44,338.12,564.31,37.5,112.86,1.39,210.12,474.11
55,55,2025-01-01,235.57,90.13,145.44,38.3,29.09,1.65,88.26,164.87
56,56,2025-01-01,258.67,105.97,152.7,41.0,30.54,1.35,100.61,134.69
57,57,2025-01-01,264.34,96.02,168.32,36.3,33.66,1.45,54.6,152.25
58,58,2025-01-01,1561.57,650.24,911.33,41.6,182.27,1.44,435.62,1076.16
59,59,2025-01-01,1062.01,384.28,677.73,36.2,135.55,1.33,406.04,619.29
60,60,2025-01-01,132.25,48.09,84.16,36.4,16.83,1.32,27.23,86.1
61,61,2025-01-01,1530.49,589.65,940.84,38.5,188.17,1.41,567.7,932.99
62,62,2025-01-01,232.79,85.79,147.0,36.9,29.4,1.44,66.55,162.95
63,63,2025-01-01,82.89,35.28,47.61,42.6,9.52,1.67,20.23,55.08
64,64,2025-01-01,1308.2,577.37,730.83,44.1,146.17,1.74,276.05,728.16
65,65,2025-01-01,114.51,42.47,72.04,37.1,14.41,1.49,23.53,71.14
66,66,2025-01-01,229.61,99.52,130.1,43.3,26.02,1.31,87.43,139.73
67,67,2025-01-01,155.75,64.42,91.33,41.4,18.27,1.66,58.0,80.63
68,68,2025-01-01,247.03,104.33,142.7,42.2,28.54,1.48,66.65,168.84
69,69,2025-01-01,115.97,44.23,71.74,38.1,14.35,1.69,42.34,58.1
70,70,2025-01-01,944.35,331.16,613.2,35.1,122.64,1.48,300.37,616.43
71,71,2025-01-01,302.22,134.51,167.71,44.5,33.54,1.74,101.02,183.88
72,72,2025-01-01,200.75,73.67,127.08,36.7,25.42,1.51,42.1,113.25
