hr_fact_id,date,employee_key,department_key,job_key,location_key,salary,attrition_flag
1708,2015-01-01,565,14,819,926,43864,False
1262,2015-01-09,424,40,813,920,116224,False
2441,2015-01-10,813,23,801,902,63865,False
616,2015-01-18,211,26,801,917,84729,False
1645,2015-01-20,543,39,814,909,45178,False
1132,2015-01-22,384,18,816,919,77930,False
1484,2015-01-24,492,21,806,903,52846,False
873,2015-01-26,296,13,810,910,79910,False
2986,2015-01-26,988,15,806,913,119805,False
2211,2015-01-29,736,30,808,909,49137,False
46,2015-02-02,17,31,817,909,114951,False
1853,2015-02-07,615,19,803,913,66564,False
1716,2015-02-07,569,15,811,916,93956,False
592,2015-02-09,202,37,804,921,112829,False
1468,2015-02-13,488,40,813,921,94674,False
945,2015-02-18,315,23,803,916,41619,False
1593,2015-02-28,528,14,814,904,93463,False
2143,2015-03-05,714,11,812,906,118359,False
1609,2015-03-05,533,10,804,925,77074,False
2031,2015-03-08,678,10,812,925,83052,False
441,2015-03-08,148,13,805,914,87836,False
688,2015-03-09,236,16,816,925,94107,False
650,2015-03-11,223,22,803,917,28773,False
1039,2015-03-13,351,37,808,905,104238,False
2161,2015-03-13,720,29,805,923,70160,False
1230,2015-03-18,414,13,817,905,30486,False
1255,2015-03-23,422,34,808,921,74900,False
1524,2015-03-28,505,19,805,926,51295,False
2273,2015-04-03,758,32,818,915,36294,False
1206,2015-04-06,406,10,817,918,61907,False
2294,2015-04-07,766,10,800,909,43869,False
2361,2015-04-10,787,31,818,907,112603,False
1776,2015-04-12,591,20,819,925,75223,False
1,2015-04-13,1,33,808,907,57256,True
1266,2015-04-14,425,33,807,922,83550,False
2241,2015-04-14,745,10,820,920,83236,False
1778,2015-04-15,592,13,819,906,69039,False
2812,2015-04-15,931,18,814,916,68946,False
528,2015-04-16,178,16,805,920,66248,False
2791,2015-04-18,925,16,814,901,95576,False
2300,2015-04-22,768,22,801,915,39380,False
196,2015-04-29,67,15,808,922,68499,False
1650,2015-04-30,544,17,801,926,29362,True
2116,2015-05-01,706,30,815,923,43663,False
2773,2015-05-02,920,16,803,917,28716,False
1626,2015-05-02,539,27,800,916,95075,False
2,2015-05-03,2,12,806,907,94237,False
2664,2015-05-03,886,31,811,924,79138,False
2604,2015-05-06,867,30,814,905,56299,False
1760,2015-05-09,584,27,811,900,107788,False
2860,2015-05-09,948,31,813,908,68042,False
2759,2015-05-13,915,17,801,903,30209,False
261,2015-05-13,90,29,804,921,86972,False
1738,2015-05-13,575,20,813,908,54281,False
120,2015-05-14,40,17,809,922,65056,False
1835,2015-05-19,609,18,803,926,77526,False
2697,2015-05-19,897,26,806,920,110969,False
1897,2015-05-19,630,20,803,920,75039,False
1382,2015-05-22,460,39,811,920,116660,False
2935,2015-05-26,972,18,810,901,48149,False
318,2015-05-29,107,36,812,925,92930,False
2744,2015-06-01,910,19,818,906,84550,False
803,2015-06-03,271,33,818,912,38286,False
2680,2015-06-04,891,12,811,906,79711,False
1310,2015-06-06,438,27,806,910,53774,False
1818,2015-06-08,603,23,808,919,77845,False
689,2015-06-09,237,38,817,916,43403,False
1852,2015-06-09,614,38,813,915,50376,False
827,2015-06-12,278,17,816,909,71721,False
2347,2015-06-13,783,38,818,901,29291,False
1571,2015-06-13,521,38,812,907,55370,False
296,2015-06-14,100,11,801,904,71652,False
1498,2015-06-17,497,10,801,921,70157,False
2346,2015-06-18,782,37,802,908,42085,False
2458,2015-06-21,819,11,814,906,28487,False
2585,2015-06-22,859,40,806,925,35259,False
206,2015-06-23,70,23,800,914,38205,False
182,2015-06-27,63,33,816,909,88036,False
2157,2015-06-29,718,28,800,904,72741,False
1505,2015-06-29,499,14,806,913,100154,False
1291,2015-06-29,432,10,806,906,65237,False
71,2015-07-09,24,17,815,919,37545,False
2982,2015-07-10,987,17,807,913,115954,False
1208,2015-07-15,407,34,820,903,86816,False
242,2015-07-15,83,17,813,920,109633,False
1652,2015-07-16,546,40,809,902,62567,False
1564,2015-07-16,518,20,802,909,29111,False
583,2015-07-17,197,32,803,913,86237,False
544,2015-07-21,183,33,815,908,76816,False
2919,2015-07-23,966,12,820,912,56777,False
1692,2015-07-24,559,18,804,911,65128,False
604,2015-07-26,207,26,807,917,112320,False
177,2015-07-27,60,35,810,907,44505,False
292,2015-07-29,99,28,817,906,75516,False
314,2015-08-04,105,13,813,910,89918,False
2270,2015-08-08,755,21,806,920,53006,False
806,2015-08-10,272,19,816,901,69853,False
818,2015-08-12,275,17,819,904,65707,True
112,2015-08-12,37,27,809,922,44551,False
1025,2015-08-18,348,39,811,912,47391,False
11,2015-08-18,6,17,801,925,69347,False
1981,2015-08-18,659,24,818,916,60502,False
1432,2015-08-19,476,13,811,915,51544,False
561,2015-08-21,190,35,819,912,114577,False
2075,2015-08-21,694,30,803,925,64726,False
946,2015-08-21,316,40,819,921,56419,False
1199,2015-08-25,404,30,816,909,82959,False
1423,2015-08-29,473,35,810,904,55605,False
2967,2015-08-29,983,12,817,912,85571,False
2212,2015-08-30,736,30,815,909,51593,False
774,2015-09-02,262,21,820,904,119924,False
123,2015-09-02,41,15,809,919,102607,False
2851,2015-09-03,945,10,817,900,42201,False
442,2015-09-04,148,13,805,914,92227,False
1705,2015-09-07,564,13,818,921,94954,False
2878,2015-09-07,954,19,810,915,103861,False
1773,2015-09-07,589,40,808,908,30112,False
2973,2015-09-08,985,30,805,921,103062,False
2206,2015-09-08,735,24,805,916,28827,False
749,2015-09-19,252,39,815,917,35055,True
2109,2015-09-19,704,31,811,902,64187,False
2249,2015-09-19,747,39,802,904,47866,False
1770,2015-09-20,588,24,805,908,64194,False
1413,2015-09-22,470,30,810,912,78023,False
1300,2015-09-23,435,15,816,912,112550,False
47,2015-09-23,17,13,817,909,120698,False
1065,2015-09-23,361,21,806,910,54248,False
1054,2015-09-29,355,19,800,924,40648,False
1540,2015-10-03,511,13,818,913,64500,False
1088,2015-10-03,369,28,816,915,83981,False
29,2015-10-04,11,38,801,925,71309,False
1507,2015-10-05,500,25,813,916,94043,False
1040,2015-10-08,351,37,814,905,109449,False
2987,2015-10-19,988,15,819,913,125795,False
1469,2015-10-20,488,40,813,921,99407,False
1730,2015-10-22,573,20,805,921,112178,False
2649,2015-10-25,881,28,804,910,102431,False
1580,2015-10-26,524,17,812,925,88591,False
458,2015-10-26,154,10,818,902,29807,False
2972,2015-10-26,984,25,806,912,69039,False
1796,2015-10-30,597,33,811,914,81592,False
2144,2015-10-30,714,17,812,906,124276,False
147,2015-11-03,49,25,808,910,109691,False
2637,2015-11-04,877,10,805,920,40093,False
1748,2015-11-10,580,11,804,914,51670,False
2861,2015-11-11,949,13,804,906,48206,False
2268,2015-11-15,754,29,803,926,28035,False
2659,2015-11-16,884,40,819,902,110289,False
1267,2015-11-18,425,33,807,922,87727,False
896,2015-11-18,302,39,814,918,45274,False
1898,2015-11-19,630,20,815,920,78790,False
2242,2015-11-20,745,10,820,920,87397,False
2850,2015-11-20,944,15,808,922,41096,True
