subscription_id,iccid,device_type_key,customer_key,data_plan,activation_date,status,monthly_fee,contract_term_months,last_communication
1,894486084116627521050,92,1,1MB,2023-10-31,Active,7.82,60,2024-04-16
2,894491536794887550047,53,397,1MB,2025-06-28,Active,7.61,36,2025-07-20
3,894471172603865535663,18,443,10MB,2022-01-21,Active,10.56,12,2023-10-22
4,894464935782323973101,74,658,1MB,2020-06-27,Active,1.96,60,2022-04-03
5,894472812279050929164,63,784,1MB,2022-10-13,Active,14.61,60,2025-08-05
6,894448519318313472906,26,410,1MB,2022-07-30,Terminated,17.19,36,2025-06-23
7,894447156743994057420,98,987,1GB,2020-02-08,Suspended,1.92,60,2021-01-03
8,894496669227648427665,83,12,Unlimited,2022-01-28,Active,15.89,36,2022-08-31
9,894441023828456525848,98,276,1GB,2023-06-27,Active,12.18,60,2024-12-11
10,894426566053222053758,2,475,100MB,2020-03-12,Active,1.07,12,2024-07-14
11,894429689095068651036,90,44,1MB,2025-12-04,Active,13.16,24,2025-12-05
12,894477525937555014271,54,769,100MB,2024-07-11,Active,1.14,60,2025-10-31
13,894426054970380716721,15,365,1GB,2022-06-29,Suspended,9.52,12,2025-03-04
14,894441375981152390994,22,717,5GB,2020-01-11,Active,4.35,60,2024-01-08
15,894410542518494121780,20,328,10MB,2023-07-09,Active,11.98,24,2025-11-30
16,894435904414421120956,85,40,1MB,2024-09-17,Active,18.9,36,2025-02-12
17,894489871854753662984,50,74,1GB,2024-04-10,Active,11.02,24,2025-02-01
18,894454046612962021936,27,830,100MB,2025-09-04,Active,12.9,24,2025-09-04
19,894430492354150537065,14,672,10MB,2024-11-09,Active,7.95,12,2025-05-12
20,894432332019690467477,88,389,5GB,2023-08-13,Active,5.43,12,2024-10-27
21,894462994172176341517,1,499,1GB,2024-01-24,Active,16.2,60,2024-01-25
22,894492151616601201600,24,817,100MB,2024-08-20,Active,14.9,12,2024-08-26
23,894451642166812988166,30,107,5GB,2020-06-22,Terminated,11.86,24,2023-07-13
24,894495880522135757545,58,927,5GB,2023-06-13,Active,8.92,60,2024-02-08
25,894480852940518740415,72,347,1GB,2022-03-11,Active,17.2,24,2023-07-21
26,894454811986150925846,98,287,Unlimited,2021-01-25,Active,11.11,12,2021-01-27
27,894455864304391143059,76,618,10MB,2021-07-21,Active,8.85,60,2025-11-18
28,894486621097304788404,16,203,10MB,2025-07-13,Active,12.28,36,2025-10-17
29,894488307637853714364,71,884,Unlimited,2024-09-20,Active,15.39,24,2025-11-25
30,894478144328123442480,33,586,Unlimited,2025-12-21,Active,12.59,24,2025-12-28
31,894446666503713633800,82,209,1GB,2024-01-22,Active,4.31,60,2024-04-18
32,894423025967600548720,9,3,1GB,2020-11-17,Active,10.63,60,2025-09-26
33,894455319891365568857,16,615,5GB,2020-10-07,Suspended,14.09,36,2025-03-02
34,894475612583866792764,24,375,Unlimited,2020-04-07,Active,11.06,24,2022-12-11
35,894412948662995773627,68,308,Unlimited,2024-04-01,Active,6.46,36,2024-11-07
36,894498263803092188285,62,626,1GB,2020-03-19,Active,2.98,24,2024-11-26
37,894498134046312204678,6,673,1GB,2025-06-20,Active,4.62,60,2025-09-14
38,894465950890102407554,35,515,1GB,2020-12-05,Active,9.63,60,2021-07-06
39,894464023672178799855,1,331,1MB,2021-06-24,Terminated,10.2,12,2022-08-31
40,894471278116422508550,11,546,10MB,2020-11-18,Active,18.25,36,2024-01-10
41,894483006214264209248,59,797,1GB,2023-03-09,Active,8.0,24,2023-08-25
42,894488506427128104497,55,381,10MB,2021-06-06,Terminated,7.45,12,2021-09-01
43,894421557175112625021,79,407,Unlimited,2024-05-05,Terminated,4.42,12,2024-08-04
44,894472963834581284050,84,919,1GB,2024-05-10,Active,9.74,36,2024-06-23
45,894497280446529156332,21,946,Unlimited,2022-08-11,Active,16.69,12,2025-10-07
46,894474365829793460147,61,293,Unlimited,2020-07-01,Active,6.05,24,2020-10-01
47,894470400138223432480,77,695,1MB,2022-11-03,Active,6.47,60,2024-07-15
48,894445211645466093434,12,410,5GB,2021-12-12,Suspended,10.33,24,2022-12-15
49,894494472111722253524,87,829,100MB,2024-07-25,Active,12.45,12,2024-08-29
50,894418870296966906998,17,949,10MB,2023-06-16,Active,11.15,24,2024-11-17
51,894459427625774103022,9,339,100MB,2020-04-22,Active,5.7,24,2022-11-07
52,894421004007575829547,64,247,100MB,2022-02-14,Terminated,4.55,36,2022-09-17
53,894452297931715004310,61,669,5GB,2024-11-07,Active,15.54,24,2025-05-18
54,894442399251417775535,2,258,1MB,2023-01-04,Active,8.53,12,2023-05-25
55,894466162651017071696,31,352,100MB,2020-08-03,Active,13.84,60,2021-09-17
56,894463238649010967996,83,10,10MB,2022-07-04,Active,1.26,24,2024-04-06
57,894446993176345065980,14,602,100MB,2020-05-23,Suspended,16.62,60,2023-10-11
58,894489957149015947833,59,654,100MB,2025-11-03,Active,11.11,12,2025-12-15
59,894466740096313319314,36,367,10MB,2021-12-22,Active,13.62,60,2023-02-01
