churn_id,subscriber_key,churn_date,churn_reason,churn_reason_detail,competitor_name,tenure_months,lifetime_value,retention_attempts,retention_offer_made,retention_offer_accepted,final_bill_status,port_out,win_back_eligible
1,14,2025-08-28,No Longer Needed,No longer requires mobile service,,12,480.87,2,True,False,Paid,False,True
2,28,2024-01-22,Billing Issues,Disputes over charges,,10,185.11,1,True,False,Paid,False,True
3,29,2023-11-05,Contract End,"Contract ended, chose not to renew",,12,216.82,2,True,False,Paid,False,True
4,32,2023-06-18,Network Coverage,Poor signal in home/work area,,20,838.04,0,False,False,Paid,True,True
5,35,2022-08-11,Network Coverage,Poor signal in home/work area,,12,193.99,1,True,False,Paid,True,True
6,58,2025-10-27,Billing Issues,Disputes over charges,,32,788.2,2,True,False,Paid,False,True
7,62,2024-08-22,Bundle Deal,Switched to competitor bundle offer,VOXI,38,882.88,0,False,False,Paid,True,True
8,63,2023-07-23,Price,Found cheaper alternative with competitor,Tesco Mobile,39,726.03,2,True,False,Paid,True,True
9,71,2024-06-12,Relocation,Moving abroad or to area without coverage,,20,502.2,0,False,False,Paid,False,True
10,75,2023-01-16,Network Quality,Slow speeds or poor performance,,9,284.11,0,False,False,Paid,False,True
11,87,2024-04-07,Competitor Promotion,Attracted by competitor offer,EE,25,768.56,1,True,False,Paid,True,True
12,93,2023-05-10,No Longer Needed,No longer requires mobile service,,15,517.58,0,False,False,Paid,False,True
13,95,2022-07-25,Network Coverage,Poor signal in home/work area,,30,731.4,0,False,False,Paid,True,True
14,105,2024-06-20,Bundle Deal,Switched to competitor bundle offer,Sky Mobile,41,682.72,0,False,False,Paid,True,True
15,119,2023-05-19,Network Coverage,Poor signal in home/work area,,11,235.77,0,False,False,Paid,True,True
16,144,2025-01-24,Network Coverage,Poor signal in home/work area,,21,936.74,0,False,False,Paid,True,True
17,147,2023-12-01,Contract End,"Contract ended, chose not to renew",,45,1052.89,0,False,False,Paid,False,True
18,160,2025-06-16,Network Coverage,Poor signal in home/work area,,4,116.05,1,True,False,Paid,True,False
19,173,2023-07-15,Price,Found cheaper alternative with competitor,Sky Mobile,18,365.17,0,False,False,Paid,True,True
20,177,2024-06-03,Customer Service,Dissatisfied with support experience,,23,905.83,1,True,False,Paid,False,True
21,213,2023-03-27,Customer Service,Dissatisfied with support experience,,26,1033.88,1,True,False,Paid,False,True
22,214,2025-10-20,Billing Issues,Disputes over charges,,4,128.87,2,True,False,Paid,False,False
23,233,2023-05-08,Price,Found cheaper alternative with competitor,Tesco Mobile,20,562.35,1,True,False,Paid,True,True
24,239,2024-07-02,Contract End,"Contract ended, chose not to renew",,12,276.78,0,False,False,Paid,False,True
25,240,2022-08-28,Competitor Promotion,Attracted by competitor offer,Sky Mobile,24,598.97,0,False,False,Paid,True,True
26,242,2025-03-19,Network Quality,Slow speeds or poor performance,,31,1390.49,0,False,False,Paid,False,True
