element_id,element_name,element_type,category,site_key,vendor,model,serial_number,ip_address,city,county,status,install_date,last_maintenance,capacity_gbps,criticality
1,ROU-LEE-00001,Router,Core,5,Nokia,Nokia-7250-IXR,SN501832997,10.99.223.161,Leeds,West Yorkshire,Active,2025-05-16,2025-10-07,62.9,Medium
2,ROU-BRI-00002,Router,Core,24,Nokia,Nokia-7250-IXR,SN514869913,10.255.209.250,Brighton,East Sussex,Degraded,2019-11-07,2025-08-02,92.6,Critical
3,ROU-CAR-00003,Router,Core,23,Nokia,Nokia-7250-IXR,SN781713589,10.50.76.204,Cardiff,Wales,Maintenance,2020-05-22,2025-10-15,25.7,Critical
4,ROU-CAR-00004,Router,Core,23,Juniper,Juniper-PTX-Series,SN584071802,10.237.214.152,Cardiff,Wales,Active,2019-03-16,2020-11-01,32.2,High
5,ROU-REA-00005,Router,Core,20,Nokia,Nokia-7750-SR,SN712188358,10.140.28.143,Reading,Berkshire,Active,2025-06-05,2025-08-20,45.9,Medium
6,ROU-GLA-00006,Router,Core,5,Juniper,Juniper-PTX-Series,SN637244644,10.246.184.169,Glasgow,Scotland,Offline,2023-01-24,2024-12-20,87.8,Medium
7,ROU-LEI-00007,Router,Core,15,Cisco,Cisco-NCS-5500,SN352916000,10.58.67.85,Leicester,Leicestershire,Active,2018-01-10,2025-02-23,23.1,Critical
8,ROU-NEW-00008,Router,Core,14,Nokia,Nokia-7250-IXR,SN603174391,10.124.206.137,Newcastle,Tyne and Wear,Active,2025-04-03,2025-12-30,78.0,Low
9,ROU-COV-00009,Router,Core,16,Huawei,Huawei-NE-Series,SN548022417,10.220.56.98,Coventry,West Midlands,Active,2017-05-15,2023-04-01,79.5,Medium
10,ROU-COV-00010,Router,Core,42,Juniper,Juniper-PTX-Series,SN662218306,10.108.7.232,Coventry,West Midlands,Maintenance,2022-12-30,2025-07-01,98.5,Medium
11,ROU-NEW-00011,Router,Core,27,Huawei,Huawei-NetEngine-8000,SN269806964,10.221.7.59,Newcastle,Tyne and Wear,Degraded,2016-02-26,2022-11-12,94.9,High
12,ROU-NEW-00012,Router,Core,14,Huawei,Huawei-ATN-900,SN305989013,10.71.165.164,Newcastle,Tyne and Wear,Active,2025-04-12,2025-08-12,99.7,High
13,ROU-LEI-00013,Router,Core,10,Ericsson,Ericsson-Router-8000,SN196565555,10.181.116.216,Leicester,Leicestershire,Active,2019-08-01,2021-03-25,6.0,Low
14,ROU-BEL-00014,Router,Core,17,Cisco,Cisco-8000,SN126946557,10.50.91.76,Belfast,Northern Ireland,Active,2021-05-05,2022-01-29,88.3,High
15,ROU-BEL-00015,Router,Core,11,Juniper,Juniper-MX-Series,SN812290080,10.79.14.202,Belfast,Northern Ireland,Active,2021-11-13,2024-02-14,96.5,High
16,ROU-LON-00016,Router,Core,3,Huawei,Huawei-ATN-900,SN846904998,10.27.218.174,London,Greater London,Active,2022-11-23,2023-07-31,78.6,Medium
17,ROU-GLA-00017,Router,Core,16,Nokia,Nokia-FP5,SN276629975,10.183.168.209,Glasgow,Scotland,Offline,2020-11-12,2025-08-08,56.3,High
18,ROU-OXF-00018,Router,Core,1,Huawei,Huawei-NetEngine-8000,SN748615685,10.224.1.219,Oxford,Oxfordshire,Active,2017-07-13,2021-12-28,54.8,Low
19,ROU-COV-00019,Router,Core,33,Ericsson,Ericsson-Router-6000,SN976557755,10.199.190.162,Coventry,West Midlands,Offline,2016-12-15,2017-10-04,72.5,Low
20,ROU-SOU-00020,Router,Core,36,Huawei,Huawei-NetEngine-8000,SN464714425,10.46.120.8,Southampton,Hampshire,Active,2019-03-09,2021-02-28,51.4,High
21,ROU-CAR-00021,Router,Core,40,Juniper,Juniper-PTX-Series,SN565083728,10.15.18.167,Cardiff,Wales,Maintenance,2016-02-06,2016-07-03,71.8,High
22,ROU-BEL-00022,Router,Core,1,Juniper,Juniper-MX-Series,SN861001917,10.157.45.162,Belfast,Northern Ireland,Active,2021-11-02,2025-12-17,10.5,High
23,ROU-SHE-00023,Router,Core,26,Juniper,Juniper-ACX,SN657061263,10.234.233.118,Sheffield,South Yorkshire,Degraded,2015-07-12,2018-09-11,74.8,Low
24,ROU-SOU-00024,Router,Core,20,Ericsson,Ericsson-Router-6000,SN231220704,10.149.202.179,Southampton,Hampshire,Active,2015-07-01,2016-02-23,91.3,Low
25,ROU-SOU-00025,Router,Core,31,Ericsson,Ericsson-Router-6000,SN780978601,10.186.138.130,Southampton,Hampshire,Maintenance,2015-07-07,2022-11-24,41.7,High
26,ROU-LIV-00026,Router,Core,20,Ericsson,Ericsson-Router-6000,SN643529266,10.230.192.250,Liverpool,Merseyside,Maintenance,2017-12-05,2022-02-13,53.9,Medium
27,ROU-BRI-00027,Router,Core,14,Juniper,Juniper-PTX-Series,SN702403995,10.176.168.17,Bristol,Avon,Offline,2016-06-16,2019-09-20,2.6,Critical
