range_id,prefix,range_start,range_end,block_size,number_type,status,allocated_date,utilization_pct
1,0161,0161826308,0161836307,10000,Geographic,Active,2012-05-26,99.1
2,07700,07700374787,07700375786,1000,Mobile,Reserved,2024-09-05,69.4
3,0207,0207487019,0207487118,100,Geographic,Active,2010-06-08,36.6
4,0121,0121258044,0121258143,100,Geographic,Active,2022-12-21,16.3
5,0117,0117603562,0117613561,10000,Geographic,Reserved,2021-08-16,53.5
6,0141,0141691861,0141692860,1000,Geographic,Active,2013-04-14,58.6
7,0121,0121297074,0121298073,1000,Geographic,Active,2014-04-11,79.1
8,0141,0141712881,0141713880,1000,Geographic,Reserved,2018-12-07,86.8
9,0151,0151400717,0151410716,10000,Geographic,Active,2011-07-25,75.3
10,0161,0161343821,0161343920,100,Geographic,Active,2016-12-09,6.2
11,0113,0113813292,0113813391,100,Geographic,Active,2015-03-03,87.9
12,0208,0208412831,0208422830,10000,Geographic,Active,2021-03-06,69.1
13,07800,07800448225,07800449224,1000,Mobile,Active,2021-02-22,11.1
14,0208,0208568071,0208568170,100,Geographic,Active,2024-06-18,23.4
15,0121,0121490293,0121490392,100,Geographic,Reserved,2016-05-10,68.9
16,0117,0117506250,0117507249,1000,Geographic,Reserved,2015-10-18,37.5
17,0151,0151164674,0151165673,1000,Geographic,Active,2018-07-17,2.9
18,0131,0131499485,0131500484,1000,Geographic,Reserved,2016-07-10,55.8
19,0161,0161874560,0161884559,10000,Geographic,Active,2011-12-04,97.4
20,07900,07900512891,07900512990,100,Mobile,Reserved,2011-05-28,22.0
21,0113,0113387108,0113397107,10000,Geographic,Quarantine,2013-01-02,40.6
22,0131,0131835678,0131836677,1000,Geographic,Active,2019-04-07,18.9
23,07900,07900165180,07900166179,1000,Mobile,Active,2010-08-09,92.3
24,0161,0161695529,0161705528,10000,Geographic,Quarantine,2013-02-14,22.2
25,0161,0161599802,0161600801,1000,Geographic,Active,2024-03-17,86.6
26,0207,0207835356,0207845355,10000,Geographic,Active,2014-09-13,79.5
27,0208,0208192722,0208193721,1000,Geographic,Active,2017-12-23,53.0
28,07700,07700738766,07700748765,10000,Mobile,Active,2011-03-27,63.9
29,07700,07700723405,07700724404,1000,Mobile,Active,2014-01-10,8.3
30,0131,0131297394,0131307393,10000,Geographic,Active,2015-08-03,6.2
31,0117,0117537788,0117537887,100,Geographic,Reserved,2018-07-19,24.8
32,0113,0113327512,0113337511,10000,Geographic,Active,2013-12-20,64.6
33,0131,0131772654,0131782653,10000,Geographic,Active,2014-10-14,44.5
34,0151,0151448489,0151458488,10000,Geographic,Active,2023-09-06,8.5
35,0208,0208279262,0208280261,1000,Geographic,Active,2011-05-06,59.5
36,0141,0141729683,0141730682,1000,Geographic,Active,2018-01-10,36.4
37,07900,07900675879,07900675978,100,Mobile,Active,2014-04-01,13.5
38,0208,0208325462,0208326461,1000,Geographic,Quarantine,2021-08-24,99.2
39,07900,07900174196,07900184195,10000,Mobile,Quarantine,2023-04-23,31.5
40,07900,07900415180,07900415279,100,Mobile,Active,2010-02-28,91.0
41,0151,0151618777,0151628776,10000,Geographic,Quarantine,2012-09-08,74.7
42,0141,0141433022,0141434021,1000,Geographic,Active,2010-08-17,81.8
43,07700,07700369665,07700370664,1000,Mobile,Reserved,2016-03-06,69.0
44,0161,0161742955,0161743954,1000,Geographic,Active,2017-03-13,88.2
45,0121,0121242858,0121252857,10000,Geographic,Active,2012-06-12,96.1
46,0113,0113860814,0113861813,1000,Geographic,Active,2015-07-22,65.2
47,07800,07800427588,07800427687,100,Mobile,Quarantine,2018-12-02,66.2
48,0117,0117379748,0117380747,1000,Geographic,Quarantine,2019-01-21,77.9
49,07900,07900814354,07900824353,10000,Mobile,Reserved,2013-01-27,24.3
50,07800,07800845583,07800855582,10000,Mobile,Active,2017-01-12,42.0
51,0121,0121271827,0121271926,100,Geographic,Active,2017-01-25,93.8
52,0117,0117234104,0117234203,100,Geographic,Active,2015-12-09,76.0
53,0151,0151246085,0151256084,10000,Geographic,Quarantine,2013-02-09,45.1
54,0141,0141132344,0141132443,100,Geographic,Active,2014-06-24,73.0
55,0161,0161450774,0161451773,1000,Geographic,Active,2019-07-05,33.8
56,0151,0151842911,0151852910,10000,Geographic,Reserved,2022-08-09,85.9
