perf_id,partner_key,month,orders_count,order_value,revenue,new_customers,churn_rate,nps_score,support_tickets,training_completed,commission_earned
1,1,2022-01,66,73742.26,62680.92,11,2.84,28,4,True,5973.12
2,1,2022-01,18,52910.85,44974.22,4,0.2,60,5,False,4285.78
3,1,2022-03,11,10402.98,8842.53,0,2.9,80,5,True,842.64
4,1,2022-04,19,51826.5,44052.53,6,0.09,48,3,False,4197.95
5,1,2022-05,42,21243.75,18057.19,8,1.68,53,10,False,1720.74
6,1,2022-05,52,23574.02,20037.92,5,1.29,51,19,True,1909.5
7,1,2022-06,37,69752.3,59289.46,4,2.45,48,4,True,5649.94
8,1,2022-07,31,63651.33,54103.63,8,1.47,46,3,False,5155.76
9,1,2022-08,27,67911.86,57725.08,3,0.78,54,0,True,5500.86
10,1,2022-09,13,66611.56,56619.83,3,2.94,28,0,False,5395.54
11,1,2022-10,67,71375.98,60669.58,6,2.64,53,28,True,5781.45
12,1,2022-11,63,54447.82,46280.65,12,1.27,79,30,False,4410.27
13,1,2022-12,33,63139.11,53668.24,3,0.84,22,0,False,5114.27
14,1,2023-01,8,74934.41,63694.25,2,2.73,56,1,True,6069.69
15,1,2023-02,46,60036.09,51030.68,15,2.85,80,2,False,4862.92
16,1,2023-03,42,11403.78,9693.21,8,0.3,33,11,False,923.71
17,1,2023-04,31,53559.31,45525.41,1,2.42,34,14,False,4338.3
18,1,2023-05,59,57895.34,49211.04,6,1.43,24,21,False,4689.52
19,1,2023-06,9,30243.87,25707.29,1,0.22,65,1,False,2449.75
20,1,2023-07,50,43431.08,36916.42,2,1.62,59,18,False,3517.92
21,1,2023-08,58,71518.75,60790.94,11,2.2,75,7,False,5793.02
22,1,2023-09,72,49046.24,41689.3,8,2.64,61,24,False,3972.75
23,1,2023-10,50,41221.92,35038.63,10,0.59,51,7,True,3338.98
24,1,2023-11,69,54062.08,45952.77,14,1.88,50,19,True,4379.03
25,1,2023-12,17,45326.15,38527.23,5,2.63,55,0,False,3671.42
26,1,2024-01,8,68888.42,58555.16,2,2.16,23,3,False,5579.96
27,1,2024-02,35,33588.44,28550.17,9,1.26,64,2,False,2720.66
28,1,2024-03,12,74989.05,63740.69,1,1.69,66,1,False,6074.11
29,1,2024-04,44,65785.14,55917.37,9,0.56,66,2,True,5328.6
30,1,2024-05,16,8575.94,7289.55,3,0.68,38,8,False,694.65
31,1,2024-06,29,34631.39,29436.68,0,1.43,52,6,True,2805.14
32,1,2024-07,38,59826.13,50852.21,5,0.26,74,6,True,4845.92
33,1,2024-08,34,52555.84,44672.46,3,0.23,67,10,False,4257.02
34,1,2024-09,57,12820.22,10897.19,10,2.77,55,19,True,1038.44
35,1,2024-10,13,67159.28,57085.39,2,0.03,21,2,True,5439.9
36,1,2024-11,55,15377.09,13070.53,14,2.24,59,0,False,1245.54
37,2,2022-01,124,149419.92,127006.93,0,0.25,42,39,False,22562.41
38,2,2022-01,144,46012.57,39110.68,5,0.68,51,45,True,6947.9
39,2,2022-03,42,140717.62,119609.98,12,1.65,27,3,False,21248.36
40,2,2022-04,21,37946.81,32254.79,5,2.93,21,7,False,5729.97
41,2,2022-05,93,58891.15,50057.48,2,1.6,28,9,False,8892.56
