po_line_id,po_id,product_key,description,quantity_ordered,quantity_received,unit_cost,line_total
1,1,15,Item for PO PO000001,886,846,113.39,100463.54
2,1,49,Item for PO PO000001,452,255,431.95,195241.4
3,1,59,Item for PO PO000001,63,4,148.53,9357.39
4,1,9,Item for PO PO000001,842,75,495.62,417312.04
5,1,23,Item for PO PO000001,37,2,301.33,11149.21
6,1,43,Item for PO PO000001,823,605,462.09,380300.07
7,1,15,Item for PO PO000001,136,96,305.87,41598.32
8,1,25,Item for PO PO000001,992,384,299.65,297252.8
9,1,4,Item for PO PO000001,918,665,229.44,210625.92
10,2,60,Item for PO PO000002,424,424,207.9,88149.6
11,2,13,Item for PO PO000002,238,238,109.82,26137.16
12,2,28,Item for PO PO000002,940,940,184.9,173806.0
13,2,62,Item for PO PO000002,377,377,15.27,5756.79
14,2,36,Item for PO PO000002,493,493,218.09,107518.37
15,3,20,Item for PO PO000003,593,593,320.77,190216.61
16,3,22,Item for PO PO000003,18,18,349.04,6282.72
17,3,34,Item for PO PO000003,608,608,499.52,303708.16
18,4,41,Item for PO PO000004,126,126,22.87,2881.62
19,4,52,Item for PO PO000004,317,317,490.29,155421.93
20,4,18,Item for PO PO000004,689,689,348.73,240274.97
21,4,5,Item for PO PO000004,978,978,381.78,373380.84
22,4,27,Item for PO PO000004,771,771,443.5,341938.5
23,4,56,Item for PO PO000004,554,554,110.47,61200.38
24,5,48,Item for PO PO000005,106,106,57.78,6124.68
25,5,20,Item for PO PO000005,832,832,309.35,257379.2
26,5,45,Item for PO PO000005,495,495,139.74,69171.3
27,5,7,Item for PO PO000005,830,830,180.31,149657.3
28,5,41,Item for PO PO000005,569,569,144.86,82425.34
29,5,24,Item for PO PO000005,245,245,486.06,119084.7
30,5,24,Item for PO PO000005,941,941,273.64,257495.24
31,5,54,Item for PO PO000005,239,239,424.58,101474.62
32,5,28,Item for PO PO000005,390,390,119.04,46425.6
33,6,25,Item for PO PO000006,813,457,116.19,94462.47
34,6,53,Item for PO PO000006,551,514,162.52,89548.52
35,7,27,Item for PO PO000007,408,315,215.24,87817.92
36,7,22,Item for PO PO000007,152,21,117.58,17872.16
37,7,25,Item for PO PO000007,773,263,398.08,307715.84
38,7,53,Item for PO PO000007,456,153,183.87,83844.72
39,7,57,Item for PO PO000007,465,277,219.66,102141.9
40,7,58,Item for PO PO000007,549,387,51.29,28158.21
41,7,55,Item for PO PO000007,772,289,363.54,280652.88
42,7,6,Item for PO PO000007,365,132,208.19,75989.35
43,8,52,Item for PO PO000008,970,554,389.6,377912.0
44,8,13,Item for PO PO000008,879,280,460.44,404726.76
45,8,56,Item for PO PO000008,190,13,294.35,55926.5
46,8,43,Item for PO PO000008,687,55,289.27,198728.49
47,8,53,Item for PO PO000008,220,11,246.31,54188.2
48,8,24,Item for PO PO000008,69,21,367.48,25356.12
49,8,55,Item for PO PO000008,40,19,442.55,17702.0
50,9,53,Item for PO PO000009,498,369,117.19,58360.62
51,9,10,Item for PO PO000009,174,48,366.68,63802.32
52,9,13,Item for PO PO000009,639,506,191.43,122323.77
53,9,29,Item for PO PO000009,587,142,148.53,87187.11
54,9,22,Item for PO PO000009,887,818,186.38,165319.06
55,9,7,Item for PO PO000009,534,486,273.92,146273.28
56,9,9,Item for PO PO000009,18,2,403.05,7254.9
57,9,34,Item for PO PO000009,174,23,165.37,28774.38
58,9,64,Item for PO PO000009,536,499,45.92,24613.12
59,10,35,Item for PO PO000010,916,163,10.87,9956.92
60,10,33,Item for PO PO000010,289,183,215.06,62152.34
61,10,42,Item for PO PO000010,101,54,493.66,49859.66
62,10,30,Item for PO PO000010,744,613,56.86,42303.84
63,10,15,Item for PO PO000010,791,575,82.69,65407.79
64,11,59,Item for PO PO000011,968,968,390.03,377549.04
65,11,5,Item for PO PO000011,145,145,287.59,41700.55
66,11,3,Item for PO PO000011,908,908,101.84,92470.72
67,11,5,Item for PO PO000011,639,639,436.96,279217.44
68,11,23,Item for PO PO000011,955,955,172.69,164918.95
69,11,38,Item for PO PO000011,33,33,95.28,3144.24
70,11,15,Item for PO PO000011,240,240,381.87,91648.8
71,11,23,Item for PO PO000011,276,276,346.14,95534.64
72,11,36,Item for PO PO000011,996,996,332.28,330950.88
73,11,30,Item for PO PO000011,130,130,95.17,12372.1
74,12,10,Item for PO PO000012,353,184,46.93,16566.29
75,12,5,Item for PO PO000012,299,156,316.77,94714.23
76,12,55,Item for PO PO000012,715,143,65.6,46904.0
77,13,10,Item for PO PO000013,604,604,419.87,253601.48
78,13,49,Item for PO PO000013,84,84,468.35,39341.4
79,13,41,Item for PO PO000013,432,432,73.14,31596.48
80,13,38,Item for PO PO000013,925,925,148.85,137686.25
81,13,44,Item for PO PO000013,931,931,374.32,348491.92
82,13,4,Item for PO PO000013,678,678,413.84,280583.52
83,13,9,Item for PO PO000013,938,938,277.95,260717.1
84,13,44,Item for PO PO000013,352,352,78.75,27720.0
85,14,25,Item for PO PO000014,314,314,110.77,34781.78
86,14,49,Item for PO PO000014,626,626,253.49,158684.74
87,14,63,Item for PO PO000014,242,242,147.17,35615.14
88,14,19,Item for PO PO000014,266,266,136.32,36261.12
89,14,25,Item for PO PO000014,73,73,498.26,36372.98
90,15,59,Item for PO PO000015,716,215,339.25,242903.0
91,15,8,Item for PO PO000015,886,872,61.12,54152.32
92,15,9,Item for PO PO000015,87,38,263.44,22919.28
93,16,29,Item for PO PO000016,128,128,252.07,32264.96
94,16,45,Item for PO PO000016,547,547,364.0,199108.0
95,16,17,Item for PO PO000016,545,545,252.57,137650.65
96,16,58,Item for PO PO000016,165,165,358.03,59074.95
97,16,42,Item for PO PO000016,440,440,398.04,175137.6
98,17,23,Item for PO PO000017,498,498,21.86,10886.28
99,17,1,Item for PO PO000017,659,659,135.35,89195.65
100,17,44,Item for PO PO000017,962,962,377.02,362693.24
101,17,30,Item for PO PO000017,663,663,414.71,274952.73
102,18,40,Item for PO PO000018,991,991,417.47,413712.77
103,18,48,Item for PO PO000018,601,601,124.09,74578.09
104,19,48,Item for PO PO000019,675,675,95.66,64570.5
105,19,51,Item for PO PO000019,561,561,412.46,231390.06
106,19,55,Item for PO PO000019,674,674,437.34,294767.16
107,19,2,Item for PO PO000019,567,567,321.28,182165.76
108,19,42,Item for PO PO000019,933,933,44.13,41173.29
109,19,6,Item for PO PO000019,706,706,358.42,253044.52
110,19,3,Item for PO PO000019,266,266,103.33,27485.78
111,19,24,Item for PO PO000019,799,799,383.29,306248.71
112,20,19,Item for PO PO000020,600,600,371.92,223152.0
113,20,24,Item for PO PO000020,154,154,66.88,10299.52
114,20,54,Item for PO PO000020,511,511,197.6,100973.6
115,20,16,Item for PO PO000020,895,895,351.75,314816.25
116,20,48,Item for PO PO000020,690,690,475.83,328322.7
117,20,5,Item for PO PO000020,220,220,178.05,39171.0
118,20,58,Item for PO PO000020,275,275,96.75,26606.25
119,20,7,Item for PO PO000020,242,242,16.76,4055.92
120,21,19,Item for PO PO000021,917,917,360.23,330330.91
121,21,32,Item for PO PO000021,850,850,431.1,366435.0
122,21,34,Item for PO PO000021,509,509,342.45,174307.05
123,21,4,Item for PO PO000021,383,383,394.72,151177.76
124,21,19,Item for PO PO000021,646,646,150.69,97345.74
125,21,25,Item for PO PO000021,805,805,166.93,134378.65
126,21,30,Item for PO PO000021,820,820,444.45,364449.0
127,21,31,Item for PO PO000021,707,707,265.91,187998.37
128,21,26,Item for PO PO000021,194,194,283.12,54925.28
129,21,41,Item for PO PO000021,93,93,130.97,12180.21
130,22,59,Item for PO PO000022,247,39,403.96,99778.12
131,22,3,Item for PO PO000022,526,416,196.76,103495.76
132,22,10,Item for PO PO000022,358,100,450.17,161160.86
133,22,30,Item for PO PO000022,55,0,83.79,4608.45
134,22,39,Item for PO PO000022,840,112,355.29,298443.6
135,22,55,Item for PO PO000022,448,363,309.59,138696.32
136,22,47,Item for PO PO000022,772,465,277.18,213982.96
137,23,56,Item for PO PO000023,152,152,189.13,28747.76
138,23,50,Item for PO PO000023,487,487,364.93,177720.91
139,23,33,Item for PO PO000023,269,269,110.39,29694.91
140,23,34,Item for PO PO000023,85,85,358.92,30508.2
