cell_id,site_id,cell_name,cell_type,technology,frequency_band,frequency_mhz,bandwidth_mhz,sector,azimuth_degrees,electrical_tilt,mechanical_tilt,antenna_height_m,tx_power_dbm,max_throughput_mbps,max_connected_users,pci,tac,vendor,status
1,1,NR-LON-SMA-0001-A,NR,5G NR,n77,3700,80,1,0,7,5,13,41,877,435,165,30849,Huawei,Active
2,1,NR-LON-SMA-0001-B,NR,5G NR,n258,26000,400,2,120,6,3,13,46,2169,255,328,81637,Huawei,Active
3,1,NR-LON-SMA-0001-C,NR,5G NR,n1,2100,20,3,240,8,4,13,46,375,741,156,61683,Huawei,Active
4,2,NR-LON-SMA-0002-A,NR,5G NR,n28,700,20,1,0,7,5,7,42,531,670,193,58798,Ericsson,Active
5,3,NR-LON-MAC-0003-A,NR,5G NR,n77,3700,80,1,0,7,2,34,42,985,491,146,20015,Samsung,Active
6,3,NR-LON-MAC-0003-B,NR,5G NR,n78,3500,100,2,120,8,5,34,44,1333,349,340,54906,Samsung,Active
7,3,NR-LON-MAC-0003-C,NR,5G NR,n78,3500,100,3,240,5,1,34,44,1018,495,494,12397,Samsung,Active
8,4,NR-LON-SMA-0004-A,NR,5G NR,n28,700,20,1,0,3,4,15,46,373,459,331,94340,Huawei,Active
9,4,NR-LON-SMA-0004-B,NR,5G NR,n1,2100,20,2,180,5,5,15,43,351,621,262,49440,Huawei,Active
10,5,NR-LON-MAC-0005-A,NR,5G NR,n78,3500,100,1,0,4,3,27,40,1349,698,133,60069,Huawei,Active
11,5,LTE-LON-MAC-0005-A,LTE,4G LTE,B3,1800,20,1,0,2,2,27,45,142,214,267,41959,Huawei,Active
12,5,NR-LON-MAC-0005-B,NR,5G NR,n77,3700,80,2,60,4,0,27,40,1048,465,56,34193,Huawei,Active
13,5,LTE-LON-MAC-0005-B,LTE,4G LTE,B7,2600,20,2,60,3,3,27,40,243,288,100,10212,Huawei,Active
14,5,NR-LON-MAC-0005-C,NR,5G NR,n1,2100,20,3,120,4,3,27,43,546,804,23,85105,Huawei,Active
15,5,LTE-LON-MAC-0005-C,LTE,4G LTE,B20,800,10,3,120,7,3,27,43,103,638,55,81232,Huawei,Active
16,5,NR-LON-MAC-0005-D,NR,5G NR,n77,3700,80,4,180,3,5,27,44,1276,493,191,10338,Huawei,Active
17,5,LTE-LON-MAC-0005-D,LTE,4G LTE,B7,2600,20,4,180,7,0,27,45,307,273,213,34319,Huawei,Active
18,5,NR-LON-MAC-0005-E,NR,5G NR,n78,3500,100,5,240,2,2,27,44,1310,375,268,77652,Huawei,Active
19,5,LTE-LON-MAC-0005-E,LTE,4G LTE,B7,2600,20,5,240,7,2,27,40,343,162,256,61109,Huawei,Active
20,5,NR-LON-MAC-0005-F,NR,5G NR,n1,2100,20,6,300,3,5,27,41,413,445,198,48977,Huawei,Active
21,5,LTE-LON-MAC-0005-F,LTE,4G LTE,B1,2100,15,6,300,6,3,27,43,202,331,152,24311,Huawei,Active
22,6,NR-LON-MAC-0006-A,NR,5G NR,n1,2100,20,1,0,2,2,32,45,342,810,463,99743,Huawei,Active
23,6,NR-LON-MAC-0006-B,NR,5G NR,n77,3700,80,2,60,2,3,32,46,1423,649,466,42790,Huawei,Active
24,6,NR-LON-MAC-0006-C,NR,5G NR,n1,2100,20,3,120,7,5,32,46,316,978,249,94564,Huawei,Active
25,6,NR-LON-MAC-0006-D,NR,5G NR,n78,3500,100,4,180,3,2,32,46,1034,452,338,25006,Huawei,Active
26,6,NR-LON-MAC-0006-E,NR,5G NR,n1,2100,20,5,240,2,4,32,40,530,454,377,58989,Huawei,Active
27,6,NR-LON-MAC-0006-F,NR,5G NR,n1,2100,20,6,300,3,3,32,44,593,502,72,85966,Huawei,Active
28,7,LTE-LON-SMA-0007-A,LTE,4G LTE,B7,2600,20,1,0,5,2,6,41,318,152,60,53530,Huawei,Active
29,8,NR-LON-ROO-0008-A,NR,5G NR,n77,3700,80,1,0,3,5,21,43,868,606,373,28159,Nokia,Active
30,8,NR-LON-ROO-0008-B,NR,5G NR,n28,700,20,2,180,8,0,21,41,387,811,89,24821,Nokia,Active
31,9,NR-LON-DAS-0009-A,NR,5G NR,n258,26000,400,1,0,6,5,4,44,3170,212,233,58082,Huawei,Active
32,9,NR-LON-DAS-0009-B,NR,5G NR,n28,700,20,2,120,3,4,4,41,563,410,101,58241,Huawei,Active
33,9,NR-LON-DAS-0009-C,NR,5G NR,n1,2100,20,3,240,8,2,4,41,418,915,349,91468,Huawei,Active
34,10,NR-LON-DAS-0010-A,NR,5G NR,n78,3500,100,1,0,4,3,7,41,804,509,453,52765,Huawei,Offline
35,11,NR-LON-MAC-0011-A,NR,5G NR,n78,3500,100,1,0,4,2,27,43,1291,459,293,38530,Huawei,Active
36,11,NR-LON-MAC-0011-B,NR,5G NR,n28,700,20,2,120,3,5,27,40,362,426,155,16171,Huawei,Active
37,11,NR-LON-MAC-0011-C,NR,5G NR,n78,3500,100,3,240,6,1,27,41,954,766,44,84888,Huawei,Active
38,12,NR-LON-SMA-0012-A,NR,5G NR,n28,700,20,1,0,7,4,10,45,488,925,246,84221,Ericsson,Active
39,12,NR-LON-SMA-0012-B,NR,5G NR,n1,2100,20,2,180,4,4,10,43,306,625,51,74589,Ericsson,Active
40,13,NR-LON-MAC-0013-A,NR,5G NR,n258,26000,400,1,0,7,0,39,41,2166,448,16,55272,Ericsson,Active
41,13,NR-LON-MAC-0013-B,NR,5G NR,n258,26000,400,2,60,2,4,39,42,3024,431,37,26982,Ericsson,Active
42,13,NR-LON-MAC-0013-C,NR,5G NR,n28,700,20,3,120,4,0,39,43,495,404,129,80892,Ericsson,Active
43,13,NR-LON-MAC-0013-D,NR,5G NR,n77,3700,80,4,180,6,4,39,42,1449,623,106,41335,Ericsson,Active
44,13,NR-LON-MAC-0013-E,NR,5G NR,n258,26000,400,5,240,4,0,39,46,2788,486,285,69447,Ericsson,Active
