equipment_id,site_id,equipment_type,equipment_name,vendor,model,serial_number,technology,frequency_band,power_watts,status,install_date,firmware_version
1,1,BBU,BBU-LON-SMA-0001,Huawei,Huawei BBU3910,SN730814687,5G,,303,Active,2019-12-23,v22.7.35
2,1,gNodeB,gNB-LON-SMA-0001-A,Huawei,Huawei AAU5613,SN253214356,5G NR,n78,68,Active,2019-12-23,v20.6.77
3,1,RRU,RRU-LON-SMA-0001-A,Huawei,Huawei RRU5301,SN664634125,5G,,142,Active,2019-12-23,v22.7.58
4,1,Antenna,ANT-LON-SMA-0001-A,Huawei,Huawei APUS13M,SN718617836,5G,,0,Active,2019-12-23,
5,1,gNodeB,gNB-LON-SMA-0001-B,Huawei,Huawei AAU5613,SN409142921,5G NR,n78,69,Active,2019-12-23,v22.4.50
6,1,RRU,RRU-LON-SMA-0001-B,Huawei,Huawei RRU5301,SN545659507,5G,,131,Active,2019-12-23,v19.9.93
7,1,Antenna,ANT-LON-SMA-0001-B,Huawei,Huawei APUS13M,SN591589232,5G,,0,Active,2019-12-23,
8,1,gNodeB,gNB-LON-SMA-0001-C,Huawei,Huawei AAU5239,SN850032322,5G NR,n77,76,Active,2019-12-23,v20.6.89
9,1,RRU,RRU-LON-SMA-0001-C,Huawei,Huawei RRU5301,SN357370819,5G,,120,Active,2019-12-23,v20.8.37
10,1,Antenna,ANT-LON-SMA-0001-C,Huawei,Huawei AAU3940,SN849519028,5G,,0,Active,2019-12-23,
11,2,BBU,BBU-LON-SMA-0002,Ericsson,Ericsson Baseband 6630,SN629878254,5G,,410,Active,2023-09-28,v24.8.15
12,2,gNodeB,gNB-LON-SMA-0002-A,Ericsson,Ericsson AIR 3246,SN911101211,5G NR,n78,46,Active,2023-09-28,v24.5.52
13,2,RRU,RRU-LON-SMA-0002-A,Ericsson,Ericsson Radio 4478,SN276994644,5G,,132,Active,2023-09-28,v19.8.5
14,2,Antenna,ANT-LON-SMA-0002-A,Ericsson,Ericsson Antenna 8843,SN128688105,5G,,0,Active,2023-09-28,
15,3,BBU,BBU-LON-MAC-0003,Samsung,Samsung BBU,SN785977815,5G,,436,Active,2023-01-21,v21.5.95
16,3,gNodeB,gNB-LON-MAC-0003-A,Samsung,Samsung Compact Macro,SN525925819,5G NR,n77,42,Active,2023-01-21,v20.4.14
17,3,RRU,RRU-LON-MAC-0003-A,Samsung,Samsung 5G mmWave,SN451232074,5G,,185,Active,2023-01-21,v23.7.62
