footfall_id,store_id,footfall_date,footfall_month,day_of_week,visitor_count,transaction_count,conversion_rate,avg_dwell_time_mins,peak_hour,weather
1,1,2025-01-01,2025-01,Wednesday,323,109,0.338,13,16:00,Cloudy
2,1,2025-01-03,2025-01,Friday,352,66,0.189,9,13:00,Cloudy
3,1,2025-01-06,2025-01,Monday,286,58,0.203,23,12:00,Cloudy
4,1,2025-01-08,2025-01,Wednesday,296,99,0.336,8,14:00,Rainy
5,1,2025-01-09,2025-01,Thursday,258,69,0.27,24,15:00,Cloudy
6,1,2025-01-12,2025-01,Sunday,302,99,0.33,11,15:00,Cloudy
7,1,2025-01-14,2025-01,Tuesday,316,109,0.346,8,13:00,Cloudy
8,1,2025-01-15,2025-01,Wednesday,288,46,0.162,9,13:00,Sunny
9,1,2025-01-16,2025-01,Thursday,322,92,0.287,24,12:00,Rainy
10,1,2025-01-19,2025-01,Sunday,349,73,0.212,25,13:00,Sunny
11,1,2025-01-22,2025-01,Wednesday,355,100,0.284,19,15:00,Sunny
12,1,2025-01-24,2025-01,Friday,279,97,0.35,11,17:00,Rainy
13,1,2025-01-27,2025-01,Monday,275,92,0.337,16,14:00,Cloudy
14,1,2025-01-29,2025-01,Wednesday,355,71,0.201,10,17:00,Sunny
15,1,2025-02-01,2025-02,Saturday,434,85,0.197,19,15:00,Rainy
16,1,2025-02-04,2025-02,Tuesday,304,77,0.255,12,13:00,Cloudy
17,1,2025-02-06,2025-02,Thursday,297,61,0.208,25,12:00,Rainy
18,1,2025-02-08,2025-02,Saturday,440,77,0.177,23,12:00,Rainy
19,1,2025-02-10,2025-02,Monday,268,68,0.256,12,12:00,Sunny
20,1,2025-02-12,2025-02,Wednesday,331,50,0.153,22,15:00,Cloudy
21,1,2025-02-15,2025-02,Saturday,463,82,0.178,8,17:00,Sunny
22,1,2025-02-17,2025-02,Monday,289,57,0.199,15,13:00,Cloudy
23,1,2025-02-19,2025-02,Wednesday,286,69,0.243,8,14:00,Sunny
24,1,2025-02-22,2025-02,Saturday,339,53,0.159,22,17:00,Rainy
25,1,2025-02-25,2025-02,Tuesday,250,76,0.305,10,15:00,Sunny
26,1,2025-02-27,2025-02,Thursday,288,70,0.246,17,12:00,Sunny
27,1,2025-03-02,2025-03,Sunday,395,137,0.347,19,14:00,Sunny
28,1,2025-03-05,2025-03,Wednesday,300,103,0.344,16,13:00,Cloudy
29,1,2025-03-07,2025-03,Friday,317,55,0.174,15,16:00,Rainy
30,1,2025-03-08,2025-03,Saturday,428,71,0.166,16,17:00,Sunny
31,1,2025-03-10,2025-03,Monday,250,51,0.207,15,16:00,Rainy
32,1,2025-03-12,2025-03,Wednesday,293,45,0.156,9,14:00,Cloudy
33,1,2025-03-14,2025-03,Friday,301,92,0.307,10,12:00,Cloudy
34,1,2025-03-17,2025-03,Monday,315,50,0.159,9,15:00,Rainy
35,1,2025-03-20,2025-03,Thursday,402,126,0.315,20,14:00,Cloudy
36,1,2025-03-21,2025-03,Friday,340,109,0.322,12,16:00,Cloudy
37,1,2025-03-23,2025-03,Sunday,460,84,0.183,15,14:00,Cloudy
38,1,2025-03-26,2025-03,Wednesday,322,81,0.252,21,16:00,Rainy
39,1,2025-03-27,2025-03,Thursday,368,79,0.215,12,13:00,Rainy
40,1,2025-03-28,2025-03,Friday,318,81,0.255,16,13:00,Cloudy
41,1,2025-03-29,2025-03,Saturday,567,134,0.238,25,16:00,Cold
42,1,2025-03-30,2025-03,Sunday,389,126,0.326,16,17:00,Rainy
43,1,2025-03-31,2025-03,Monday,291,69,0.24,22,12:00,Rainy
44,1,2025-04-02,2025-04,Wednesday,358,109,0.307,14,14:00,Sunny
45,1,2025-04-04,2025-04,Friday,313,69,0.221,22,12:00,Cloudy
46,1,2025-04-07,2025-04,Monday,279,65,0.236,23,16:00,Cloudy
47,1,2025-04-09,2025-04,Wednesday,334,58,0.176,19,16:00,Sunny
48,1,2025-04-11,2025-04,Friday,364,78,0.216,20,17:00,Cold
49,1,2025-04-12,2025-04,Saturday,578,113,0.197,14,12:00,Cold
50,1,2025-04-15,2025-04,Tuesday,372,115,0.31,13,14:00,Sunny
51,1,2025-04-18,2025-04,Friday,283,77,0.273,17,16:00,Cold
52,1,2025-04-19,2025-04,Saturday,482,88,0.184,17,15:00,Cold
53,1,2025-04-20,2025-04,Sunday,320,58,0.183,11,16:00,Cloudy
54,1,2025-04-21,2025-04,Monday,249,76,0.306,21,13:00,Cloudy
55,1,2025-04-23,2025-04,Wednesday,368,114,0.312,13,16:00,Cold
56,1,2025-04-24,2025-04,Thursday,279,85,0.307,21,13:00,Cloudy
