opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP50000001,,ACC000603,Cooper Morris LLP - SIP Trunks,Qualification,8667.93,20,2026-04-09,2026-01-12,Phone Inquiry,New Customer,230.0
OPP50000002,,ACC000797,Morris Davies Solutions - Digital Transformation,Qualification,140401.08,20,2026-02-28,2026-02-07,Campaign,New Customer,
OPP50000003,,ACC000888,Green Johnson Group - Cloud Communications,Value Proposition,178668.14,50,2026-05-29,2026-01-20,Web,Existing Customer - Upgrade,
OPP50000004,,ACC000703,Moore Thompson Holdings - UCaaS Project,Prospecting,64698.14,10,2026-05-25,2026-02-15,Phone Inquiry,New Customer,320.0
OPP50000005,,ACC000649,White Walker and Co - Hybrid Cloud,Value Proposition,126180.88,50,2026-04-25,2026-02-15,Partner Referral,Existing Customer - Upgrade,
OPP50000006,,ACC000102,Lewis Ward LLP - Digital Transformation,Proposal/Price Quote,55458.79,60,2026-06-22,2026-01-08,Phone Inquiry,Renewal,
OPP50000007,,ACC000848,Evans Morris International - Mobile Enterprise,Needs Analysis,26878.38,40,2026-02-25,2026-01-27,Partner Referral,Existing Customer - Upgrade,473.0
OPP50000008,,ACC000486,Roberts Patel International - UCaaS Project,Prospecting,11526.11,10,2026-02-22,2026-02-23,Purchased List,Existing Customer - Upgrade,31.0
OPP50000009,,ACC000601,Patel Walker Services - 5G Business Solution,Id. Decision Makers,51900.93,80,2026-04-26,2026-02-05,Phone Inquiry,Existing Customer - Replacement,
OPP50000010,,ACC000889,Lewis Walker Ltd - Mobile Enterprise,Negotiation/Review,170082.02,75,2026-04-15,2026-01-04,Web,Existing Customer - Upgrade,247.0
OPP50000011,,ACC000230,Hughes Walker Ltd - Workforce Management,Negotiation/Review,30729.27,75,2026-06-23,2026-01-23,Partner Referral,Existing Customer - Downgrade,
OPP50000012,,ACC000998,Wright Brown LLP - SD-WAN Deployment,Proposal/Price Quote,6837.77,60,2026-06-23,2026-02-09,Other,New Customer,360.0
OPP50000013,,ACC000781,White Hall International - Contact Centre Solution,Qualification,5427.41,20,2026-05-01,2026-01-22,Partner Referral,Existing Customer - Upgrade,325.0
OPP50000014,,ACC000996,Taylor Turner UK - 5G Business Solution,Prospecting,93026.58,10,2026-06-16,2026-02-17,Phone Inquiry,New Customer,
OPP50000015,,ACC000333,Martin Edwards UK - Contact Centre Solution,Proposal/Price Quote,66833.95,60,2026-02-22,2026-02-06,Web,Existing Customer - Replacement,
OPP50000016,,ACC000279,Newcastle County Council - 5G Business Solution,Needs Analysis,102849.12,40,2026-06-05,2026-01-28,Web,Existing Customer - Downgrade,221.0
OPP50000017,,ACC000114,Thomas Wilson and Co - Workforce Management,Qualification,155386.82,20,2026-06-05,2026-02-13,Web,Existing Customer - Upgrade,
OPP50000018,,ACC000008,Lee White Group - Workforce Management,Prospecting,202832.18,10,2026-03-08,2026-01-14,Phone Inquiry,New Customer,
OPP50000019,,ACC000180,Walker Thomas PLC - SD-WAN Deployment,Prospecting,40018.36,10,2026-03-31,2026-02-04,Other,New Customer,
OPP50000020,,ACC000044,Lewis Martin International - Hybrid Cloud,Needs Analysis,222422.0,40,2026-02-20,2026-01-30,Phone Inquiry,Existing Customer - Upgrade,
OPP50000021,,ACC000297,Morgan Jackson International - Hybrid Cloud,Prospecting,84374.64,10,2026-04-25,2026-01-02,Phone Inquiry,Existing Customer - Replacement,
OPP50000022,,ACC000448,Edwards Roberts Partners - Secure Communications,Negotiation/Review,167774.26,75,2026-05-23,2026-01-16,Web,Renewal,
OPP50000023,,ACC000227,Baker Thompson UK - UCaaS Project,Qualification,40733.83,20,2026-02-20,2026-01-11,Partner Referral,New Customer,
OPP50000024,,ACC000360,Harrison Jones LLP - Contact Centre Solution,Proposal/Price Quote,97253.77,60,2026-03-10,2026-02-22,Web,New Customer,389.0
OPP50000025,,ACC000672,Johnson Clark Services - Hybrid Cloud,Prospecting,142790.61,10,2026-06-07,2026-02-19,Purchased List,Existing Customer - Upgrade,
OPP50000026,,ACC000579,Martin Green Services - SD-WAN Deployment,Value Proposition,222849.37,50,2026-04-24,2026-02-09,Phone Inquiry,Existing Customer - Upgrade,
OPP50000027,,ACC000647,Lee Hill Services - UCaaS Project,Qualification,29635.96,20,2026-02-15,2026-01-18,Phone Inquiry,Existing Customer - Upgrade,426.0
OPP50000028,,ACC000294,Walker Martin Services - Secure Communications,Prospecting,48050.59,10,2026-02-24,2026-02-25,Phone Inquiry,Existing Customer - Replacement,
OPP50000029,,ACC000757,Evans Thompson Group - Mobile Enterprise,Negotiation/Review,180367.49,75,2026-06-27,2026-01-29,Partner Referral,Existing Customer - Upgrade,
OPP50000030,,ACC000462,Wilson Robinson UK - UCaaS Project,Prospecting,147886.27,10,2026-04-29,2026-02-27,Partner Referral,New Customer,225.0
OPP50000031,,ACC000450,White Tech Group - Workforce Management,Needs Analysis,30472.86,40,2026-03-13,2026-02-09,Phone Inquiry,Existing Customer - Downgrade,
OPP50000032,,ACC000054,King Morgan Associates - UCaaS Project,Proposal/Price Quote,9613.83,60,2026-04-27,2026-02-11,Partner Referral,Existing Customer - Upgrade,437.0
OPP50000033,,ACC000673,Williams Wilson UK - Hybrid Cloud,Id. Decision Makers,28335.34,80,2026-03-11,2026-02-08,Partner Referral,Renewal,
OPP50000034,,ACC000672,Johnson Clark Services - UCaaS Project,Value Proposition,169008.25,50,2026-03-06,2026-01-26,Phone Inquiry,Existing Customer - Upgrade,
OPP50000035,,ACC000833,Hill Thompson and Co - SD-WAN Deployment,Prospecting,11541.71,10,2026-06-15,2026-02-14,Phone Inquiry,Existing Customer - Upgrade,
OPP50000036,,ACC000185,Roberts Cooper Associates - Contact Centre Solution,Id. Decision Makers,53040.63,80,2026-06-05,2026-01-22,Web,New Customer,
OPP50000037,,ACC000520,Hill Lewis LLP - Mobile Enterprise,Proposal/Price Quote,7642.32,60,2026-06-15,2026-02-23,Other,Existing Customer - Replacement,
OPP50000038,,ACC000158,Walker Williams Solutions - Cloud Communications,Prospecting,194236.6,10,2026-03-15,2026-02-23,Phone Inquiry,Existing Customer - Replacement,228.0
OPP50000039,,ACC000626,Smith Evans and Co - Digital Transformation,Qualification,96800.59,20,2026-05-26,2026-02-17,Phone Inquiry,Existing Customer - Downgrade,
OPP50000040,,ACC000856,King Williams UK - IoT Platform,Prospecting,246887.96,10,2026-06-27,2026-02-13,Purchased List,Existing Customer - Downgrade,
OPP50000041,,ACC000429,Morris Evans Services - Contact Centre Solution,Id. Decision Makers,61088.15,80,2026-03-24,2026-02-22,Other,New Customer,
OPP50000042,,ACC000381,Jackson Clark Services - Workforce Management,Needs Analysis,220233.21,40,2026-06-13,2026-01-07,Web,New Customer,
OPP50000043,,ACC000526,Wood Wilson LLP - Digital Transformation,Prospecting,239282.65,10,2026-02-24,2026-01-28,Other,Renewal,
OPP50000044,,ACC000425,Williams Smith Group - UCaaS Project,Prospecting,97155.61,10,2026-05-07,2026-02-02,Phone Inquiry,New Customer,
OPP50000045,,ACC000860,College of Reading - Workforce Management,Proposal/Price Quote,77519.92,60,2026-03-10,2026-01-22,Campaign,Existing Customer - Upgrade,
OPP50000046,,ACC000778,Baker Ward Holdings - Cloud Communications,Proposal/Price Quote,231171.5,60,2026-02-02,2026-01-29,Web,Existing Customer - Downgrade,
OPP50000047,,ACC000745,King Morris Ltd - Digital Transformation,Value Proposition,205234.53,50,2026-03-01,2026-01-28,Phone Inquiry,New Customer,
OPP50000048,,ACC000813,Turner Johnson Ltd - IoT Platform,Value Proposition,63568.14,50,2026-03-01,2026-01-05,Partner Referral,New Customer,
OPP50000049,,ACC000248,Clark Thompson Services - Mobile Enterprise,Proposal/Price Quote,5109.5,60,2026-05-21,2026-01-19,Web,Existing Customer - Upgrade,
OPP50000050,,ACC000088,Royal Hospital NHS Trust - Secure Communications,Needs Analysis,144408.44,40,2026-02-18,2026-01-24,Partner Referral,Renewal,
OPP50000051,,ACC000400,Smith Moore and Co - Workforce Management,Negotiation/Review,246207.88,75,2026-05-11,2026-01-03,Purchased List,Existing Customer - Upgrade,124.0
OPP50000052,,ACC000751,Green Clark and Co - Mobile Enterprise,Value Proposition,197037.4,50,2026-06-29,2026-01-07,Web,Existing Customer - Upgrade,
OPP50000053,,ACC000659,Hill Moore Services - IoT Platform,Prospecting,73657.34,10,2026-05-30,2026-02-19,Partner Referral,Existing Customer - Downgrade,398.0
OPP50000054,,ACC000967,Cooper Brown International - Digital Transformation,Needs Analysis,8066.44,40,2026-03-24,2026-01-19,Other,Existing Customer - Upgrade,
OPP50000055,,ACC000408,Academy of Belfast - SD-WAN Deployment,Perception Analysis,60397.65,85,2026-06-02,2026-02-04,Web,Existing Customer - Upgrade,
OPP50000056,,ACC000887,Turner Jones UK - 5G Business Solution,Value Proposition,60953.97,50,2026-03-04,2026-01-18,Other,Existing Customer - Replacement,
OPP50000057,,ACC000396,Davies Green Ltd - Mobile Enterprise,Qualification,188413.7,20,2026-06-08,2026-01-12,Campaign,Existing Customer - Upgrade,
OPP50000058,,ACC000745,King Morris Ltd - Mobile Enterprise,Qualification,159094.88,20,2026-03-19,2026-01-28,Web,Existing Customer - Upgrade,229.0
OPP50000059,,ACC000618,Morgan Baker UK - Cloud Communications,Proposal/Price Quote,120309.4,60,2026-05-25,2026-01-11,Purchased List,Renewal,
OPP50000060,,ACC000446,Lee Lewis LLP - SD-WAN Deployment,Qualification,65008.23,20,2026-02-15,2026-02-20,Phone Inquiry,Existing Customer - Upgrade,
OPP50000061,,ACC000164,Thompson Thomas Group - UCaaS Project,Id. Decision Makers,56959.79,80,2026-05-24,2026-01-10,Web,Existing Customer - Replacement,
OPP50000062,,ACC000973,Baker Roberts Partners - Mobile Enterprise,Needs Analysis,185812.41,40,2026-03-12,2026-02-08,Phone Inquiry,Existing Customer - Downgrade,
OPP50000063,,ACC000543,Lee Edwards Services - UCaaS Project,Qualification,99922.33,20,2026-04-13,2026-01-21,Web,New Customer,
OPP50000064,,ACC000936,Wright Cooper Solutions - Digital Transformation,Needs Analysis,190807.56,40,2026-04-08,2026-01-17,Campaign,New Customer,
OPP50000065,,ACC000503,Davies Johnson Holdings - SIP Trunks,Prospecting,36642.99,10,2026-02-19,2026-01-09,Phone Inquiry,New Customer,
OPP50000066,,ACC000866,Harris Jackson LLP - Secure Communications,Perception Analysis,191908.1,85,2026-04-30,2026-02-12,Partner Referral,Renewal,
OPP50000067,,ACC000729,Harrison Clark UK - Secure Communications,Proposal/Price Quote,208739.28,60,2026-03-17,2026-02-14,Web,Renewal,
OPP50000068,,ACC000243,Jones Hall Holdings - Mobile Enterprise,Proposal/Price Quote,43781.5,60,2026-05-04,2026-01-02,Phone Inquiry,Renewal,453.0
OPP50000069,,ACC000089,Morris Cooper PLC - 5G Business Solution,Prospecting,155139.13,10,2026-06-03,2026-01-26,Other,New Customer,
OPP50000070,,ACC000658,Morris Martin Group - Secure Communications,Prospecting,29116.03,10,2026-06-13,2026-01-30,Partner Referral,New Customer,
OPP50000071,,ACC000444,College of Coventry - Secure Communications,Needs Analysis,216278.16,40,2026-02-15,2026-02-25,Web,New Customer,
OPP50000072,,ACC000727,Turner Lee Group - Workforce Management,Prospecting,219186.74,10,2026-04-14,2026-02-03,Web,Renewal,321.0
OPP50000073,,ACC000311,Davies Wood UK - Hybrid Cloud,Value Proposition,106918.49,50,2026-06-09,2026-01-06,Campaign,New Customer,
OPP50000074,,ACC000738,Brown Morgan and Co - Cloud Communications,Negotiation/Review,58238.86,75,2026-06-25,2026-01-22,Web,Renewal,
OPP50000075,,ACC000272,Jones Edwards Holdings - SD-WAN Deployment,Value Proposition,133317.36,50,2026-06-27,2026-02-19,Web,Renewal,
OPP50000076,,ACC000658,Morris Martin Group - SD-WAN Deployment,Id. Decision Makers,61328.17,80,2026-04-04,2026-01-31,Phone Inquiry,Existing Customer - Upgrade,
OPP50000077,,ACC000162,Academy of Birmingham - Hybrid Cloud,Needs Analysis,90804.6,40,2026-05-30,2026-01-31,Web,Renewal,
OPP50000078,,ACC000882,Thompson Networks Partners - Secure Communications,Qualification,58246.55,20,2026-03-06,2026-01-26,Partner Referral,Existing Customer - Upgrade,
OPP50000079,,ACC000274,Jackson Lewis Associates - 5G Business Solution,Needs Analysis,8542.37,40,2026-02-25,2026-01-10,Other,Existing Customer - Upgrade,
OPP50000080,,ACC000924,Morris Thompson Ltd - Digital Transformation,Prospecting,55478.99,10,2026-06-28,2026-01-21,Purchased List,Existing Customer - Upgrade,
OPP50000081,,ACC000511,Cooper Jackson International - 5G Business Solution,Negotiation/Review,68009.82,75,2026-02-06,2026-02-01,Partner Referral,Renewal,181.0
OPP50000082,,ACC000050,Moore Harris PLC - Cloud Communications,Prospecting,107149.68,10,2026-06-01,2026-02-01,Other,Existing Customer - Upgrade,
OPP50000083,,ACC000745,King Morris Ltd - Cloud Communications,Qualification,59048.48,20,2026-05-05,2026-01-26,Partner Referral,New Customer,
OPP50000084,,ACC000076,Edwards Hall Partners - Hybrid Cloud,Qualification,24580.45,20,2026-06-21,2026-01-29,Partner Referral,New Customer,
OPP50000085,,ACC000404,Thompson Lee and Co - Contact Centre Solution,Qualification,70726.4,20,2026-06-23,2026-01-22,Web,Existing Customer - Upgrade,
OPP50000086,,ACC000047,University of Reading - Secure Communications,Prospecting,210793.17,10,2026-04-27,2026-02-15,Phone Inquiry,Existing Customer - Replacement,
OPP50000087,,ACC000336,Jackson Telecom Ltd - Hybrid Cloud,Id. Decision Makers,32506.82,80,2026-03-14,2026-01-21,Purchased List,New Customer,
OPP50000088,,ACC000849,Ward Clarke Holdings - Cloud Communications,Needs Analysis,109958.11,40,2026-06-25,2026-02-01,Phone Inquiry,Existing Customer - Replacement,
OPP50000089,,ACC000598,Lewis Johnson LLP - Workforce Management,Qualification,46783.67,20,2026-02-07,2026-02-27,Campaign,Existing Customer - Downgrade,
OPP50000090,,ACC000592,Hall Harris Holdings - Secure Communications,Prospecting,38631.41,10,2026-06-30,2026-01-04,Partner Referral,Existing Customer - Replacement,
OPP50000091,,ACC000152,Wilson Johnson Partners - SIP Trunks,Negotiation/Review,45079.92,75,2026-02-09,2026-01-16,Web,New Customer,
OPP50000092,,ACC000156,Morgan Moore Services - Hybrid Cloud,Qualification,40127.37,20,2026-05-17,2026-01-14,Campaign,Renewal,
OPP50000093,,ACC000064,Clarke Thompson and Co - SD-WAN Deployment,Proposal/Price Quote,162177.35,60,2026-03-26,2026-02-03,Phone Inquiry,Existing Customer - Upgrade,
OPP50000094,,ACC000471,King Hill and Co - SIP Trunks,Negotiation/Review,120857.4,75,2026-06-20,2026-01-22,Partner Referral,Existing Customer - Downgrade,248.0
OPP50000095,,ACC000197,Academy of Glasgow - Workforce Management,Id. Decision Makers,65819.9,80,2026-06-23,2026-01-18,Purchased List,Existing Customer - Replacement,
OPP50000096,,ACC000501,Academy of Leeds - SIP Trunks,Qualification,236740.07,20,2026-06-24,2026-01-23,Web,New Customer,
OPP50000097,,ACC000389,Harris Connect Ltd - Contact Centre Solution,Negotiation/Review,71822.62,75,2026-04-30,2026-01-26,Web,New Customer,
OPP50000098,,ACC000355,Turner King Holdings - Digital Transformation,Id. Decision Makers,199467.7,80,2026-04-07,2026-02-11,Web,Existing Customer - Upgrade,
OPP50000099,,ACC000713,White White Associates - SD-WAN Deployment,Qualification,59094.96,20,2026-04-03,2026-01-07,Campaign,New Customer,52.0
OPP50000100,,ACC000424,Brown Wilson Group - Contact Centre Solution,Qualification,52683.44,20,2026-02-26,2026-01-31,Web,Existing Customer - Replacement,
OPP50000101,,ACC000417,Hughes Tech Group - Digital Transformation,Value Proposition,38421.4,50,2026-06-02,2026-02-26,Purchased List,New Customer,31.0
OPP50000102,,ACC000930,Martin Taylor PLC - SIP Trunks,Proposal/Price Quote,21255.41,60,2026-06-27,2026-02-11,Purchased List,Renewal,
OPP50000103,,ACC000180,Walker Thomas PLC - Cloud Communications,Qualification,70374.58,20,2026-03-18,2026-02-23,Campaign,Existing Customer - Upgrade,
OPP50000104,,ACC000960,Wilson Moore Associates - Cloud Communications,Proposal/Price Quote,135209.18,60,2026-04-16,2026-02-25,Web,Existing Customer - Replacement,
OPP50000105,,ACC000344,Thomas Wood PLC - Contact Centre Solution,Qualification,154863.71,20,2026-06-20,2026-02-11,Other,Existing Customer - Upgrade,58.0
OPP50000106,,ACC000339,Davies King Holdings - Cloud Communications,Prospecting,193719.63,10,2026-04-07,2026-01-30,Purchased List,Existing Customer - Downgrade,
