snapshot_id,snapshot_date,stage_name,opportunity_count,total_amount,weighted_amount,avg_days_in_stage
SNP00000001,2026-01-02,Prospecting,107,5018148.05,501814.8,8
SNP00000002,2026-01-02,Qualification,94,4200712.22,840142.44,36
SNP00000003,2026-01-02,Needs Analysis,79,3599264.59,1439705.84,23
SNP00000004,2026-01-02,Value Proposition,65,3037036.03,1518518.02,19
SNP00000005,2026-01-02,Proposal/Price Quote,55,2702088.85,1621253.31,27
SNP00000006,2026-01-02,Negotiation/Review,39,2140451.93,1605338.95,17
SNP00000007,2026-01-02,Id. Decision Makers,30,1453364.96,1162691.97,13
SNP00000008,2026-01-02,Perception Analysis,20,970973.59,825327.55,45
SNP00000009,2026-01-09,Prospecting,101,4880242.7,488024.27,24
SNP00000010,2026-01-09,Qualification,88,4063820.96,812764.19,7
SNP00000011,2026-01-09,Needs Analysis,68,3350621.58,1340248.63,13
SNP00000012,2026-01-09,Value Proposition,43,2460097.24,1230048.62,23
SNP00000013,2026-01-09,Proposal/Price Quote,47,2481905.2,1489143.12,31
SNP00000014,2026-01-09,Negotiation/Review,38,2110042.6,1582531.95,13
SNP00000015,2026-01-09,Id. Decision Makers,33,1523050.27,1218440.21,28
SNP00000016,2026-01-09,Perception Analysis,19,943654.09,802105.98,22
SNP00000017,2026-01-16,Prospecting,112,5138487.85,513848.78,21
SNP00000018,2026-01-16,Qualification,94,4204562.93,840912.59,35
SNP00000019,2026-01-16,Needs Analysis,85,3731354.32,1492541.73,23
SNP00000020,2026-01-16,Value Proposition,64,3012479.69,1506239.85,26
SNP00000021,2026-01-16,Proposal/Price Quote,62,2856944.24,1714166.54,34
SNP00000022,2026-01-16,Negotiation/Review,60,2662103.92,1996577.94,14
SNP00000023,2026-01-16,Id. Decision Makers,32,1509434.24,1207547.39,19
SNP00000024,2026-01-16,Perception Analysis,22,1036019.44,880616.52,30
SNP00000025,2026-01-23,Prospecting,121,5330345.82,533034.58,40
SNP00000026,2026-01-23,Qualification,68,3589399.61,717879.92,30
SNP00000027,2026-01-23,Needs Analysis,47,2795289.64,1118115.86,39
SNP00000028,2026-01-23,Value Proposition,44,2488249.92,1244124.96,28
SNP00000029,2026-01-23,Proposal/Price Quote,57,2753739.41,1652243.65,21
SNP00000030,2026-01-23,Negotiation/Review,49,2396797.76,1797598.32,45
SNP00000031,2026-01-23,Id. Decision Makers,35,1587752.81,1270202.25,11
SNP00000032,2026-01-23,Perception Analysis,20,984041.65,836435.41,35
SNP00000033,2026-01-30,Prospecting,68,4008847.07,400884.71,40
SNP00000034,2026-01-30,Qualification,67,3547023.05,709404.61,44
SNP00000035,2026-01-30,Needs Analysis,54,2998952.25,1199580.9,9
SNP00000036,2026-01-30,Value Proposition,60,2918942.4,1459471.2,34
SNP00000037,2026-01-30,Proposal/Price Quote,66,2939533.05,1763719.83,24
SNP00000038,2026-01-30,Negotiation/Review,51,2442154.16,1831615.62,12
SNP00000039,2026-01-30,Id. Decision Makers,22,1250936.18,1000748.94,7
SNP00000040,2026-01-30,Perception Analysis,16,880124.27,748105.63,36
SNP00000041,2026-02-06,Prospecting,77,4379938.91,437993.89,20
SNP00000042,2026-02-06,Qualification,98,4420064.06,884012.81,13
SNP00000043,2026-02-06,Needs Analysis,64,3349247.34,1339698.94,28
SNP00000044,2026-02-06,Value Proposition,65,3121903.22,1560951.61,39
SNP00000045,2026-02-06,Proposal/Price Quote,52,2704745.81,1622847.48,14
SNP00000046,2026-02-06,Negotiation/Review,61,2761169.73,2070877.3,11
SNP00000047,2026-02-06,Id. Decision Makers,35,1633660.27,1306928.21,44
SNP00000048,2026-02-06,Perception Analysis,18,962710.42,818303.86,22
SNP00000049,2026-02-13,Prospecting,73,4256083.69,425608.37,28
SNP00000050,2026-02-13,Qualification,66,3624116.39,724823.28,33
SNP00000051,2026-02-13,Needs Analysis,89,3933352.1,1573340.84,28
SNP00000052,2026-02-13,Value Proposition,45,2613024.97,1306512.49,28
SNP00000053,2026-02-13,Proposal/Price Quote,56,2808977.81,1685386.69,27
SNP00000054,2026-02-13,Negotiation/Review,37,2148708.44,1611531.33,22
SNP00000055,2026-02-13,Id. Decision Makers,24,1346809.71,1077447.77,12
SNP00000056,2026-02-13,Perception Analysis,25,1123356.2,954852.77,34
SNP00000057,2026-02-20,Prospecting,76,4343635.03,434363.5,18
SNP00000058,2026-02-20,Qualification,86,4128344.91,825668.98,43
SNP00000059,2026-02-20,Needs Analysis,90,3954701.5,1581880.6,8
SNP00000060,2026-02-20,Value Proposition,70,3225533.98,1612766.99,20
SNP00000061,2026-02-20,Proposal/Price Quote,72,3178503.46,1907102.08,41
SNP00000062,2026-02-20,Negotiation/Review,41,2256115.14,1692086.35,40
SNP00000063,2026-02-20,Id. Decision Makers,24,1354538.61,1083630.89,18
SNP00000064,2026-02-20,Perception Analysis,23,1082976.74,920530.23,19
SNP00000065,2026-02-27,Prospecting,89,4695410.94,469541.09,14
SNP00000066,2026-02-27,Qualification,93,4302908.78,860581.76,43
SNP00000067,2026-02-27,Needs Analysis,50,2948197.56,1179279.02,14
SNP00000068,2026-02-27,Value Proposition,78,3404386.83,1702193.41,39
SNP00000069,2026-02-27,Proposal/Price Quote,47,2564644.03,1538786.42,16
SNP00000070,2026-02-27,Negotiation/Review,38,2185370.31,1639027.73,6
SNP00000071,2026-02-27,Id. Decision Makers,23,1320968.34,1056774.67,27
SNP00000072,2026-02-27,Perception Analysis,23,1076125.45,914706.63,20
