activation_id,order_id,subscriber_key,sim_iccid,order_timestamp,activation_timestamp,activation_channel,time_to_activate_hours,activation_status,activation_type
be06b65e-7121-4436-a014-63aa051a1009,ORD100000,2187,8944081238883618,2026-01-12 14:00:00,2026-01-12 15:39:14,Retail Store,1.65,Completed,Replacement
f9a60741-9a6a-4f2b-9a2c-07cf2668ff5b,ORD100001,27874,8944013257126760,2026-01-31 17:00:00,2026-02-01 00:13:59,Partner,7.23,Completed,Replacement
ffe7e0e9-ac0e-491d-b49c-e67ed99b06b6,ORD100002,20794,8944098109107179,2026-01-16 10:00:00,2026-01-17 05:15:32,Partner,19.26,Completed,Replacement
2f7be681-714e-447a-91f4-cee3facf2d21,ORD100003,2769,8944067240234598,2026-02-13 13:00:00,2026-02-14 03:30:18,Online,14.51,Completed,New Activation
4f228e39-5a21-4040-a47c-6468dbb167fa,ORD100004,20568,8944080759894778,2026-01-17 11:00:00,2026-01-17 14:30:04,Retail Store,3.5,Completed,SIM Swap
95ae07ef-b847-4d8b-89ee-dd8fa49f1be4,ORD100005,10683,8944081012175588,2026-01-14 17:00:00,2026-01-14 23:48:39,Partner,6.81,Completed,Replacement
47639a95-1ddf-4231-b07a-1318fe614666,ORD100006,3780,8944026542889283,2026-01-23 14:00:00,2026-01-25 08:53:51,Telesales,42.9,Completed,SIM Swap
47f6b275-aa10-4253-9722-2767b50f681b,ORD100007,6360,8944056532311971,2026-01-17 09:00:00,2026-01-17 23:24:21,Online,14.41,Completed,New Activation
810fb69d-85ae-492e-bcdd-ebdaa76b4af3,ORD100008,21820,8944038839247737,2026-01-10 14:00:00,2026-01-11 21:58:42,Online,31.98,Completed,Replacement
80b5c5db-116d-4d5c-859f-393a2cd79316,ORD100009,23556,8944013619156754,2026-01-25 13:00:00,2026-01-25 14:24:43,Retail Store,1.41,Completed,SIM Swap
d0bc279d-3e44-4b3a-a107-15917baeac32,ORD100010,5457,8944090328738773,2026-02-19 16:00:00,2026-02-21 22:40:44,Telesales,54.68,Completed,Replacement
46de79ec-4927-40b1-b79e-4cf0ee17e0b6,ORD100011,22630,8944028962339728,2026-01-26 16:00:00,2026-01-26 18:51:27,Retail Store,2.86,Completed,Replacement
d46dda64-3bcb-4f58-b56e-b948889a561c,ORD100012,16465,8944085492347286,2026-02-01 18:00:00,2026-02-01 18:42:39,Retail Store,0.71,Completed,New Activation
f58d1b04-9447-4d6e-bd2d-4e60df062c25,ORD100013,18668,8944053999430923,2026-01-02 08:00:00,2026-01-03 07:43:46,Online,23.73,Completed,New Activation
f740f659-ea17-4de6-99ea-b3ec3483c3e8,ORD100014,25344,8944048514219935,2026-02-06 12:00:00,2026-02-07 12:26:26,Online,24.44,Completed,Replacement
7a5dd626-a1ab-4267-86b9-3b9ca8a3ce8e,ORD100015,27231,8944043947924039,2026-02-13 11:00:00,2026-02-15 10:59:47,Online,48.0,Completed,SIM Swap
c6975c89-66b1-46cc-a51a-996a2b4b5c48,ORD100016,21865,8944020482399597,2026-02-20 18:00:00,2026-02-20 19:14:26,Retail Store,1.24,Completed,SIM Swap
5953379b-9cae-4b3e-9a8a-896a8a56ded1,ORD100017,12726,8944091410991059,2026-02-20 16:00:00,2026-02-21 21:42:10,Online,29.7,Completed,SIM Swap
ef8e5e17-469e-4e31-9f3a-7283989af436,ORD100018,1088,8944059067451025,2026-01-24 09:00:00,2026-01-24 20:44:05,Partner,11.73,Completed,New Activation
a1d79853-8ac7-4bc8-b746-4eb25e6eb006,ORD100019,24361,8944083140653893,2026-02-19 15:00:00,2026-02-21 11:58:35,Online,44.98,Completed,New Activation
71aa1128-a2a7-4d4a-87cd-0b8940569c03,ORD100020,29208,8944041953126508,2026-01-04 18:00:00,2026-01-05 05:31:23,Partner,11.52,Completed,Replacement
6f5f8764-ce91-4a17-a4ed-53709e1097d8,ORD100021,9752,8944030974645501,2026-02-01 16:00:00,2026-02-02 05:30:05,Online,13.5,Completed,New Activation
001f563b-2bc0-4c70-b693-6b30981d955f,ORD100022,25816,8944012597569300,2026-02-10 18:00:00,2026-02-12 13:19:09,Online,43.32,Completed,SIM Swap
5f08f48c-e5ef-4da8-9753-f1f5ffdf4f9f,ORD100023,29538,8944087021350116,2026-01-15 16:00:00,2026-01-15 18:54:04,Retail Store,2.9,Completed,Replacement
7fc6e67d-a768-45b9-b5ec-e80a22839946,ORD100024,17076,8944093203456921,2026-01-18 08:00:00,2026-01-20 07:56:59,Online,47.95,Completed,SIM Swap
7bc0d113-fa80-4f03-98f3-8be2fb526cd4,ORD100025,13624,8944034590519790,2026-01-09 16:00:00,2026-01-12 06:47:55,Telesales,62.8,Completed,New Activation
27c1400d-5786-4cf7-9402-d76cf9d28313,ORD100026,6859,8944084402110048,2026-01-29 14:00:00,2026-01-29 15:27:02,Retail Store,1.45,Completed,New Activation
988642e7-11d9-4a7f-9bbf-284f70932481,ORD100027,4195,8944045790248046,2026-01-25 15:00:00,2026-01-26 01:12:44,Partner,10.21,Completed,SIM Swap
3a0e1e4b-4fb5-401d-8117-c1660bf6320f,ORD100028,23801,8944064276471768,2026-01-17 12:00:00,2026-01-17 14:23:22,Retail Store,2.39,Completed,Replacement
a4cc2f1a-8a13-40c5-938a-e83ea4e5e4f9,ORD100029,14383,8944078513777798,2026-01-17 14:00:00,2026-01-19 13:41:45,Telesales,47.7,Completed,New Activation
8f42b8d7-4cc1-41c2-bb67-f8c78616955b,ORD100030,28489,8944037550046994,2026-02-17 10:00:00,2026-02-17 12:53:05,Retail Store,2.88,Completed,Replacement
34797e52-77e0-451b-8ec8-9541b250d574,ORD100031,10334,8944058886829761,2026-01-21 17:00:00,2026-01-23 06:03:42,Telesales,37.06,Completed,Replacement
71b479cf-d86c-460e-848f-64e58bd3dc6d,ORD100032,2652,8944030230929043,2026-01-02 16:00:00,2026-01-02 16:50:54,Retail Store,0.85,Completed,New Activation
cd151352-9619-481f-90c2-98f04dd5b899,ORD100033,15610,8944047012211953,2026-02-16 17:00:00,2026-02-17 15:47:16,Partner,22.79,Pending,SIM Swap
21db98eb-b22c-4f76-b0da-858fbeff115c,ORD100034,17198,8944029775467619,2026-02-05 08:00:00,2026-02-05 11:23:47,Retail Store,3.4,Completed,SIM Swap
2be0a3de-51e3-4a13-8289-17e6633959a1,ORD100035,22244,8944064931918814,2026-02-15 16:00:00,2026-02-17 02:51:26,Online,34.86,Completed,Replacement
a14bad9f-d00a-427a-975b-c2133940b4b4,ORD100036,11826,8944092447363717,2026-02-20 14:00:00,2026-02-21 22:18:12,Online,32.3,Completed,SIM Swap
bfa914db-84c3-4bca-9d88-7fa1e71b4777,ORD100037,27577,8944019355512625,2026-02-07 08:00:00,2026-02-08 04:08:38,Online,20.14,Completed,Replacement
2f82e8c3-1097-4577-b725-5e0bf06681a3,ORD100038,863,8944099303582876,2026-02-10 18:00:00,2026-02-10 19:42:00,Retail Store,1.7,Completed,SIM Swap
4c8751ba-1217-4dbc-a19d-6d3c8bed4845,ORD100039,19712,8944054353025067,2026-01-06 13:00:00,2026-01-07 19:46:16,Online,30.77,Completed,Replacement
644181ce-93ed-49b8-a810-0e1b74143460,ORD100040,22668,8944097596324259,2026-01-30 14:00:00,2026-02-01 07:20:57,Online,41.35,Completed,New Activation
d72af27d-30bc-4b48-b6b9-23c4eeb123b0,ORD100041,13807,8944054483222949,2026-01-15 16:00:00,2026-01-17 14:56:08,Telesales,46.94,Pending,New Activation
153d6d1b-0598-4222-b8a7-3287530993c0,ORD100042,19141,8944051482811560,2026-01-11 18:00:00,2026-01-14 09:17:58,Telesales,63.3,Completed,Replacement
9b19dfeb-94a6-443f-9fa1-753c7983e8ba,ORD100043,8072,8944082272685738,2026-02-02 09:00:00,2026-02-03 01:32:50,Online,16.55,Completed,New Activation
c0efdf95-f439-4261-b0c1-862a4b94e7c4,ORD100044,24614,8944053459526623,2026-02-06 09:00:00,2026-02-07 15:30:50,Online,30.51,Completed,New Activation
03c4a34b-d064-411c-8856-f8026abdd0fe,ORD100045,26002,8944042629448912,2026-02-21 15:00:00,2026-02-22 06:00:50,Partner,15.01,Completed,Replacement
91712034-64b9-46bb-9869-dfacfb2a5727,ORD100046,26281,8944024620716200,2026-02-13 18:00:00,2026-02-14 19:14:58,Telesales,25.25,Completed,New Activation
09b19e54-2743-4896-af3b-44aa91f32f4b,ORD100047,28251,8944045551759124,2026-01-17 11:00:00,2026-01-18 19:13:40,Telesales,32.23,Completed,New Activation
fe6ac433-9da2-4d8b-bfa4-2b087d4dd646,ORD100048,11889,8944056050174162,2026-01-03 10:00:00,2026-01-03 12:56:51,Retail Store,2.95,Completed,New Activation
f4a6f448-79bb-4f6d-9d76-99e78eec2c34,ORD100049,25087,8944015707523825,2026-01-12 12:00:00,2026-01-13 19:02:43,Telesales,31.05,Completed,New Activation
36568a4d-5032-483b-a18c-2ab43e6da2ae,ORD100050,21504,8944078526358358,2026-02-06 14:00:00,2026-02-08 01:27:55,Online,35.47,Completed,Replacement
50e2412f-d1e7-4c65-a607-251bb3f31212,ORD100051,26784,8944049204306815,2026-02-18 16:00:00,2026-02-19 15:37:23,Partner,23.62,Completed,SIM Swap
073ddc31-7eb1-4bc4-8e35-15e4db20f82b,ORD100052,24861,8944069960141205,2026-02-17 14:00:00,2026-02-19 03:03:30,Telesales,37.06,Completed,SIM Swap
